ts,idx,entry,oi_chg_4h,px_chg_4h,ret_30d,regime,ret_30d_backonly,regime_backonly,r_outcome,exit_kind,window_span_h,resolved,r_10bp
2022-02-02 17:00:00+00:00,1528,2684.01,-0.02681217150627102,-0.03216489194831973,-0.28853607929714387,bear_30d,-0.2717650102843283,bear_30d,-1.0899999999999996,stop,4.0,True,-1.0499999999999996
2022-02-08 09:00:00+00:00,1664,3093.21,-0.021590787105155496,-0.02823671338227951,-0.01103809523809518,flat_30d,0.018999814936867532,flat_30d,-1.09,stop,4.0,True,-1.05
2022-02-10 19:00:00+00:00,1722,3119.11,-0.026987230839386367,-0.02777552661600502,-0.05127191166748024,flat_30d,0.05209148057157509,flat_30d,-1.09,stop,4.0,True,-1.05
2022-02-11 22:00:00+00:00,1749,2893.7,-0.022989206089980452,-0.03682351805560646,-0.13172083693133085,bear_30d,-0.05127191166748024,flat_30d,1.4099999999999964,target,4.0,True,1.4499999999999964
2022-02-12 22:00:00+00:00,1773,2914.13,-0.02182527373508958,-0.018461134276879898,-0.09981298374254721,flat_30d,-0.13172083693133085,bear_30d,-1.09,stop,4.0,True,-1.05
2022-02-16 16:00:00+00:00,1863,3078.61,-0.028475701978830537,-0.012427221839061975,-0.02705532925472398,flat_30d,-0.04835166149054393,flat_30d,1.4099999999999964,target,4.0,True,1.4499999999999964
2022-02-17 18:00:00+00:00,1889,2920.47,-0.02182115364631987,-0.01759632397957478,-0.08499297317144194,flat_30d,-0.02705532925472398,flat_30d,-1.09,stop,4.0,True,-1.05
2022-02-21 18:00:00+00:00,1985,2637.08,-0.02847609370660309,-0.02343752893122053,0.06467133424030269,flat_30d,0.020962947668597742,flat_30d,-1.0900000000000003,stop,4.0,True,-1.0500000000000003
2022-02-23 17:00:00+00:00,2032,2665.12,-0.02173176141722455,-0.02376556776556782,0.057375939757108974,flat_30d,0.03827592863249052,flat_30d,-1.0899999999999999,stop,4.0,True,-1.0499999999999998
2022-02-25 00:00:00+00:00,2063,2583.01,-0.025887791746706412,-0.02533073724406998,0.12380108953083546,bull_30d,0.056198293297305524,flat_30d,1.4099999999999915,target,4.0,True,1.4499999999999915
2022-02-26 23:00:00+00:00,2110,2778.15,-0.023104602153268705,-0.010841700491347916,0.14675907389138154,bull_30d,0.12380108953083546,bull_30d,-1.0899999999999999,stop,4.0,True,-1.0499999999999998
2022-03-04 00:00:00+00:00,2231,2733.35,-0.023122795505787663,-0.025036204227512404,-0.021564600448095606,flat_30d,0.01672061958526827,flat_30d,-1.09,stop,4.0,True,-1.05
2022-03-07 17:00:00+00:00,2320,2569.34,-1.0,-0.018957689796448074,-0.17322743135685803,bear_30d,-0.1484074624622117,bear_30d,-1.0899999999999996,stop,4.0,True,-1.0499999999999996
2022-03-09 21:00:00+00:00,2372,2706.69,-0.0215976578518281,-0.013255317985454207,-0.13132816109349865,bear_30d,-0.1567548276833015,bear_30d,-1.0899999999999999,stop,4.0,True,-1.0499999999999998
2022-03-16 05:00:00+00:00,2524,2627.04,-0.02087312197238833,-0.005636031234741212,-0.05329359104364473,flat_30d,-0.08815393405613314,flat_30d,1.4099999999999961,target,4.0,True,1.4499999999999962
2022-03-18 23:00:00+00:00,2590,2938.02,-0.027241124376862658,-0.00909281006954521,-0.0588698827599462,flat_30d,-0.11715503513174808,bear_30d,-1.0899999999999999,stop,4.0,True,-1.0499999999999998
2022-03-20 17:00:00+00:00,2632,2826.22,-0.021804108598459937,-0.016614648030424783,0.029516350784247303,flat_30d,0.02047876020478756,flat_30d,1.4099999999999924,target,4.0,True,1.4499999999999924
2022-03-21 19:00:00+00:00,2658,2917.13,-0.03532751774431209,-0.012524838108004754,0.046051797863057464,flat_30d,0.029516350784247303,flat_30d,1.41,target,4.0,True,1.45
