ts,idx,entry,oi_chg_4h,px_chg_4h,ret_30d,regime,ret_30d_backonly,regime_backonly,r_outcome,exit_kind,window_span_h,resolved,r_10bp
2022-02-01 20:00:00+00:00,12418,38491.19,-0.05024516656672329,-0.015370136733718676,-0.18188430626057528,bear_30d,-0.19422358757639502,bear_30d,-1.0900000000000003,stop,4.0,True,-1.0500000000000003
2022-02-02 21:00:00+00:00,12443,36898.85,-0.02787246001555488,-0.014716692848249058,-0.20569734923343996,bear_30d,-0.18188430626057528,bear_30d,1.41,target,4.0,True,1.45
2022-02-06 14:00:00+00:00,12532,41300.0,-0.020832844499391934,-0.006495068559057016,0.019432370422386658,flat_30d,-0.039584949028563354,flat_30d,1.41,target,4.0,True,1.45
2022-02-08 09:00:00+00:00,12575,43844.1,-0.02043915926749784,-0.022801106913035718,0.051858703282723795,flat_30d,0.05138019168562691,flat_30d,-1.0900000000000003,stop,4.0,True,-1.0500000000000003
2022-02-10 14:00:00+00:00,12628,44367.8,-0.042483557506282965,-0.005821955103140208,0.018046785203420734,flat_30d,0.061158736936788305,flat_30d,1.41,target,4.0,True,1.45
2022-02-11 20:00:00+00:00,12658,42334.2,-0.02890150242456324,-0.02824735296554859,-0.03451903250448041,flat_30d,0.018046785203420734,flat_30d,0.013450638018438724,tif,4.0,True,0.053450638018438724
2022-02-12 21:00:00+00:00,12683,41860.01,-0.030618730538622962,-0.01947625146750598,-0.007863062110784802,flat_30d,-0.03451903250448041,flat_30d,0.33441461433000125,tif,4.0,True,0.3744146143300012
2022-02-14 20:00:00+00:00,12730,42171.93,-0.03195045455578027,-0.01062851187930458,-0.012662260093971534,flat_30d,-0.023262411017973106,flat_30d,1.409999999999996,target,4.0,True,1.449999999999996
2022-02-17 03:00:00+00:00,12785,43574.3,-0.024792231634797712,-0.006529763546865297,-0.04359909092583947,flat_30d,0.03993613480923197,flat_30d,-1.0899999999999996,stop,4.0,True,-1.0499999999999996
2022-02-18 16:00:00+00:00,12822,39923.9,-0.02379652976142954,-0.012224751348409058,-0.04059471086989752,flat_30d,-0.04359909092583947,flat_30d,-1.0899999999999996,stop,4.0,True,-1.0499999999999996
2022-02-21 18:00:00+00:00,12896,37721.4,-0.02456155136310456,-0.024094047763804194,0.05543559432743028,flat_30d,0.053316890856470955,flat_30d,-1.09,stop,4.0,True,-1.05
2022-02-23 02:00:00+00:00,12928,37670.4,-0.023155447435337817,-0.006058047493403662,0.01581218888401681,flat_30d,0.0547057536003992,flat_30d,1.4099999999999955,target,4.0,True,1.4499999999999955
