asset,t,direction,entry,risk,R,R18,cost_R,kind,exit_bar_ts,exit_price,missing,max_consecutive_missing,in_on_R1,in_on_R2,z_R1,z_R2,entry_ts,entry_day
ETH,2021-07-13T06:00:00+00:00,short,1987.96,59.135020413820556,-1.033617304705205,-1.0605111484693701,0.0336173047052063,stop,2021-07-13T10:00:00+00:00,2047.0950204138205,0,0,False,False,1.0729735958578293,0.48636353924332104,1626156900,2021-07-13
ETH,2021-07-13T12:00:00+00:00,short,1990.85,71.5304608616847,1.7546252112465976,1.7323594522844166,0.027832198702726362,tif,2021-07-16T12:00:00+00:00,1863.35,0,0,True,False,-0.6988944128041515,0.29701246644367624,1626178500,2021-07-13
ETH,2021-07-20T04:30:00+00:00,short,1741.8,74.48037705396489,-1.0233860255398284,-1.0420948459716903,0.023386025539827434,stop,2021-07-20T16:00:00+00:00,1816.280377053965,0,0,True,False,-0.8169633635143434,1.6969400372646717,1626756300,2021-07-20
ETH,2021-07-20T11:30:00+00:00,short,1753.93,66.96207756984117,-1.0261928850425912,-1.047147193076665,0.02619288504259233,stop,2021-07-21T04:15:00+00:00,1820.8920775698411,0,0,False,False,1.5212294668770265,1.492438523269367,1626781500,2021-07-20
ETH,2021-07-20T17:45:00+00:00,short,1781.84,74.53164434965137,-1.0239071607174095,-1.0430328892913379,0.023907160717410558,stop,2021-07-21T04:30:00+00:00,1856.3716443496512,0,0,True,False,-0.012180219442385004,4.337844328735029,1626804000,2021-07-20
ETH,2021-07-26T02:00:00+00:00,long,2297.7,138.5656971382756,-1.0165820260530065,-1.0298476468954123,0.01658202605300726,stop,2021-07-27T01:30:00+00:00,2159.1343028617243,0,0,False,False,-1.653301606159735,-0.9414431122291921,1627265700,2021-07-26
ETH,2021-09-01T14:45:00+00:00,long,3531.18,89.84004328726924,4.164499551760761,4.133055399502652,0.03930519032263629,tif,2021-09-04T14:45:00+00:00,3908.85,0,0,False,False,-0.06205969584595587,-0.5882713537948316,1630508400,2021-09-01
ETH,2021-12-04T13:00:00+00:00,short,3924.61,247.2745236337082,-1.015871469257438,-1.0285686446633882,0.015871469257437893,stop,2021-12-05T03:45:00+00:00,4171.884523633708,0,0,False,False,1.8491758156071283,2.220445171768967,1638623700,2021-12-04
ETH,2022-01-25T06:15:00+00:00,long,2371.32,94.55845139095285,0.9182540399377501,0.8981917824441644,0.025077821866982087,tif,2022-01-28T06:15:00+00:00,2460.52,0,0,True,True,0.21740040658424656,0.792286772712077,1643092200,2022-01-25
ETH,2022-01-25T12:45:00+00:00,long,2436.71,108.4343326485326,-1.0224717572422217,-1.040449163035998,0.022471757242220412,stop,2022-01-27T21:00:00+00:00,2328.2756673514673,0,0,False,False,-0.7596728433716906,-0.2559884926068991,1643115600,2022-01-25
