t,direction,entry,atr,risk,dist_R,ret_30d,z_R1,z_R2,anchor,anchor_eod,okx_newest_R1,okx_newest_R2,atr_drop,in_off,in_on_R1,in_on_R2
2021-04-17T00:00:00+00:00,short,61713.0,254.42131840097397,1272.10659200487,2.6923844444529754,0.06954920805039722,-2.8520983915942857,-1.189385573914128,True,True,2021-04-16T23:00:00+00:00,2021-04-16T22:00:00+00:00,False,True,True,True
2021-04-26T09:00:00+00:00,long,52434.09,335.674654887398,1678.37327443699,1.2720114366192816,-0.06079225478254646,-0.18669709212789667,-1.1573962670256728,True,True,2021-04-26T08:00:00+00:00,2021-04-26T07:00:00+00:00,False,False,False,False
2021-04-26T15:00:00+00:00,long,53341.14,339.6191360773563,1698.0956803867816,0.723080574423419,-0.044545031167156246,0.1700206412773675,1.2239826690504279,True,True,2021-04-26T14:00:00+00:00,2021-04-26T13:00:00+00:00,False,False,False,False
2021-05-19T05:15:00+00:00,short,39737.76,649.8556748135782,3249.2783740678906,inf,-0.28573387791256444,-1.1985989140142326,0.5816144409578294,True,True,2021-05-19T04:00:00+00:00,2021-05-19T03:00:00+00:00,False,True,True,False
2021-06-10T14:15:00+00:00,long,37296.44,388.9603609116957,1944.8018045584786,0.2013367115776058,-0.342335439882928,-0.6128715567620872,-0.39780434927604164,True,True,2021-06-10T13:00:00+00:00,2021-06-10T12:00:00+00:00,False,False,False,False
2021-06-10T20:15:00+00:00,long,36011.09,358.7108660210283,1793.5543301051416,0.2852659612324168,-0.36500058278521263,0.1904997566907998,2.3804109310762427,True,True,2021-06-10T19:00:00+00:00,2021-06-10T18:00:00+00:00,False,False,False,False
2021-06-14T05:45:00+00:00,long,39384.11,263.7920063190821,1318.9600315954103,1.1903924018841097,-0.15834067232971483,-0.06929087354212972,0.6818746986286263,True,True,2021-06-14T04:00:00+00:00,2021-06-14T03:00:00+00:00,False,False,False,False
2021-06-14T12:00:00+00:00,long,39094.63,207.7847021276529,1038.9235106382646,1.7898911526774293,-0.16452701352605004,-0.3525468720366419,0.9406209868483429,True,True,2021-06-14T11:00:00+00:00,2021-06-14T10:00:00+00:00,False,False,False,False
2021-06-14T18:00:00+00:00,long,40103.74,292.86325477355865,1464.3162738677934,3.484206309149193,-0.14296179739839443,0.19388120649835536,-0.7561347788045679,True,True,2021-06-14T17:00:00+00:00,2021-06-14T16:00:00+00:00,False,True,True,False
2021-06-18T19:15:00+00:00,short,35443.38,312.23596565467506,1561.1798282733753,0.2564086422015311,-0.03395446172900218,1.8857279203623363,-0.3674011671075229,True,True,2021-06-18T18:00:00+00:00,2021-06-18T17:00:00+00:00,False,False,False,False
2021-07-26T02:00:00+00:00,long,38035.47,981.6454393250254,4908.227196625127,3.4564679507226432,0.17919112239874302,-0.05712626621008682,1.4236370002117644,True,True,2021-07-26T01:00:00+00:00,2021-07-26T00:00:00+00:00,False,True,False,True
2021-07-26T17:00:00+00:00,long,38908.28,329.3268173276315,1646.6340866381574,9.772857327917222,0.20625033327587539,-1.9630712072198329,-0.42931930020197095,True,True,2021-07-26T16:00:00+00:00,2021-07-26T15:00:00+00:00,False,True,False,False
2021-08-07T01:00:00+00:00,long,42821.59,264.43241072750305,1322.1620536375153,9.211435138751158,0.30346821689003156,-0.007561246417325235,0.3848141142693614,True,True,2021-08-07T00:00:00+00:00,2021-08-06T23:00:00+00:00,False,True,False,True
2021-08-09T19:15:00+00:00,long,46334.41,273.78491022888363,1368.9245511444183,6.330655690815886,0.3832001213207483,-2.3792298500232167,-2.023488003889461,True,True,2021-08-09T18:00:00+00:00,2021-08-09T17:00:00+00:00,False,True,False,False
2021-08-18T14:15:00+00:00,short,45339.5,226.73392945296706,1133.6696472648352,3.960236574060087,0.47093365412628363,0.1037371060444752,-0.37646512507862273,True,True,2021-08-18T13:00:00+00:00,2021-08-18T12:00:00+00:00,False,False,False,False
2021-09-08T07:15:00+00:00,short,45310.01,407.1175323244408,2035.587661622204,2.1910675153364028,-0.020529532184601185,0.21827361148004165,1.1198278185320611,True,True,2021-09-08T06:00:00+00:00,2021-09-08T05:00:00+00:00,False,True,False,False
2021-10-01T12:30:00+00:00,long,47286.77,419.42806168833636,2097.1403084416816,0.37968370394428597,-0.03186069470838582,0.9110479744017213,1.0417713539648212,True,True,2021-10-01T11:00:00+00:00,2021-10-01T10:00:00+00:00,False,False,False,False
2021-10-01T20:00:00+00:00,long,47852.93,286.8780073086789,1434.3900365433944,2.1518205797343644,-0.020269254881053467,0.9813525259570866,1.036580788723664,True,True,2021-10-01T19:00:00+00:00,2021-10-01T18:00:00+00:00,False,True,True,True
2021-10-02T03:15:00+00:00,long,47539.79,225.13277753483348,1125.6638876741674,3.0201644000718537,-0.035687235112012106,1.094984214526176,1.0572350886379298,True,True,2021-10-02T02:00:00+00:00,2021-10-02T01:00:00+00:00,False,True,True,True
2021-10-02T10:30:00+00:00,long,47611.16,148.15174420950547,740.7587210475274,4.493122936566079,-0.034239542515346,1.136617211450568,-0.7510865664335452,True,True,2021-10-02T09:00:00+00:00,2021-10-02T08:00:00+00:00,False,True,True,False
2021-10-06T14:15:00+00:00,long,54209.99,587.13261046835,2935.66305234175,inf,0.028965546825723276,-1.7635966521818045,0.6480657303929053,True,True,2021-10-06T13:00:00+00:00,2021-10-06T12:00:00+00:00,False,True,False,True
2021-10-06T20:45:00+00:00,long,54957.69,355.63201907886935,1778.1600953943466,inf,0.0431577195112669,-2.8615674438169454,-3.0421554363624015,True,True,2021-10-06T19:00:00+00:00,2021-10-06T18:00:00+00:00,False,True,False,False
2021-10-22T16:15:00+00:00,short,61276.65,542.6035220447005,2713.0176102235027,2.3492438736787036,0.4080112591911764,0.45353263162304497,0.9496191505520885,True,True,2021-10-22T15:00:00+00:00,2021-10-22T14:00:00+00:00,False,False,False,False
2021-10-23T04:45:00+00:00,short,61177.75,244.1600618933771,1220.8003094668854,5.139775892373494,0.36471299708286886,-0.5972968189981737,-0.6325142288210343,True,True,2021-10-23T03:00:00+00:00,2021-10-23T02:00:00+00:00,False,False,False,False
2021-11-16T19:00:00+00:00,short,60337.71,362.130375147443,1810.6518757372148,3.0014604534553486,-0.02003753362962868,0.19195273722370684,1.266563618347999,True,True,2021-11-16T18:00:00+00:00,2021-11-16T17:00:00+00:00,False,True,False,False
