t,direction
2024-03-15T04:00:00+00:00,short
2024-03-15T11:00:00+00:00,short
2024-03-20T22:00:00+00:00,short
2024-03-23T06:15:00+00:00,short
2024-04-03T11:45:00+00:00,short
2024-04-09T04:45:00+00:00,long
2024-04-13T03:30:00+00:00,short
2024-04-13T10:45:00+00:00,short
2024-05-01T09:00:00+00:00,short
2024-05-21T12:00:00+00:00,long
2024-05-22T07:15:00+00:00,long
2024-06-24T23:30:00+00:00,short
2024-07-04T13:00:00+00:00,short
2024-07-04T19:00:00+00:00,short
2024-07-05T08:30:00+00:00,short
2024-07-05T14:30:00+00:00,short
2024-07-05T20:45:00+00:00,short
2024-07-12T00:45:00+00:00,long
2024-07-12T07:15:00+00:00,long
2024-07-26T00:00:00+00:00,short
2024-08-03T05:45:00+00:00,short
2024-08-04T22:00:00+00:00,short
2024-08-05T05:15:00+00:00,short
2024-08-05T15:30:00+00:00,short
2024-08-05T22:15:00+00:00,short
2024-09-07T04:30:00+00:00,short
2024-09-07T15:00:00+00:00,short
2024-09-07T21:15:00+00:00,short
2024-09-14T05:45:00+00:00,long
2024-09-23T12:30:00+00:00,long
2024-09-23T20:45:00+00:00,long
2024-10-15T06:00:00+00:00,long
2024-10-15T20:15:00+00:00,long
2024-10-21T02:15:00+00:00,long
2024-10-21T08:15:00+00:00,long
2024-10-21T14:30:00+00:00,long
2024-10-24T04:45:00+00:00,short
2024-10-24T11:15:00+00:00,short
2024-10-26T20:00:00+00:00,short
2024-11-01T04:00:00+00:00,short
2024-11-01T18:15:00+00:00,short
2024-11-27T04:00:00+00:00,short
2024-11-27T10:00:00+00:00,short
2024-12-10T07:45:00+00:00,short
2024-12-11T04:00:00+00:00,short
2024-12-19T05:00:00+00:00,short
2024-12-19T11:15:00+00:00,short
2024-12-20T02:15:00+00:00,short
2024-12-20T21:30:00+00:00,short
2025-01-14T01:30:00+00:00,short
2025-01-14T09:00:00+00:00,short
2025-01-20T22:15:00+00:00,short
2025-01-21T05:45:00+00:00,short
2025-01-28T01:30:00+00:00,short
2025-02-03T17:45:00+00:00,short
2025-02-03T23:45:00+00:00,short
2025-03-11T15:00:00+00:00,short
2025-03-20T05:15:00+00:00,long
2025-03-25T02:30:00+00:00,long
2025-04-02T05:00:00+00:00,long
2025-04-07T19:45:00+00:00,short
2025-04-10T14:45:00+00:00,long
2025-04-10T22:45:00+00:00,long
2025-04-23T05:15:00+00:00,long
2025-04-23T11:30:00+00:00,long
2025-04-23T17:30:00+00:00,long
2025-05-02T06:30:00+00:00,long
2025-05-09T05:15:00+00:00,long
2025-05-09T11:15:00+00:00,long
2025-05-09T18:15:00+00:00,long
2025-05-19T04:00:00+00:00,short
2025-05-19T11:45:00+00:00,short
2025-05-24T02:15:00+00:00,short
2025-05-24T10:30:00+00:00,short
2025-05-28T00:00:00+00:00,long
2025-05-28T06:00:00+00:00,long
2025-06-06T17:45:00+00:00,short
2025-06-10T12:15:00+00:00,long
2025-06-11T08:15:00+00:00,long
2025-06-21T08:45:00+00:00,short
2025-06-21T23:45:00+00:00,short
2025-06-22T10:15:00+00:00,short
2025-06-22T16:15:00+00:00,short
2025-07-03T07:00:00+00:00,long
2025-07-03T13:15:00+00:00,long
2025-07-10T03:15:00+00:00,long
2025-07-10T09:30:00+00:00,long
2025-07-10T15:30:00+00:00,long
2025-07-10T23:00:00+00:00,long
2025-07-11T06:45:00+00:00,long
2025-07-11T20:30:00+00:00,long
2025-08-09T08:45:00+00:00,long
2025-08-13T05:00:00+00:00,long
2025-08-13T11:15:00+00:00,long
2025-08-13T17:30:00+00:00,long
2025-08-13T23:30:00+00:00,long
2025-09-25T08:45:00+00:00,short
2025-09-25T18:15:00+00:00,short
2025-09-26T00:15:00+00:00,short
2025-11-04T03:00:00+00:00,short
2025-11-04T11:00:00+00:00,short
2025-11-04T21:45:00+00:00,short
2025-11-05T11:00:00+00:00,short
2025-11-05T18:30:00+00:00,short
2025-11-14T10:15:00+00:00,short
2025-11-15T00:00:00+00:00,short
2025-11-20T01:30:00+00:00,short
2025-11-20T18:30:00+00:00,short
2025-11-21T00:30:00+00:00,short
2025-11-21T06:45:00+00:00,short
2025-11-21T14:30:00+00:00,short
2025-11-21T20:30:00+00:00,short
2025-12-03T02:30:00+00:00,long
2025-12-04T04:30:00+00:00,long
2025-12-04T11:30:00+00:00,long
2025-12-04T18:30:00+00:00,long
2026-01-03T02:00:00+00:00,long
2026-01-14T01:30:00+00:00,long
2026-01-14T08:30:00+00:00,long
2026-01-14T15:30:00+00:00,long
2026-01-14T21:45:00+00:00,long
2026-01-15T06:30:00+00:00,long
2026-01-21T00:00:00+00:00,short
2026-01-21T07:15:00+00:00,short
2026-01-21T20:30:00+00:00,short
2026-01-26T14:30:00+00:00,short
2026-01-30T07:00:00+00:00,short
2026-01-30T14:00:00+00:00,short
2026-01-30T23:30:00+00:00,short
2026-01-31T19:00:00+00:00,short
2026-03-05T14:30:00+00:00,long
2026-03-13T01:30:00+00:00,long
2026-03-13T21:15:00+00:00,long
2026-03-16T07:30:00+00:00,long
2026-03-16T19:30:00+00:00,long
2026-03-17T01:45:00+00:00,long
2026-03-17T08:00:00+00:00,long
2026-03-17T15:15:00+00:00,long
2026-03-28T06:15:00+00:00,short
2026-04-11T19:45:00+00:00,long
2026-04-28T07:15:00+00:00,short
2026-04-28T13:15:00+00:00,short
2026-05-08T07:45:00+00:00,short
2026-05-08T15:45:00+00:00,short
2026-05-09T17:00:00+00:00,short
2026-05-14T09:00:00+00:00,short
2026-05-16T10:30:00+00:00,short
2026-05-16T18:45:00+00:00,short
2026-05-18T08:00:00+00:00,short
