t,direction
2023-12-27T05:00:00+00:00,short
2023-12-27T12:45:00+00:00,short
2024-01-09T00:15:00+00:00,long
2024-01-09T16:15:00+00:00,long
2024-01-12T17:30:00+00:00,short
2024-01-13T05:15:00+00:00,short
2024-01-13T13:15:00+00:00,short
2024-02-08T04:30:00+00:00,long
2024-02-09T12:45:00+00:00,long
2024-02-09T18:45:00+00:00,long
2024-02-10T07:45:00+00:00,long
2024-02-12T16:30:00+00:00,long
2024-02-12T22:30:00+00:00,long
2024-02-15T15:00:00+00:00,long
2024-03-06T09:00:00+00:00,short
2024-03-06T15:30:00+00:00,short
2024-03-07T00:00:00+00:00,short
2024-03-15T06:00:00+00:00,short
2024-03-17T01:15:00+00:00,short
2024-03-17T14:45:00+00:00,short
2024-03-22T15:00:00+00:00,short
2024-04-03T01:15:00+00:00,short
2024-05-01T08:45:00+00:00,short
2024-05-01T23:30:00+00:00,short
2024-05-02T05:45:00+00:00,short
2024-05-21T04:00:00+00:00,long
2024-06-12T10:45:00+00:00,short
2024-06-15T11:00:00+00:00,short
2024-06-21T09:30:00+00:00,short
2024-06-22T02:00:00+00:00,short
2024-06-24T11:30:00+00:00,short
2024-06-25T00:45:00+00:00,short
2024-06-25T13:15:00+00:00,short
2024-06-25T19:15:00+00:00,short
2024-06-26T04:30:00+00:00,short
2024-06-26T10:45:00+00:00,short
2024-07-04T13:45:00+00:00,short
2024-07-04T20:45:00+00:00,short
2024-07-05T18:30:00+00:00,short
2024-07-10T05:30:00+00:00,long
2024-07-10T12:00:00+00:00,long
2024-07-15T09:45:00+00:00,long
2024-07-16T12:30:00+00:00,long
2024-07-16T19:30:00+00:00,long
2024-07-20T13:00:00+00:00,long
2024-08-04T05:30:00+00:00,short
2024-08-04T12:45:00+00:00,short
2024-08-05T02:45:00+00:00,short
2024-08-24T06:45:00+00:00,long
2024-08-24T21:00:00+00:00,long
2024-09-04T19:00:00+00:00,short
2024-09-07T12:45:00+00:00,short
2024-10-11T02:45:00+00:00,short
2024-10-11T09:00:00+00:00,short
2024-10-15T11:00:00+00:00,long
2024-10-15T17:15:00+00:00,long
2024-10-16T06:15:00+00:00,long
