asset,variant,direction,n,label,actual,regime,timing,exit
BTC,V0_sym30,short,13,BTC V0_sym30 shorts (n=13),1.014156908186216,-0.42421173130184414,0.46900965388376825,0.9693589856042918
BTC,V1_long30,short,36,BTC V1_long30 shorts (n=36),1.0647449380220169,-0.23008575450684518,1.2606784492009382,0.03415224332792377
BTC,V0_sym30,long,27,BTC V0_sym30 longs (n=27),0.9415822159783028,0.1918335311145851,1.1600527791837913,-0.41030409432007386
ETH,V0_sym30,short,29,ETH V0_sym30 shorts (n=29),1.3043406872411953,-0.13287279714554667,1.5527362481629678,-0.11552276377622597
ETH,V1_long30,short,89,ETH V1_long30 shorts (n=89),0.8416754556057322,-0.2664601482525077,0.6472519403127018,0.4608836635455378
ETH,V0_sym30,long,35,ETH V0_sym30 longs (n=35),0.47584138187498376,0.1515104594829087,0.14063321935125173,0.18369770304082342
