seed,trades,mean_bp_gross,mean_bp_db
42,735,10.63799199592062,-0.8857572107646242
43,735,12.479665885313878,1.0446506088652696
44,735,3.638435766714945,-7.898667846758257
45,735,12.395214813154045,0.8561487717969358
46,735,-2.125202445597431,-13.610266421497595
47,735,-0.4889548562249571,-12.099360325012714
48,735,2.7262713627985415,-8.787888528903105
49,735,8.401034184354918,-3.043023806783848
50,735,15.74035027249145,4.2653558976492905
51,735,11.042375356476143,-0.3395738953784555
52,735,9.213941511894365,-2.139928260550115
53,735,0.036225682964405204,-11.416512531978745
54,735,9.11783001637347,-2.3558543254417876
55,735,5.586753772117779,-5.911153914174258
56,735,-6.311283446163634,-17.841654609310865
57,735,2.584550870814329,-9.015788576387044
58,735,1.791435901275909,-9.731244233963288
59,735,0.7706579691200576,-10.69424951889489
60,735,8.74022134135342,-2.8034806044674316
61,735,8.43562874299931,-3.1115892898851003
62,735,8.833795294852107,-2.690753349157655
63,735,7.860228888583679,-3.543377784420155
64,735,4.806194995672277,-6.739690794624785
65,735,2.8744326226273533,-8.58135496280227
66,735,6.411055992706307,-5.053359340733325
67,735,2.643484956448821,-8.931514814273168
68,735,5.607077016296724,-5.800439785287941
69,735,10.53057207789536,-1.0746570534378492
70,735,0.624278526411489,-10.923142970073062
71,735,2.582742888836009,-8.824410121458818
72,735,-3.709060155712645,-15.116022904524122
73,735,4.045955139264585,-7.599248050155889
74,735,7.6456843751001635,-3.9585425370114993
75,735,4.467315166595115,-7.186535495026583
76,735,12.375340590703573,0.8394359321584148
77,735,3.0914226902592583,-8.598267566336334
78,735,13.854952486581505,2.213492790691653
79,735,5.089080690476205,-6.437302964747379
80,735,11.001022995416566,-0.43004418020456525
81,735,6.210102911800727,-5.268442776887662
82,735,2.7292577384543826,-8.834216164454357
83,735,12.920163337244727,1.4303266929933935
84,735,10.826312776518462,-0.7720186954209053
85,735,0.6618585593299272,-10.849325610130192
86,735,0.4429995828149752,-11.027128468502012
87,735,6.1632251758436,-5.22586131400829
88,735,2.8367359543260426,-8.780082351354332
89,735,6.5368002716889055,-4.905565853082637
90,735,11.558117325542522,0.06301275050499913
91,735,8.175489925495386,-3.2508568582427517
92,735,7.604028747911171,-3.9471841720732144
93,735,10.172822830405897,-1.362743239856989
94,735,12.543972910716143,1.1071981009428176
95,735,11.12657422185513,-0.4860365369376794
96,735,5.366775134595471,-6.146355828948543
97,735,9.127433013048883,-2.5032492145285494
98,735,2.135011739456874,-9.364787114853003
99,735,2.16190390389142,-9.379949042368516
100,735,5.257446077422342,-6.348125559055438
101,735,7.215100621732046,-4.211366769019104
102,735,-3.945868516667697,-15.512413716210737
103,735,2.9997089990006525,-8.603936210924465
104,735,5.948934182548158,-5.605619321207098
105,735,4.352377306965354,-7.197598289065993
106,735,1.1380079038043578,-10.392437101990414
107,735,8.13846905196918,-3.4004210456254094
108,735,12.094240898424012,0.8048008124120197
109,735,9.14186327422883,-2.37289804647688
110,735,9.82608572601217,-1.721886284221684
111,735,-1.0536285896449862,-12.481011454310485
112,735,15.5268202757577,3.9994812867292615
113,735,10.956254395346061,-0.5410292193912826
114,735,7.404726574073795,-4.048552245738255
115,735,-1.4622289774907449,-12.893537737896516
116,735,4.437625307656581,-7.121765687432952
117,735,11.797447810752143,0.4176362704456022
118,735,0.02309754932339336,-11.50783597221598
119,735,6.663594347454856,-4.819908001095211
120,735,4.816331787510846,-6.741886918107575
121,735,4.045603173663919,-7.591640682772912
122,735,9.646478319032264,-1.8399553299874094
123,735,8.041591757294288,-3.4040528325200348
124,735,13.115280219894625,1.4829937240504254
125,735,11.15921354197411,-0.36686219423879024
126,735,8.383170964331871,-3.212022035337946
127,735,5.918447726537369,-5.604711770257052
128,735,-0.6915751292257742,-12.228554683586845
129,735,7.816810843566412,-3.7821339357575625
130,735,4.580127252761076,-6.901314554645374
131,735,6.491609863190279,-5.075795775567081
132,735,7.942500249226928,-3.6470614255955547
133,735,11.556330263896838,-0.10107086434512566
134,735,7.941918289663121,-3.5452471689720175
135,735,7.965790244228641,-3.627525444751049
136,735,-1.6421236928972216,-13.212689029932791
137,735,5.3269806077362825,-6.10308748657941
138,735,11.460988493376293,-0.16616688183923797
139,735,13.534218537110354,1.9215442265012022
140,735,-2.500975761227394,-14.134454485010767
141,735,3.6561377264776316,-7.848698159447957
