policy,censored,scenario,sessions,trades,days,mean_bp,median_bp,sd_bp,win_rate,profit_factor,payoff,mean_gross_bp,mean_funding_bp,mean_risk_bp,median_risk_bp,mean_R,total_return,ann_return,sharpe_daily_ann,max_drawdown,mar,exposure_days,long_trades,short_trades,long_mean_bp,short_mean_bp,best1_share,best5_share,best10_share,mean_bars_held,exit_reasons,flagged_trades
P0,0,gross,752,735,1096,12.102663317368743,-39.864460833167236,165.44560839996123,0.35918367346938773,1.2348148222830717,2.203021898845935,12.102663317368743,0.14446568792747838,93.36769193278164,73.45113231912914,0.2493468521941667,1.2042726419512912,0.30112005427834965,1.1437340025840386,-0.20853117526408416,1.4440049738223113,0.6706204379562044,341,394,15.54754822857219,9.121176630261193,0.0912440193720913,0.4072243986660972,0.7628924405128288,201.9578231292517,"{""stop"": 427, ""time"": 308}",0
P0,0,rt5,752,735,1096,7.246548062999073,-43.492479021275265,165.45909749259778,0.3551020408163265,1.1325868037169124,2.0568817814628986,12.102663317368743,0.14446568792747838,93.36769193278164,73.45113231912914,0.16836666374824094,0.5429680149689198,0.15538933652214237,0.6851496437029276,-0.24777189177129177,0.6271467494205355,0.6706204379562044,341,394,9.653947071635145,5.162986992072931,0.1518843061462616,0.6783727704097443,1.2661499172516484,201.9578231292517,"{""stop"": 427, ""time"": 308}",0
P0,0,rt10,752,735,1096,2.245967120701923,-48.4828437629166,165.4587802899309,0.345578231292517,1.0387953443526738,1.9671675615497486,12.102663317368743,0.14446568792747838,93.36769193278164,73.45113231912914,0.08541650141267512,0.0684850598869029,0.022305589066428544,0.21241374996845247,-0.3230055912683354,0.06905635589415628,0.6706204379562044,341,394,4.6500601845780025,0.16526728623049503,0.4871443874856561,2.1735283742128013,4.054543165500574,201.9578231292517,"{""stop"": 427, ""time"": 308}",0
P0,0,rt20,752,735,1096,-7.755194763892379,-58.46357324619928,165.45817706155674,0.3292517006802721,0.8798227871559906,1.7923662564789393,12.102663317368743,0.14446568792747838,93.36769193278164,73.45113231912914,-0.08048382325845654,-0.487903418078551,-0.1997868406548301,-0.7332117792251275,-0.5352073332159517,-0.373288683199372,0.6706204379562044,341,394,-5.357713589536285,-9.830172125454377,-0.13939778637240738,-0.620654692617939,-1.1564737869186381,201.9578231292517,"{""stop"": 427, ""time"": 308}",0
P0,0,rt30,752,735,1096,-17.756356648486676,-68.45328874042873,165.45761540283763,0.3129251700680272,0.7510576061866684,1.649061265757685,12.102663317368743,0.14446568792747838,93.36769193278164,73.45113231912914,-0.24638414792958815,-0.7547464802466145,-0.3737841490239341,-1.676200845233039,-0.7547464802466145,-0.49524464016287906,0.6706204379562044,341,394,-15.365487363650569,-19.825611537139242,-0.060147681743637785,-0.26722389476004865,-0.49734235741159666,201.9578231292517,"{""stop"": 427, ""time"": 308}",0
P0,0,db,752,735,1096,0.6457812191668351,-50.07976048024183,165.45868097992857,0.34285714285714286,1.0109562517670514,1.9376661492201817,12.102663317368743,0.14446568792747838,93.36769193278164,73.45113231912914,0.058872449465294074,-0.05008819971791145,-0.016967487994396957,0.06107690315779953,-0.3510601875378423,-0.04833213390956774,0.6706204379562044,341,394,3.0488163807197157,-1.4340030196390863,1.691008839866148,7.542389095730758,14.067210040166184,201.9578231292517,"{""stop"": 427, ""time"": 308}",0
P0,0,db_nonfee_x2,752,735,1096,-0.954404682368252,-51.67667719756706,165.45858273409974,0.3401360544217687,0.9840924701188694,1.9091393920306066,12.102663317368743,0.14446568792747838,93.36769193278164,73.45113231912914,0.032328397517913006,-0.15551890452112938,-0.054737772383454675,-0.09026577705665621,-0.3779564259982676,-0.14482561644210692,0.6706204379562044,341,394,1.4475725768614316,-3.033273325508661,-1.142003222814771,-5.091962850485598,-9.495248324181306,201.9578231292517,"{""stop"": 427, ""time"": 308}",0
P0,0,db_plus5,752,735,1096,-4.3547997231303155,-55.070125221883174,165.4583774951108,0.3333333333333333,0.9300499701614691,1.8600999403229381,12.102663317368743,0.14446568792747838,93.36769193278164,73.45113231912914,-0.024077712870271786,-0.3423582280207935,-0.1302685935108333,-0.41182439035174473,-0.4537996035818528,-0.2870619376540211,0.6706204379562044,341,394,-1.9550705063374276,-6.431722725481519,-0.24926407000721762,-1.1106241187104828,-2.0702431873006,201.9578231292517,"{""stop"": 427, ""time"": 308}",0
P0,0,db_plus10,752,735,1096,-9.355380665427466,-60.06048996352451,165.45808440266947,0.32653061224489793,0.857400535208285,1.768388603867088,12.102663317368743,0.14446568792747838,93.36769193278164,73.45113231912914,-0.10702787520583763,-0.5447860729015097,-0.2305581641543898,-0.8843554636609288,-0.5716322733848935,-0.40333300775540626,0.6706204379562044,341,394,-6.958957393394573,-11.429442431323956,-0.11533132583948975,-0.5133257699924325,-0.9563105113173819,201.9578231292517,"{""stop"": 427, ""time"": 308}",0
CORE_NY_R5_CLOSE,0,gross,752,750,1096,11.984994402252246,-34.959553948927095,151.85030466723492,0.25333333333333335,1.2836241923025014,3.783313408891583,11.984994402252246,0.14472210810013064,61.81523466009231,48.553989833978136,0.38430907349646887,1.2562625969675287,0.3112607733443076,1.2464023947228233,-0.20543966706433947,1.515095783555895,0.6843065693430657,357,393,11.593535673791497,12.340594315892169,0.09353337435767083,0.407360113514506,0.7360472064916416,151.70133333333334,"{""stop"": 543, ""time"": 207}",0
