seed,trades,mean_bp_gross,mean_bp_db
10042,735,-1.54887300268456,-13.146637484193327
10043,735,4.995824783922654,-6.453720420155296
10044,735,-0.967906459419752,-12.68156485256443
10045,735,-2.380423198788449,-13.955027639061335
10046,735,6.430284227287242,-5.051242796924725
10047,735,-4.44730114868838,-15.971435066841472
10048,735,5.585127959012686,-5.902678362472951
10049,735,-1.1389896319223536,-12.577329632914536
10050,735,6.7878437165529295,-4.807899049514812
10051,735,6.681893748006184,-4.909485183541472
10052,735,4.0784258278511,-7.289078766539058
10053,735,6.838846230332051,-4.599295243118261
10054,735,-6.448402965960887,-18.010925573402417
10055,735,-8.954923255246905,-20.42894318542531
10056,735,5.11395564985333,-6.373055803696874
10057,735,2.5137843212008915,-9.146750653345526
10058,735,-3.690720843093053,-15.275251213359196
10059,735,8.275612152342815,-3.2685348968250048
10060,735,-1.209834316501592,-12.764066986551091
10061,735,4.299265666475089,-7.302258075741092
10062,735,5.5898427666820565,-5.948581373298677
10063,735,-8.722342124323834,-20.364465369494553
10064,735,1.5133053455042746,-9.99506465096263
10065,735,-0.5063454271206841,-12.11352117448777
10066,735,-4.854401861528226,-16.464038265221205
10067,735,-5.707708584770658,-17.241795638532377
10068,735,8.176206098655383,-3.515836177201323
10069,735,-0.5644085140123043,-12.16365622356969
10070,735,6.8832762353829615,-4.510225597549708
10071,735,6.49424815470365,-5.047754036687446
10072,735,-2.480121118367156,-14.246273385300125
10073,735,-2.9037366948414274,-14.4415537914654
10074,735,3.05491297363247,-8.588164927407963
10075,735,3.5622601846727093,-8.002511424432639
10076,735,-5.81777873191561,-17.35257240165344
10077,735,1.7431941486159752,-9.92140950973677
10078,735,4.9640706836767645,-6.562324319961527
10079,735,9.356516584857673,-2.1862831022354343
10080,735,6.3423572281286456,-5.029676334689411
10081,735,1.253267268305482,-10.285882486939418
10082,735,7.158147417639059,-4.375092767942286
10083,735,2.391494205905295,-9.047345783154224
10084,735,6.861939102694245,-4.637795280580569
10085,735,13.28476626653739,1.8886150949387674
10086,735,-7.510429280888787,-18.964440802587823
10087,735,-1.2928265524966354,-12.799862659713803
10088,735,-5.0916989688112615,-16.596443387404562
10089,735,-2.5634766978607764,-14.079016945764314
10090,735,-4.173028323544027,-15.631496724360883
10091,735,3.7875718890179972,-7.893130714822842
10092,735,0.3004116790690387,-11.269426716976827
10093,735,2.017435573490243,-9.526463391311314
10094,735,8.532364178860757,-3.0339933520753295
10095,735,-1.966124189704062,-13.571890579258572
10096,735,1.2094298984281866,-10.401293297181986
10097,735,2.9593696005833037,-8.520845182930053
10098,735,4.15025481674497,-7.296910275254276
10099,735,5.0727956583571165,-6.521984063019531
10100,735,0.6386003116068186,-10.889461569827953
10101,735,11.050451466810907,-0.48464735202948145
10102,735,-6.016887976908028,-17.59693340374781
10103,735,-1.0853371591006062,-12.613347235320681
10104,735,5.909051042866117,-5.632359473172319
10105,735,19.78537583724591,8.25692063614054
10106,735,1.1001499460244224,-10.600666762351873
10107,735,-2.6052326647351305,-14.132690072239296
10108,735,3.188893912266174,-8.259708856623337
10109,735,6.713796525913497,-4.866016049870641
10110,735,-6.244219136882041,-17.826219200742248
10111,735,-2.839866919321269,-14.383484424776915
10112,735,4.620625048817313,-6.998631536141975
10113,735,-0.3392931250311689,-11.835355346519613
10114,735,-13.575078554541316,-25.26203584149687
10115,735,-3.7642497866096845,-15.512076726802816
10116,735,3.075746409071147,-8.54663202941436
10117,735,7.849899956366407,-3.5356381311115874
10118,735,-0.33479694720260533,-11.932090606861932
10119,735,-0.21286101547289965,-11.731355787855852
10120,735,5.494243135899431,-6.003376237850814
10121,735,-2.7651209513796133,-14.287076339475894
10122,735,-5.2618418789074655,-16.81086085297826
10123,735,-0.34994616860379946,-12.006986518924542
10124,735,-3.276243685623809,-14.832348225966431
10125,735,3.0009539459423547,-8.68170084078431
10126,735,-7.01992174831125,-18.560413940992262
10127,735,2.9420240327703078,-8.686176485089847
10128,735,9.778444982072134,-1.8575702239444964
10129,735,-2.931168884595193,-14.332714906457346
10130,735,1.2741215060661228,-10.402547059697579
10131,735,8.800364320293495,-2.8901824803442593
10132,735,0.5320105639648819,-10.859448055065608
10133,735,0.06287855030726068,-11.560897590157035
10134,735,0.8077975700628928,-10.719244066137346
10135,735,3.352989197990747,-8.223190484043629
10136,735,7.334028167133092,-4.21832307622568
10137,735,-3.5180755301424895,-14.99652698506067
10138,735,10.981406859048832,-0.6530977608318407
10139,735,2.8377880868565515,-8.790444639460228
10140,735,-6.1252142067632205,-17.68193278133129
10141,735,0.7224535704701215,-10.66012868014955
10142,735,11.620255901672655,0.07073327958471215
10143,735,1.4529383079312888,-10.117575861819581
10144,735,-0.650900591445235,-12.136553671424252
10145,735,3.242291455613097,-8.260399322739666
10146,735,-6.514494565721509,-17.93470678824562
10147,735,-1.2813788259800474,-12.62772414607132
10148,735,-0.8315222185067122,-12.496400902245213
10149,735,12.231975939446656,0.5125198526757305
10150,735,-3.987315667353375,-15.47915189508177
10151,735,2.1512218302716524,-9.58331309942387
10152,735,3.502047574260162,-7.956820643083229
10153,735,-8.054614070785139,-19.553044846355075
10154,735,9.246011881115097,-2.196906387900877
10155,735,-0.041685377829675366,-11.59160809656784
10156,735,11.683113131931737,0.08068616058370794
10157,735,0.1381139927941653,-11.550525219874354
10158,735,3.662503451715831,-7.937835404035232
10159,735,0.7935536103831293,-10.710082832338868
10160,735,4.016372948143514,-7.432332405449428
10161,735,-2.0509828957020466,-13.50072500226983
10162,735,0.2967856372721698,-11.28522256291128
10163,735,-6.679455834947781,-18.101408044135127
10164,735,2.7204196493968165,-8.696594182386866
10165,735,7.1045796519462385,-4.5859933638464065
10166,735,4.414933411158857,-7.08258271989647
10167,735,3.106214508047278,-8.40658023942372
10168,735,3.5233554445945456,-8.176608493059565
10169,735,5.689943040030047,-5.854237170870331
10170,735,9.801892895704027,-1.7428833796711698
10171,735,0.9448726495835412,-10.622603159012689
