,P0,CORE_NY_R5_CLOSE,CORE_NY_R5_STOP,CORE_NY_R15_STOP,CORE_NY_R30_CLOSE,CORE_NY_R30_STOP,CORE_NY_R60_CLOSE,CORE_NY_R60_STOP,CORE_LDN_R5_CLOSE,CORE_LDN_R5_STOP,CORE_LDN_R15_CLOSE,CORE_LDN_R15_STOP,CORE_LDN_R30_CLOSE,CORE_LDN_R30_STOP,CORE_LDN_R60_CLOSE,CORE_LDN_R60_STOP,CORE_UTC_R5_CLOSE,CORE_UTC_R5_STOP,CORE_UTC_R15_CLOSE,CORE_UTC_R15_STOP,CORE_UTC_R30_CLOSE,CORE_UTC_R30_STOP,CORE_UTC_R60_CLOSE,CORE_UTC_R60_STOP,EXT_BUF05,EXT_BUF10,EXT_GATE,EXT_RVOL10,EXT_RVOL15,EXT_RVOL20,EXT_WIDTH,EXT_DL60,EXT_DL180,EXT_STOPMID,EXT_TGT1R,EXT_TGT2R,EXT_TGT3R,EXT_TX60,INT_RVOL10_TGT2R,INT_RVOL10_GATE,X_REENTER1M,X_REENTER15M,X_NOTIME,X_TRAIL,X_TRAIL_NOTIME,X_VWAP,CTL_MOMENTUM,CTL_CLOCK_LONG,CTL_CLOCK_SHORT,CTL_FADE,CTL_PLACEBO_M120,CTL_PLACEBO_M60,CTL_PLACEBO_P60,CTL_PLACEBO_P120
2020-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0036388688578300465,-0.0036136977497341904,-0.0036388688578300465,-0.0036136977497341904,0.003042346928853412,-0.003928427429476855,0.003042346928853412,0.004216177500128593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-02,-0.0044305592125963855,-0.0023043376928423287,-0.0019978507171425353,-0.004349752797548456,0.02413819167196496,0.024424186831257133,0.02311736883292781,0.02330799320974908,-0.00412968623429244,-0.003670946923708618,-0.005993855899984468,-0.005676212920278867,-0.006600714000825625,-0.006282066674506148,-0.008034183709546006,-0.007659547535602607,-0.002748637708344326,-0.0024279981693542396,-0.003417509491626558,-0.0033330023173617773,-0.003417509491626558,-0.0033330023173617773,0.0,0.0,0.02413819167196496,0.024113552662419657,-0.0044305592125963855,0.0,0.0,0.0,0.0,-0.0044305592125963855,-0.0044305592125963855,-0.002837209852613598,-0.0044305592125963855,-0.0044305592125963855,-0.0044305592125963855,-0.0044305592125963855,0.0,0.0,-0.0014199675271552303,-0.0038980450843916215,-0.0044305592125963855,-0.00410909399084558,-0.00410909399084558,-0.0028469935767537757,-0.004253603951144935,-0.004253603951144935,-0.0012551691069920823,0.0005184568965639347,-0.0030097687565526776,-0.006403747697339313,-0.003118105496009993,0.018180135931344932
2020-01-03,0.0043795456420125944,-0.004272004934373963,-0.0037363142136452865,0.0044030330101199056,0.001973087447507016,0.004197210486961422,0.001973087447507016,0.004197210486961422,0.0010963572995821291,0.0032073352373678254,0.0010963572995821291,0.0032073352373678254,0.0010963572995821291,0.0032073352373678254,-0.007273108348475499,-0.006864900596026624,-0.003034651275232725,-0.00293656938129494,-0.004036571662316857,-0.0037605931099031764,-0.004036571662316857,-0.0037605931099031764,-0.010291605068530663,-0.009355905812578058,0.001973087447507016,0.001973087447507016,0.0043795456420125944,0.0,0.0,0.0,0.0,0.0,0.0043795456420125944,0.0043795456420125944,0.002757165823480845,0.006573763046466841,0.010490928869947957,0.011127073302171997,0.0,0.0,0.0043795456420125944,0.0043795456420125944,0.00862930217211999,0.0020781591971406055,0.0020781591971406055,0.006823824140775425,0.004412704598447004,0.004412704598447004,-0.0011682536129868915,-0.005032192328842555,-0.004388798407320205,-0.002923616612163671,-0.0057040463775430705,-0.00721105807264677
2020-01-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004492702348746325,-0.00337249790950811,-0.006137819291034408,-0.006110310647872819,-0.008672304810436238,-0.006360694784396936,-0.00998453749181294,-0.009927714136643284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001050767972684108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008330147567246149,0.008681400378766302,0.008330147567246149,0.008681400378766302,0.007250586931878189,0.007468769270736031,0.007250586931878189,0.007468769270736031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001936458721374379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-06,-0.005356250149547437,-0.003779383471205766,-0.003157911971877647,-0.005260091899694563,-0.005356250149547437,-0.005260091899694563,-0.005453762724392686,-0.0054337243489867015,-0.0035710418023525703,-0.0031083348027463042,-0.0042596662106338945,-0.0038201158479704844,-0.005165345860620674,-0.004682962466309948,0.0,0.0,0.02047507895595424,0.020515334209749936,0.01853825551765409,0.01871666749449341,0.01853825551765409,0.01871666749449341,0.017274565619524118,0.017182156264397452,-0.005453762724392686,-0.005921551805088021,0.0,0.0,0.0,0.0,0.0,0.0,-0.005356250149547437,-0.003257382402594877,-0.005356250149547437,-0.005356250149547437,-0.005356250149547437,-0.0021600656147394703,0.0,0.0,-0.0020977070732582925,-0.0021999680433887336,0.054560008937103,-0.0031709271405213624,-0.0031709271405213624,-0.002766582530208561,-0.004398761190213429,-0.004398761190213429,-0.002002953567155852,0.0009341707498637941,-0.0035806365865892475,-0.003290872168643988,-0.0024726346391588105,0.021456026787312954
2020-01-07,-0.003873723532874185,-0.002666005736873367,-0.0024599144089303415,-0.0037334382273270794,-0.007547812060189951,-0.0070598025504432504,-0.009852973249489416,-0.009633593854486477,-0.003172366237931157,-0.0025379908973434118,-0.003172366237931157,-0.0025379908973434118,-0.004172052537077309,-0.00437443455321429,-0.006410422649767766,-0.005975998826233009,0.004219226894364381,0.007645005289146356,-0.003107351815158199,-0.0019215885797020382,-0.009756365052243199,-0.008389846271875445,0.0,0.0,-0.004329283544806106,-0.004329283544806106,-0.003873723532874185,0.0,0.0,0.0,0.0,-0.003873723532874185,-0.003873723532874185,-0.0025380717503040717,0.0016525010392973716,0.004465002078595015,0.0072775031178924365,0.006773771588466149,0.0,0.0,-0.001937222132524008,-0.003873723532874185,0.05070015498475544,0.0018789258176761248,0.0018789258176761248,0.004841086336066391,-0.0036939103631487002,-0.0011981104063656378,-0.0036939103631487002,-0.0036871728691858507,-0.004893209208852833,-0.005527345113599091,-0.010617311890443903,0.012697282215229588
2020-01-08,-0.008054773434493012,-0.007986475733972487,-0.006796793981051041,-0.008042617594857138,-0.008054773434493012,-0.008042617594857138,-0.009976647288297613,-0.009016012603879964,-0.004435848332388637,-0.004232071207538768,-0.0057041528954479,-0.0053146639346336455,-0.007157546228106382,-0.006332683811451467,0.0,0.0,0.010331774881496392,0.010946898634062396,-0.004590518444963276,-0.0034277884893426647,-0.004590518444963276,-0.0034277884893426647,0.0,0.0,-0.008868665893831729,-0.008868665893831729,-0.009131540975364394,0.0,0.0,0.0,0.0,-0.008054773434493012,-0.008054773434493012,-0.004614026754698797,-0.008054773434493012,-0.008054773434493012,-0.008054773434493012,-0.008054773434493012,0.0,0.0,-0.0012203639768384456,-0.0029576392302504972,-0.011712210681474766,-0.002244137024019599,-0.002244137024019599,-0.0038449896897763125,-0.005373537015699759,-0.005373537015699759,-0.00379396260283138,0.002290022406185477,-0.004037013294867164,0.03932113013459371,-0.01488964921353142,-0.0030759878856728706
2020-01-09,-0.004811576374621818,-0.0035611676202773612,-0.003381824898420871,-0.004594858458813134,-0.004811576374621818,-0.004594858458813134,-0.009938490242736742,-0.008700598480058774,-0.002796390237282287,-0.0028691057609306903,0.0040467600284115335,0.004241022237499559,0.003408294202524198,0.0034321416311933195,3.6863001954934305e-05,0.0009130807325354873,0.005494687646276919,0.008196677384245232,-0.0005464262734348191,0.0010287813292029213,0.0,0.0,0.0,0.0,-0.004811576374621818,-0.005856042067377554,-0.005742570319411833,0.0,0.0,0.0,0.0,-0.004811576374621818,-0.004811576374621818,-0.003145185205801093,0.002391511982714034,-0.004811576374621818,-0.004811576374621818,-0.004811576374621818,0.0,0.0,-0.002148708569057578,-0.004811576374621818,-0.03028825105552002,-0.0005404767278285316,-0.0005404767278285316,-0.001382522644698403,-0.002807342737642604,-0.0029538183016476482,-0.002807342737642604,-0.004277667090042403,-0.008901745792947668,-0.006107822141239394,-0.00415960900379686,-0.007643129049606956
2020-01-10,0.011386036109554576,0.01584294175193679,0.01756582938263107,0.011814985308520987,0.009935636412795823,0.010657149392344412,-0.004763181545148543,-0.0023549034929482016,-0.004142590063019869,-0.004051711291447213,-0.008500638548627926,-0.007042450305175585,-0.00919787396772942,-0.009030029966783149,0.0,-0.010418902372954841,-0.004246612858783028,-0.0040266820972099104,-0.005689641736631557,-0.005517256826020112,0.006301105570495569,0.0070356402867386425,0.006301105570495569,0.0070356402867386425,0.011386036109554576,0.009935636412795823,0.011386036109554576,0.0,0.0,0.0,0.0,0.011386036109554576,0.011386036109554576,-0.006133339626118395,0.00815844370151142,0.0173757483086574,0.011386036109554576,0.00726268042555267,0.0,0.0,-0.001590968625076683,-0.00457107836021553,0.02874753369170646,0.003803656083004592,0.003803656083004592,-0.004686676394159095,0.014166690264507897,0.014166690264507897,-0.003483002062716123,-0.00963886439048356,0.01601164145962164,-0.0061302125602886726,-0.006722536033986537,-0.00628348944673407
