arm,entry_date,exit_date,exit_reason,entry_price,fr_7d_avg_pct,funding_pct,cost_pct,net_pct,resizes
base,2019-10-04,2019-10-05,neg_streak=3d,8223.96,0.012635142857142859,-0.035800000000000005,0.24000000000000002,-0.27580000000000005,0
base,2019-10-12,2019-11-28,neg_streak=3d,8258.5,0.0012160000000000014,1.459826000000001,0.24000000000000002,1.219826000000001,0
base,2019-12-03,2019-12-19,neg_streak=3d,7294.28,0.0020650000000000017,0.035128,0.24000000000000002,-0.20487200000000003,0
base,2019-12-24,2019-12-30,neg_streak=3d,7317.09,0.005309142857142858,0.00939900000000001,0.24000000000000002,-0.230601,0
base,2020-01-07,2020-03-16,neg_streak=3d,7758.0,0.007442428571428572,6.308511999999992,0.24000000000000002,6.068511999999992,0
base,2020-03-27,2020-03-31,neg_streak=3d,6737.36,0.006179428571428572,-0.25663699999999995,0.24000000000000002,-0.496637,0
base,2020-04-09,2020-04-16,neg_streak=3d,7361.28,0.001988285714285714,0.0020490000000000013,0.24000000000000002,-0.23795100000000002,0
base,2020-04-28,2020-09-22,neg_streak=3d,7774.62,0.005376285714285716,6.773306999999969,0.24000000000000002,6.533306999999969,0
base,2020-09-27,2020-11-01,neg_streak=3d,10728.6,0.0033782857142857147,0.6355860000000007,0.24000000000000002,0.39558600000000066,0
base,2020-11-07,2021-05-25,neg_streak=3d,15579.92,0.00038299999999999966,26.94614500000011,0.24000000000000002,26.706145000000113,0
base,2021-05-26,2021-06-24,neg_streak=3d,38324.72,0.0014984285714285726,0.4729790000000004,0.24000000000000002,0.2329790000000004,0
base,2021-07-05,2021-07-22,neg_streak=3d,35286.51,0.010893000000000002,-0.167256,0.24000000000000002,-0.407256,0
base,2021-08-01,2022-01-15,neg_streak=3d,41461.83,0.002239285714285715,7.68762799999996,0.24000000000000002,7.44762799999996,0
base,2022-01-16,2022-02-24,neg_streak=3d,43084.29,0.011078571428571429,0.42339300000000013,0.24000000000000002,0.1833930000000001,0
base,2022-02-27,2022-03-14,neg_streak=3d,39116.72,0.00021099999999999965,0.11097099999999997,0.24000000000000002,-0.12902900000000006,0
base,2022-03-16,2022-04-25,neg_streak=3d,39280.33,0.002634428571428572,0.5656400000000001,0.24000000000000002,0.32564000000000015,0
base,2022-05-02,2022-06-17,neg_streak=3d,38468.35,0.004817428571428572,0.6018040000000004,0.24000000000000002,0.36180400000000046,0
base,2022-06-22,2022-08-23,neg_streak=3d,20723.52,0.003710571428571428,0.9032100000000005,0.24000000000000002,0.6632100000000005,0
base,2022-09-05,2022-11-12,neg_streak=3d,20000.3,0.0023274285714285714,0.6362830000000006,0.24000000000000002,0.3962830000000006,0
base,2022-11-24,2023-08-22,neg_streak=3d,16603.11,0.0046630000000000005,5.095991999999969,0.24000000000000002,4.8559919999999686,0
base,2023-08-23,2023-09-21,neg_streak=3d,26056.0,0.008403428571428572,0.11286499999999997,0.24000000000000002,-0.12713500000000005,0
base,2023-09-24,2023-10-20,neg_streak=3d,26575.96,0.0015135714285714286,0.11835899999999999,0.24000000000000002,-0.12164100000000003,0
