arm,first,gt_10bp,gt_1bp,gt_2bp,gt_3bp,gt_5bp,last,max_spread_bp,mean_abs_rate_bp,mean_spread_bp,n,n_calendar_days,n_exceed_days_3bp,n_gt_10bp,n_gt_1bp,n_gt_2bp,n_gt_3bp,n_gt_5bp,p50,p75,p90,p95,p99,p99.9,pair_flip_rate_all,pair_flip_rate_on_exceedance,sd_spread_bp,span_days,stress_concentrated,top5_days_share_of_3bp_exceedances,top5pct_days_share_of_3bp_exceedances
P,2026-06-08 08:00,0.0,0.02142857142857143,0.0,0.0,0.0,2026-09-09 08:00,1.559339409731,0.4942930139970928,0.4467752457834357,280,94,0,0,6,0,0,0,0.43255052830099994,0.61102408763025,0.8017581958056,0.911625,1.0629459999999997,1.4382107506907076,0.7096774193548387,0.0,0.2595597837337598,93.0,False,nan,nan
P-ETH,2026-06-08 08:00,0.0,0.02142857142857143,0.0,0.0,0.0,2026-09-09 08:00,1.5887844339,0.4207014132912476,0.42116825153274995,280,94,0,0,6,0,0,0,0.3811844730065,0.5950579668054998,0.7560794348129,0.86805665557115,1.064907188316949,1.5487140759325624,0.7168458781362007,0.0,0.2628719228708322,93.0,False,nan,nan
S,2020-03-25 16:00,0.011304224954076587,0.21054118976967642,0.1079553483114314,0.0702274975272008,0.0357496114172672,2026-09-09 08:00,37.5079,1.3450914299844567,0.9251215345485374,7077,2360,292,80,1490,764,497,253,0.33009999999999995,0.8470999999999999,2.144600000000006,3.976699999999999,10.847951999999918,21.638528800000003,0.35599208592425097,0.2560483870967742,2.0921088940881503,2358.6666666666665,True,0.030181086519114688,0.5875251509054326
S-ETH,2020-10-21 08:00,0.008219602977667493,0.1797456575682382,0.08622828784119106,0.05195409429280397,0.027450372208436723,2026-09-09 08:00,41.0648,1.4368387251861041,0.7974891439205954,6448,2150,202,53,1159,556,335,177,0.3049,0.7491,1.7193100000000008,3.110349999999996,9.167218999999967,21.30061480000064,0.3545835272219637,0.3413173652694611,1.9131534416656788,2149.0,True,0.04477611940298507,0.7194029850746269
