date,daily_funding_pct,z60,expanding_p95,fires_next_day
2019-09-26,0.030000,,,0
2019-09-27,0.030000,,,0
2019-09-28,0.030000,,,0
2019-09-29,0.030000,,,0
2019-09-30,0.030000,,,0
2019-10-01,0.030000,,,0
2019-10-02,-0.032458,,,0
2019-10-03,-0.029096,,,0
2019-10-04,-0.000112,,,0
2019-10-05,-0.049574,,,0
2019-10-06,-0.011986,,,0
2019-10-07,-0.049928,,,0
2019-10-08,0.030000,,,0
2019-10-09,0.030000,,,0
2019-10-10,0.030000,,,0
2019-10-11,0.030000,,,0
2019-10-12,0.030000,,,0
2019-10-13,0.030000,,,0
2019-10-14,0.030000,,,0
2019-10-15,0.030000,,,0
2019-10-16,0.030000,,,0
2019-10-17,0.030000,,,0
2019-10-18,0.030000,,,0
2019-10-19,0.030000,,,0
2019-10-20,0.030000,,,0
2019-10-21,0.030000,,,0
2019-10-22,0.030000,,,0
2019-10-23,0.030000,,,0
2019-10-24,0.015605,,,0
2019-10-25,0.005291,,,0
2019-10-26,0.054583,,,0
2019-10-27,0.038561,,,0
2019-10-28,0.164559,,,0
2019-10-29,0.117130,,,0
2019-10-30,0.106636,,,0
2019-10-31,0.092829,,,0
2019-11-01,0.074601,,,0
2019-11-02,0.030000,,,0
2019-11-03,0.030000,,,0
2019-11-04,0.030072,,,0
2019-11-05,0.030000,,,0
2019-11-06,0.033877,,,0
2019-11-07,0.064559,,,0
2019-11-08,0.032500,,,0
2019-11-09,0.030000,,,0
2019-11-10,0.030000,,,0
2019-11-11,0.030000,,,0
2019-11-12,0.030000,,,0
2019-11-13,-0.002089,,,0
2019-11-14,0.030000,,,0
2019-11-15,0.030000,,,0
2019-11-16,0.030000,,,0
2019-11-17,0.030000,,,0
2019-11-18,0.030000,,,0
2019-11-19,0.030000,,,0
2019-11-20,0.030000,,,0
2019-11-21,0.030000,,,0
2019-11-22,-0.009189,,,0
2019-11-23,-0.060008,,,0
2019-11-24,0.009784,-0.5269,,0
2019-11-25,-0.004135,-0.8978,,0
2019-11-26,-0.091498,-3.0217,,0
2019-11-27,-0.023842,-1.2397,,0
2019-11-28,0.030000,0.1285,,0
2019-11-29,0.030000,0.1285,,0
2019-11-30,0.018074,-0.1695,,0
2019-12-01,0.030000,0.1090,,0
2019-12-02,0.021721,-0.1294,,0
2019-12-03,0.009295,-0.4620,,0
2019-12-04,-0.002290,-0.8132,,0
2019-12-05,-0.005412,-0.9039,,0
2019-12-06,0.020146,-0.2475,,0
2019-12-07,0.023809,-0.1405,,0
2019-12-08,0.030000,0.0354,,0
2019-12-09,0.030000,0.0354,,0
2019-12-10,0.030000,0.0354,,0
2019-12-11,0.008370,-0.5673,,0
2019-12-12,-0.005680,-0.9412,,0
2019-12-13,-0.028330,-1.5196,,0
2019-12-14,0.006894,-0.5372,,0
2019-12-15,0.008419,-0.4845,,0
2019-12-16,-0.027899,-1.4286,,0
2019-12-17,-0.019641,-1.1699,,0
