window,pctile,resize_cost,n_fire_days,n_fire_open_days,sharpe,sharpe_base,sharpe_uplift,mar,mar_base,ann_return_pct,ann_return_base_pct,max_dd_pct,max_dd_base_pct,elig_from,sharpe_elig,sharpe_base_elig,sharpe_uplift_elig,mar_elig,mar_base_elig,n_days_elig
30,90,True,235,226,7.040005294923475,8.951856914793419,-1.9118516198699442,4.4274492735182855,6.378931312975825,7.638076098499803,10.50548749506514,1.7251639999999782,1.6469040000000001,2020-07-02,7.193509029572448,9.374280379216936,-2.1807713496444876,4.24551606590925,10.004201062317634,2261
30,90,False,235,226,8.8524879437771,8.951856914793419,-0.09936897101631992,5.6772946334568095,6.378931312975825,9.349959241018555,10.50548749506514,1.6469040000000001,1.6469040000000001,2020-07-02,9.384341851061134,9.374280379216936,0.010061471844197811,8.635991773340223,10.004201062317634,2261
30,95,True,96,94,8.047957234600077,8.951856914793419,-0.9038996801933425,5.486720254340532,6.378931312975825,9.03610153375444,10.50548749506514,1.6469040000000001,1.6469040000000001,2020-07-02,8.355239764513792,9.374280379216936,-1.0190406147031439,7.286946143154949,10.004201062317634,2261
30,95,False,96,94,8.851232842918273,8.951856914793419,-0.10062407187514566,6.032696791858933,6.378931312975825,9.935272477299645,10.50548749506514,1.6469040000000001,1.6469040000000001,2020-07-02,9.303054631623521,9.374280379216936,-0.07122574759341482,9.36644154559736,10.004201062317634,2261
30,99,True,14,14,8.858618730754861,8.951856914793419,-0.0932381840385581,6.182033230610733,6.378931312975825,10.18121525562574,10.50548749506514,1.6469040000000001,1.6469040000000001,2020-07-02,9.285922161678043,9.374280379216936,-0.08835821753889306,9.659273926207899,10.004201062317634,2261
30,99,False,14,14,8.97634290985838,8.951856914793419,0.02448599506496052,6.2870287185950415,6.378931312975825,10.35413274476905,10.50548749506514,1.6469040000000001,1.6469040000000001,2020-07-02,9.42042092356371,9.374280379216936,0.04614054434677506,9.843205595525555,10.004201062317634,2261
60,90,True,221,218,7.2517950065914,8.951856914793419,-1.7000619082020192,4.5162718023240265,6.378931312975825,8.114523293525464,10.50548749506514,1.7967304999999811,1.6469040000000001,2020-08-01,7.299539140659759,9.28948873194861,-1.9899495912888518,4.256808879881442,9.839354881908994,2231
60,90,False,221,218,8.638717561024597,8.951856914793419,-0.31313935376882185,5.767101911630507,6.378931312975825,9.49786320667193,10.50548749506514,1.6469040000000001,1.6469040000000001,2020-08-01,8.988613176860115,9.28948873194861,-0.3008755550884956,8.561970235244516,9.839354881908994,2231
60,95,True,79,79,8.274318866531527,8.951856914793419,-0.6775380482618925,5.677459038891746,6.378931312975825,9.350230000986972,10.50548749506514,1.6469040000000001,1.6469040000000001,2020-08-01,8.51837385528166,9.28948873194861,-0.7711148766669513,6.658498776617241,9.839354881908994,2231
60,95,False,79,79,8.832720575407581,8.951856914793419,-0.11913633938583779,6.076441893232114,6.378931312975825,10.007316459731543,10.50548749506514,1.6469040000000001,1.6469040000000001,2020-08-01,9.185457795729976,9.28948873194861,-0.1040309362186349,9.302326724800933,9.839354881908994,2231
60,99,True,10,10,8.826584799861509,8.951856914793419,-0.12527211493191004,6.2468129968023325,6.378931312975825,10.287901311685749,10.50548749506514,1.6469040000000001,1.6469040000000001,2020-08-01,9.14720625864401,9.28948873194861,-0.14228247330460064,9.604797071870593,9.839354881908994,2231
60,99,False,10,10,8.933346840390405,8.951856914793419,-0.018510074403014443,6.330809387189779,6.378931312975825,10.426235303000396,10.50548749506514,1.6469040000000001,1.6469040000000001,2020-08-01,9.273089412211478,9.28948873194861,-0.0163993197371326,9.753921053700168,9.839354881908994,2231
90,90,True,196,194,7.658320197686783,8.951856914793419,-1.2935367171066359,4.992201425875605,6.378931312975825,8.371220386893013,10.50548749506514,1.676859499999992,1.6469040000000001,2020-08-31,7.603639656276943,9.113599559156718,-1.5099599028797748,4.562490308867694,9.596194795631508,2201
90,90,False,196,194,8.73365186685097,8.951856914793419,-0.21820504794244933,5.765475137788552,6.378931312975825,9.495184066324518,10.50548749506514,1.6469040000000001,1.6469040000000001,2020-08-31,8.934668160379264,9.113599559156718,-0.17893139877745412,8.305780068138585,9.596194795631508,2201
90,95,True,70,70,8.400391319424632,8.951856914793419,-0.5514655953687875,5.7417996177067305,6.378931312975825,9.456192757599686,10.50548749506514,1.6469040000000001,1.6469040000000001,2020-08-31,8.485076036096599,9.113599559156718,-0.6285235230601192,5.850007177025373,9.596194795631508,2201
90,95,False,70,70,8.843321601193376,8.951856914793419,-0.10853531360004354,6.077785179256514,6.378931312975825,10.00952872285827,10.50548749506514,1.6469040000000001,1.6469040000000001,2020-08-31,9.019231377206678,9.113599559156718,-0.09436818195004015,9.054264178622377,9.596194795631508,2201
90,99,True,8,8,8.845803680050977,8.951856914793419,-0.10605323474244166,6.263942529437651,6.378931312975825,10.316112007500987,10.50548749506514,1.6469040000000001,1.6469040000000001,2020-08-31,8.991427438434467,9.113599559156718,-0.12217212072225081,9.389265549546431,9.596194795631508,2201
90,99,False,8,8,8.940086169302555,8.951856914793419,-0.011770745490863987,6.337439371026667,6.378931312975825,10.437154249901303,10.50548749506514,1.6469040000000001,1.6469040000000001,2020-08-31,9.104357176290689,9.113599559156718,-0.009242382866029075,9.521527545470583,9.596194795631508,2201
