symbol,policy,block,scenario,sessions,trades,days,mean_bp,median_bp,sd_bp,win_rate,profit_factor,payoff,mean_gross_bp,mean_funding_bp,mean_risk_bp,median_risk_bp,mean_R,total_return,ann_return,sharpe_daily_ann,max_drawdown,mar,exposure_days,long_trades,short_trades,long_mean_bp,short_mean_bp,best1_share,best5_share,best10_share,mean_bars_held,flagged_trades,exit_reasons
BTCUSDT,P0,development,gross,752,735,1096,12.102663317368743,-39.864460833167236,165.44560839996123,0.35918367346938773,1.2348148222830717,2.203021898845935,12.102663317368743,0.14446568792747838,93.36769193278164,73.45113231912914,0.2493468521941667,1.2042726419512912,0.30112005427834965,1.1437340025840386,-0.20853117526408416,1.4440049738223113,0.6706204379562044,341,394,15.54754822857219,9.121176630261193,0.0912440193720913,0.4072243986660972,0.7628924405128288,201.9578231292517,0,"{""stop"": 427, ""time"": 308}"
BTCUSDT,P0,development,db,752,735,1096,0.6457812191668351,-50.07976048024183,165.45868097992857,0.34285714285714286,1.0109562517670514,1.9376661492201817,12.102663317368743,0.14446568792747838,93.36769193278164,73.45113231912914,0.058872449465294074,-0.05008819971791145,-0.016967487994396957,0.06107690315779953,-0.3510601875378423,-0.04833213390956774,0.6706204379562044,341,394,3.0488163807197157,-1.4340030196390863,1.691008839866148,7.542389095730758,14.067210040166184,201.9578231292517,0,"{""stop"": 427, ""time"": 308}"
BTCUSDT,P0,validation,gross,497,490,731,4.680855414197607,-40.47682542350728,135.07338034424663,0.3081632653061224,1.1041683389384291,2.478894482782301,4.680855414197607,0.08184704741881997,76.13342387875794,63.21180152225699,0.12330063301737369,0.20384960101885952,0.0970615790918592,0.5421275293191083,-0.1446248917904751,0.6711263731313755,0.6703146374829001,236,254,2.5385393951172057,6.6713537626345065,0.3487976120740964,1.3485284802878788,2.360178918848522,185.16938775510204,0,"{""stop"": 315, ""time"": 175}"
BTCUSDT,P0,validation,db,497,490,731,-6.836000908661314,-52.212244585895355,135.09830025841484,0.2979591836734694,0.8710556125389866,2.052350210365831,4.680855414197607,0.08184704741881997,76.13342387875794,63.21180152225699,-0.09030340230255943,-0.3154413457462284,-0.1724048996746943,-0.7914086032634083,-0.3728938878975463,-0.46234305594749536,0.6703146374829001,236,254,-9.560315758057987,-4.304747741505353,-0.23491430332857088,-0.9037061560456546,-1.5792504281214668,185.16938775510204,0,"{""stop"": 315, ""time"": 175}"
BTCUSDT,P0,lockbox,gross,421,416,621,2.4076512604214977,-44.36559841964353,133.15307073048226,0.35096153846153844,1.0498272193784626,1.9414612961108553,2.4076512604214977,0.01579860727440318,87.45596335219933,75.52152178797218,0.03499959472005417,0.06597828528805416,0.03826788594035491,0.28283871899824825,-0.16211055518598427,0.23606042121348225,0.6698872785829307,206,210,-2.944526245154603,7.6578825277961515,0.8495069070803211,2.7469138866293914,4.6040489224124626,204.68269230769232,0,"{""stop"": 234, ""time"": 182}"
BTCUSDT,P0,lockbox,db,421,416,621,-9.173462290747235,-56.13200155577677,133.18968611426948,0.3269230769230769,0.8360863547057509,1.7213542596883107,2.4076512604214977,0.01579860727440318,87.45596335219933,75.52152178797218,-0.1337555817833674,-0.3417352639954935,-0.2178990260998157,-1.0765694267218842,-0.3903660248766183,-0.5581915746092051,0.6698872785829307,206,210,-14.751163658878884,-3.7020028534371368,-0.2199240033099016,-0.7057224072263508,-1.1782988222951487,204.68269230769232,0,"{""stop"": 234, ""time"": 182}"
BTCUSDT,CORE_NY_R5_CLOSE,development,gross,752,750,1096,11.984994402252246,-34.959553948927095,151.85030466723492,0.25333333333333335,1.2836241923025014,3.783313408891583,11.984994402252246,0.14472210810013064,61.81523466009231,48.553989833978136,0.38430907349646887,1.2562625969675287,0.3112607733443076,1.2464023947228233,-0.20543966706433947,1.515095783555895,0.6843065693430657,357,393,11.593535673791497,12.340594315892169,0.09353337435767083,0.407360113514506,0.7360472064916416,151.70133333333334,0,"{""stop"": 543, ""time"": 207}"
BTCUSDT,CORE_NY_R5_CLOSE,development,db,752,750,1096,0.5302663204480444,-46.466701054949105,151.90078919496523,0.24933333333333332,1.0104211411592658,3.042070066698752,11.984994402252246,0.14472210810013064,61.81523466009231,48.553989833978136,0.08779085351265553,-0.04410320778550181,-0.014909133421928566,0.05518187708716708,-0.3276795926657957,-0.04549912095726562,0.6843065693430657,357,393,-0.5016948984200825,1.4676967406412273,2.0913682532762996,9.058323338780363,16.3873960214011,151.70133333333334,0,"{""stop"": 543, ""time"": 207}"
BTCUSDT,CORE_NY_R5_CLOSE,validation,gross,497,497,731,14.552570449205861,-29.35407259046145,127.9146798486246,0.24748490945674045,1.4606356295493166,4.441282320743451,14.552570449205861,0.053083749814386474,46.38700311444167,37.47865689118092,0.43327877466607434,0.9801205746207096,0.4065101893693164,1.7890633675615315,-0.11580700056971893,3.5102384775485684,0.679890560875513,234,263,16.048413559982585,13.221668213761934,0.11061109978255733,0.4459607665745423,0.8001685124274736,140.48289738430583,1,"{""stop"": 368, ""time"": 129}"
BTCUSDT,CORE_NY_R5_CLOSE,validation,db,497,497,731,3.0053297374125347,-41.03840098794696,127.91271781030133,0.2454728370221328,1.0744919319693684,3.302741594168141,14.552570449205861,0.053083749814386474,46.38700311444167,37.47865689118092,0.08893609659938423,0.11591153522514341,0.056287900192400375,0.37020816445105276,-0.1839295164540362,0.30602972963540986,0.679890560875513,234,263,4.082476104106326,2.0469561640043694,0.5268162165811431,2.1165946990932,3.7920012736706985,140.48289738430583,1,"{""stop"": 368, ""time"": 129}"
BTCUSDT,CORE_NY_R5_CLOSE,lockbox,gross,421,421,621,2.874569953240693,-33.635950492986055,113.45792101594283,0.24465558194774348,1.0767978684102588,3.324482739363712,2.874569953240693,0.029138795131260324,52.68921833125875,43.38866399461181,0.10004231275674985,0.0990146796345941,0.057061564673821286,0.398658651716305,-0.11357687082640544,0.5024047964927298,0.677938808373591,191,230,-5.030731276381871,9.439407061318564,0.5788992324789699,2.0468199734804493,3.5358441295223213,143.89311163895488,0,"{""stop"": 306, ""time"": 115}"
BTCUSDT,CORE_NY_R5_CLOSE,lockbox,db,421,421,621,-8.691976474163019,-45.21644164170012,113.5325180765291,0.23515439429928742,0.8120135103198691,2.641094447707049,2.874569953240693,0.029138795131260324,52.68921833125875,43.38866399461181,-0.1889169481129626,-0.3248193908524024,-0.20614791338922844,-1.2036380290733517,-0.3808772144288106,-0.5412450668606729,0.677938808373591,191,230,-16.75427211432057,-1.9967657469017426,-0.18853208307634248,-0.6610850125011877,-1.1384369355491257,143.89311163895488,0,"{""stop"": 306, ""time"": 115}"
BTCUSDT,CORE_NY_R5_STOP,development,gross,752,751,1096,11.000080238270767,-30.72721943091647,147.55171635067586,0.22237017310252996,1.2873687176976558,4.501936114583419,11.000080238270767,0.11636836559477007,52.48046015473964,40.752362022237136,0.4700605688078349,1.1080966569494248,0.28193203245613674,1.1782128622456278,-0.18161199455444565,1.552386631443641,0.6852189781021898,365,386,12.846775997055843,9.25385238346105,0.10239007900374723,0.45159372245600354,0.8189760181806875,134.9440745672437,2,"{""stop"": 573, ""time"": 178}"
BTCUSDT,CORE_NY_R5_STOP,development,db,752,751,1096,-0.4844141258374781,-42.20780670192701,147.63154940738775,0.2170439414114514,0.989752054751397,3.5703939152995186,11.000080238270767,0.11636836559477007,52.48046015473964,40.752362022237136,0.11565299079704648,-0.10998238426364326,-0.03805939529301694,-0.05190260160469151,-0.33893582881284656,-0.1122908587927202,0.6852189781021898,365,386,0.7798207552231988,-1.6798693890166199,-2.3003099746048195,-10.092045651839163,-18.325233688190377,134.9440745672437,2,"{""stop"": 573, ""time"": 178}"
BTCUSDT,CORE_NY_R5_STOP,validation,gross,497,497,731,12.545133917880309,-25.871332461221776,116.19893637465378,0.21327967806841047,1.4446072074134606,5.328692623572294,12.545133917880309,0.031997587197294466,39.31572770141725,32.35101216663351,0.4749873095906795,0.8046566418463916,0.34283273460246244,1.698121858565105,-0.1376844649507244,2.4899885017903665,0.679890560875513,236,261,12.618726813162743,12.478590150498489,0.11072754413975401,0.46798747664759816,0.8283961611724417,123.83299798792757,1,"{""stop"": 387, ""time"": 110}"
BTCUSDT,CORE_NY_R5_STOP,validation,db,497,497,731,0.9774569731878584,-37.31521819478914,116.22742951883998,0.21327967806841047,1.0261602829671521,3.785176138114684,12.545133917880309,0.031997587197294466,39.31572770141725,32.35101216663351,0.06313457149139766,0.015877108390738526,0.00789643188094269,0.1325226543319576,-0.23047976244150892,0.03426084701448199,0.679890560875513,236,261,0.692711086637928,1.234928349531856,1.3987966060475996,5.873431670734031,10.383489003484232,123.83299798792757,1,"{""stop"": 387, ""time"": 110}"
BTCUSDT,CORE_NY_R5_STOP,lockbox,gross,421,421,621,5.79269248320532,-29.424906228322524,110.77209230623882,0.21852731591448932,1.1759041040924265,4.205135328765307,5.79269248320532,0.03120717050871183,44.520811427035625,36.930311748955845,0.17754525837088142,0.24422210723041382,0.13704422458640475,0.8225581792445968,-0.07878293041952744,1.739516718363099,0.677938808373591,194,227,-5.2598420797280125,15.238470920249668,0.2922008224002434,1.0331798730984603,1.800055579142916,128.3349168646081,0,"{""stop"": 320, ""time"": 101}"
BTCUSDT,CORE_NY_R5_STOP,lockbox,db,421,421,621,-5.76992900540195,-41.04197267393495,110.85566768465347,0.2161520190023753,0.8626088827865905,3.1281421024129106,5.79269248320532,0.03120717050871183,44.520811427035625,36.930311748955845,-0.16646219145791338,-0.23537610017933042,-0.14592674152582297,-0.8187114546267862,-0.33245467940426754,-0.43893724638591985,0.677938808373591,194,227,-16.957213238009107,3.7910099422887487,-0.2889592883552575,-1.013407746084337,-1.7605906091051815,128.3349168646081,0,"{""stop"": 320, ""time"": 101}"
