symbol,policy,scenario,year,mean_bp,trades
BTCUSDT,CORE_NY_R30_STOP,gross,2025,6.936289853140977,235
BTCUSDT,CORE_NY_R30_STOP,gross,2026,3.2270441319588117,169
BTCUSDT,CORE_NY_R30_STOP,db,2020,-1.4024136083359704,235
BTCUSDT,CORE_NY_R30_STOP,db,2021,-4.870994348812095,242
BTCUSDT,CORE_NY_R30_STOP,db,2022,18.204954272989223,229
BTCUSDT,CORE_NY_R30_STOP,db,2023,9.992266831207505,232
BTCUSDT,CORE_NY_R30_STOP,db,2024,12.430366721660832,238
BTCUSDT,CORE_NY_R30_STOP,db,2025,-4.634399119202227,235
BTCUSDT,CORE_NY_R30_STOP,db,2026,-8.350010168067646,169
BTCUSDT,CORE_NY_R60_CLOSE,gross,2020,5.959407694281698,176
BTCUSDT,CORE_NY_R60_CLOSE,gross,2021,8.168949240962398,185
BTCUSDT,CORE_NY_R60_CLOSE,gross,2022,40.95541221206942,154
BTCUSDT,CORE_NY_R60_CLOSE,gross,2023,28.43699983772782,172
BTCUSDT,CORE_NY_R60_CLOSE,gross,2024,8.18560820631108,188
BTCUSDT,CORE_NY_R60_CLOSE,gross,2025,4.455371772753737,172
BTCUSDT,CORE_NY_R60_CLOSE,gross,2026,-2.865694620546455,126
BTCUSDT,CORE_NY_R60_CLOSE,db,2020,-5.645290907480612,176
BTCUSDT,CORE_NY_R60_CLOSE,db,2021,-3.0526988179409296,185
BTCUSDT,CORE_NY_R60_CLOSE,db,2022,29.428972712235687,154
BTCUSDT,CORE_NY_R60_CLOSE,db,2023,16.982044425157714,172
BTCUSDT,CORE_NY_R60_CLOSE,db,2024,-3.3253746810185887,188
BTCUSDT,CORE_NY_R60_CLOSE,db,2025,-7.093857057255662,172
BTCUSDT,CORE_NY_R60_CLOSE,db,2026,-14.459041770379745,126
BTCUSDT,CORE_NY_R60_STOP,gross,2020,6.362122900865576,194
BTCUSDT,CORE_NY_R60_STOP,gross,2021,18.34257243365689,200
BTCUSDT,CORE_NY_R60_STOP,gross,2022,33.596757788020845,174
BTCUSDT,CORE_NY_R60_STOP,gross,2023,30.37324031334904,186
BTCUSDT,CORE_NY_R60_STOP,gross,2024,9.844456815347638,202
BTCUSDT,CORE_NY_R60_STOP,gross,2025,7.919148322324965,184
BTCUSDT,CORE_NY_R60_STOP,gross,2026,-1.3932656621976145,140
BTCUSDT,CORE_NY_R60_STOP,db,2020,-5.379620186483977,194
BTCUSDT,CORE_NY_R60_STOP,db,2021,7.027094521137482,200
BTCUSDT,CORE_NY_R60_STOP,db,2022,22.02791169508418,174
BTCUSDT,CORE_NY_R60_STOP,db,2023,18.942847065103745,186
BTCUSDT,CORE_NY_R60_STOP,db,2024,-1.6765372096303026,202
BTCUSDT,CORE_NY_R60_STOP,db,2025,-3.6264620844422226,184
BTCUSDT,CORE_NY_R60_STOP,db,2026,-12.983643049000136,140
BTCUSDT,CORE_LDN_R5_CLOSE,gross,2020,1.7470268201045904,251
BTCUSDT,CORE_LDN_R5_CLOSE,gross,2021,7.99339050582976,251
BTCUSDT,CORE_LDN_R5_CLOSE,gross,2022,-2.6609477205616905,246
BTCUSDT,CORE_LDN_R5_CLOSE,gross,2023,-1.381711042633852,249
BTCUSDT,CORE_LDN_R5_CLOSE,gross,2024,5.261193536057764,252
BTCUSDT,CORE_LDN_R5_CLOSE,gross,2025,4.46303245306591,251
BTCUSDT,CORE_LDN_R5_CLOSE,gross,2026,4.952464030696316,176
BTCUSDT,CORE_LDN_R5_CLOSE,db,2020,-9.624958396071625,251
BTCUSDT,CORE_LDN_R5_CLOSE,db,2021,-3.626267473952862,251
BTCUSDT,CORE_LDN_R5_CLOSE,db,2022,-14.275931314309966,246
BTCUSDT,CORE_LDN_R5_CLOSE,db,2023,-12.98512702275921,249
BTCUSDT,CORE_LDN_R5_CLOSE,db,2024,-6.327789860748423,252
BTCUSDT,CORE_LDN_R5_CLOSE,db,2025,-7.172207558645184,251
BTCUSDT,CORE_LDN_R5_CLOSE,db,2026,-6.641544416836567,176
BTCUSDT,CORE_LDN_R5_STOP,gross,2020,4.926884068179791,252
BTCUSDT,CORE_LDN_R5_STOP,gross,2021,9.999484508266496,251
BTCUSDT,CORE_LDN_R5_STOP,gross,2022,-1.3229526898000665,247
BTCUSDT,CORE_LDN_R5_STOP,gross,2023,-1.981162510631538,249
BTCUSDT,CORE_LDN_R5_STOP,gross,2024,6.906193103325747,252
