trigger_ts,entry,stop,target,exit_price,exit_reason,pnl_R,risk_pct
2022-05-06 07:30:00+00:00,35897.9,35764.2,36299.000000000015,36299.000000000015,target,2.892001645474976,0.00372445184815837
2022-05-06 13:30:00+00:00,35487.4,35164.8,36455.2,36065.88,time,1.7488200371977813,0.009090550448891678
2022-05-08 17:00:00+00:00,34004.6,33631.335,35124.395,34241.41,time,0.5978615675190676,0.010976897243314123
2022-05-18 13:15:00+00:00,29500.4,29355.7149,29934.45530000001,29355.7149,stop,-1.0813575342588693,0.004904513159143687
2022-06-03 10:15:00+00:00,29997.4,29882.987100000002,30340.6387,29882.987100000002,stop,-1.1046741881378481,0.00381409388813695
2022-06-03 14:30:00+00:00,29399.9,29291.778899999998,29724.263300000013,29291.778899999998,stop,-1.1085665589787619,0.0036776009442210326
2022-06-15 07:45:00+00:00,20707.5,20596.5828,21040.2516,20596.5828,stop,-1.0744773268708179,0.005356378123868157
2022-06-16 07:30:00+00:00,21687.4,21613.664699999998,21908.605900000013,21613.664699999998,stop,-1.1174500265137262,0.0033999142359159656
2022-06-16 14:00:00+00:00,20853.8,20718.261,21260.417,21260.417,target,2.9378566803650634,0.006499486904065478
2022-06-16 20:30:00+00:00,20542.2,20468.810699999998,20762.36790000001,20762.36790000001,target,2.887437084425101,0.0035726115021761326
2022-07-01 10:30:00+00:00,19139.9,19075.3056,19333.683200000007,19075.3056,stop,-1.1183235871839956,0.0033748556680025374
2022-07-02 09:15:00+00:00,19027.0,18940.041,19287.876999999997,19287.876999999997,target,2.9118782943685826,0.0045702948441687565
2022-08-22 07:45:00+00:00,21089.1,21017.5614,21303.715799999998,21017.5614,stop,-1.1177173201600084,0.00339220734882
2022-08-22 18:30:00+00:00,20986.3,20931.5475,21150.557499999995,21150.557499999995,target,2.846082434591992,0.002608963943143798
2022-09-03 07:45:00+00:00,19808.2,19720.3599,20071.720300000004,19860.69,time,0.5072423870190833,0.004434532163447524
2022-09-03 19:00:00+00:00,19682.4,19609.0713,19902.386100000007,19790.64,time,1.3684327146123787,0.0037255974881112994
2022-11-09 09:45:00+00:00,17755.1,17590.292100000002,18249.523699999987,17590.292100000002,stop,-1.0428928371758757,0.009282285089917611
2022-11-09 15:30:00+00:00,17160.1,16867.115999999998,18039.052,16867.115999999998,stop,-1.0232280370259093,0.01707356017738827
2022-11-09 20:45:00+00:00,16216.8,16049.934,16717.398,16049.934,stop,-1.0386738269030291,0.01028969957081545
2022-11-16 08:30:00+00:00,16753.2,16671.611699999998,16997.96490000001,16671.611699999998,stop,-1.0819353061652341,0.00487001289305942
2022-11-16 13:00:00+00:00,16576.7,16483.5,16856.300000000003,16483.5,stop,-1.0709446351931322,0.005622349442289522
2023-03-10 10:30:00+00:00,19671.0,19630.35,19792.950000000004,19630.35,stop,-1.1933645756457751,0.002066493823394919
2023-03-28 10:15:00+00:00,26761.4,26673.3,27025.700000000008,26673.3,stop,-1.1213046538024896,0.003292054974702451
2023-05-13 07:00:00+00:00,26708.4,26648.2251,26888.924700000007,26888.924700000007,target,2.8218615246556817,0.0022530327537404636
2023-06-15 11:15:00+00:00,24903.1,24752.223,25355.73099999999,25028.07,time,0.7621026796662665,0.006058562990149691
2023-07-10 08:15:00+00:00,30087.0,29936.6334,30538.099800000004,30290.36,time,1.272121122642918,0.004997726592880686
2023-08-20 15:00:00+00:00,26056.0,25922.5515,26456.345499999996,26171.75,time,0.7891017883303625,0.005121603469450361
2023-08-21 10:00:00+00:00,25960.2,25838.136,26326.392000000007,25838.136,stop,-1.084870782540293,0.00470196685695804
2023-08-21 15:15:00+00:00,25853.0,25774.2,26089.399999999998,26089.399999999998,target,2.8681664974619556,0.003048002166092882
2023-08-28 19:15:00+00:00,25962.0,25876.2978,26219.1066,26131.8,time,1.859710019112687,0.003301063092211683
2023-09-08 09:00:00+00:00,26160.1,26085.1887,26384.833899999998,26085.1887,stop,-1.1394857349959124,0.002863570857909555
2023-09-16 10:00:00+00:00,26494.8,26403.57,26768.489999999998,26526.65,time,0.23288074098435793,0.003443317179220057
2023-09-21 08:45:00+00:00,26916.7,26866.107,27068.479000000003,26866.107,stop,-1.212609677228099,0.0018796137713761626
2023-09-21 13:15:00+00:00,26549.8,26461.7118,26814.064599999994,26461.7118,stop,-1.1203600750157157,0.003317847968722865
2023-09-25 09:30:00+00:00,26043.0,25987.7862,26208.641400000004,26208.641400000004,target,2.810729776251666,0.0021201013708098664
2023-09-26 11:00:00+00:00,26185.8,26143.9299,26311.4103,26143.9299,stop,-1.2499622876467604,0.0015989620328575064
2023-09-26 15:45:00+00:00,26114.8,26047.7262,26316.021399999994,26163.73,time,0.5736113653916173,0.0025684209720158034
2023-10-05 07:15:00+00:00,27582.1,27526.7457,27748.162899999996,27748.162899999996,target,2.8000868481762424,0.0020068921510689565
2023-10-05 15:30:00+00:00,27568.9,27352.62,28217.74000000001,27352.62,stop,-1.0507874237100117,0.00784507180192182
2024-04-23 07:30:00+00:00,66147.0,65922.012,66821.96399999999,65922.012,stop,-1.1174009387167263,0.0034013333938046706
2024-04-23 11:30:00+00:00,65857.5,65746.188,66191.43600000002,66191.43600000002,target,2.7627408796895474,0.0016901947386403274
2024-08-15 07:15:00+00:00,57785.0,57648.8934,58193.3198,58193.3198,target,2.829577228730986,0.0023553967292549824
2024-08-15 18:15:00+00:00,57822.7,57416.7258,59040.62259999999,57416.7258,stop,-1.0567717977152205,0.007021017697201911
2024-08-24 11:45:00+00:00,63881.7,63772.763399999996,64208.5098,64208.5098,target,2.7648353082435246,0.0017052864904972928
2024-08-25 07:00:00+00:00,63873.9,63777.0591,64164.42270000001,63777.0591,stop,-1.2636302618005169,0.001516126305110583
2024-08-28 07:15:00+00:00,58980.0,58796.145,59531.56500000001,58796.145,stop,-1.1281185118707535,0.003117243133265568
2024-08-28 15:00:00+00:00,58787.0,58667.0742,59146.77739999999,58667.0742,stop,-1.1958779081732172,0.0020400054433802927
2024-09-13 12:15:00+00:00,57665.9,57536.406,58054.382,58054.382,target,2.8212731369793147,0.0022455905483136267
2025-02-05 09:30:00+00:00,97319.5,97108.794,97951.61800000002,97951.61800000002,target,2.814650633584223,0.002165095381706704
2025-02-08 07:15:00+00:00,95945.3,95618.6856,96925.14320000002,96196.42,time,0.651201098298151,0.003404173002742248
