arm,fill_mode,direction,filled,r,kind
d0.0,touch,short,True,-1.4132258857014226,stop
d0.2,touch,short,True,-1.4890393166946025,stop
d0.2,through,short,True,-1.4890393166946025,stop
d0.4,touch,short,True,-1.5988212156859265,stop
d0.4,through,short,True,-1.5988212156859265,stop
d0.6,touch,short,True,-1.7719920969036622,stop
d0.6,through,short,True,-1.7719920969036622,stop
d0.8,touch,short,True,-2.085737831480591,stop
d0.8,through,short,True,-2.085737831480591,stop
d1.0,touch,short,True,-2.8281701884899846,stop
d1.0,through,short,True,-2.8281701884899846,stop
d0.0,touch,short,True,-1.472792744094692,stop
d0.2,touch,short,True,-1.5488994910881289,stop
d0.2,through,short,True,-1.5488994910881289,stop
d0.4,touch,short,True,-1.6541359382980316,stop
d0.4,through,short,True,-1.6541359382980316,stop
d0.6,touch,short,True,-1.8091840798855654,stop
d0.6,through,short,True,-1.8091840798855654,stop
d0.8,touch,short,True,-2.060375044265072,stop
d0.8,through,short,True,-2.060375044265072,stop
d1.0,touch,short,True,-2.5373179860326527,stop
d1.0,through,short,True,-2.5373179860326527,stop
d0.0,touch,short,True,0.14069110171756044,tif
d0.2,touch,short,True,0.420805887435849,tif
d0.2,through,short,True,0.420805887435849,tif
d0.4,touch,short,False,,
d0.4,through,short,False,,
d0.6,touch,short,False,,
d0.6,through,short,False,,
d0.8,touch,short,False,,
d0.8,through,short,False,,
d1.0,touch,short,False,,
d1.0,through,short,False,,
d0.0,touch,short,True,-1.1472438782301682,stop
d0.2,touch,short,True,-1.1676475666598432,stop
d0.2,through,short,True,-1.1676475666598432,stop
d0.4,touch,short,True,-1.1945642382474007,stop
d0.4,through,short,True,-1.1945642382474007,stop
d0.6,touch,short,True,-1.2317046117170698,stop
d0.6,through,short,True,-1.2317046117170698,stop
d0.8,touch,short,True,-1.2862591209093162,stop
d0.8,through,short,True,-1.2862591209093162,stop
d1.0,touch,short,True,-1.3742258418379052,stop
d1.0,through,short,True,-1.3742258418379052,stop
d0.0,touch,short,True,-0.5976848729109511,tif
d0.2,touch,short,True,-0.6773753031415923,tif
d0.2,through,short,True,-0.6773753031415923,tif
d0.4,touch,short,False,,
d0.4,through,short,False,,
d0.6,touch,short,False,,
d0.6,through,short,False,,
d0.8,touch,short,False,,
d0.8,through,short,False,,
d1.0,touch,short,False,,
d1.0,through,short,False,,
