ts,dir,market,market_fill,shallow0.2,shallow0.2_fill,deep_single,deep_single_fill,deep_ladder,deep_ladder_fill,cascade,cascade_attempts
2025-06-21 20:00:00+00:00,short,-1.0714184222735588,True,2.9138077561877362,True,,False,,False,,0
2025-06-22 02:30:00+00:00,short,-1.0644814520871546,True,2.9230688878296673,True,,False,,False,,0
2025-06-22 15:15:00+00:00,short,-1.0282113418833065,True,-1.0347103881321145,True,,False,,False,,0
2025-07-02 09:00:00+00:00,long,2.8547587718689473,True,2.848396009112145,True,2.81612878003279,True,2.81612878003279,True,2.81612878003279,1
2025-07-03 10:15:00+00:00,long,-1.1336201617572153,True,-1.1568450540747413,True,-1.5213395766857738,True,-2.322598190831501,True,-2.322598190831501,1
2025-07-09 09:00:00+00:00,long,2.785854925424644,True,2.7461827719864047,True,,False,,False,,0
2025-07-21 00:45:00+00:00,short,-1.0843834166278579,True,-1.1003137310331592,True,-1.3983375039057573,True,-2.15914070891194,True,-2.15914070891194,1
2025-07-21 20:15:00+00:00,short,-1.0860755049068367,True,-1.1003726998997918,True,2.7056488350016,True,2.7056488350016,True,2.7056488350016,1
2025-07-23 04:15:00+00:00,short,2.8789731314171356,True,2.8732587436532135,True,2.84381564208034,True,2.84381564208034,True,2.84381564208034,1
2025-07-23 10:15:00+00:00,short,0.0996201833426471,True,0.16838519232624988,True,2.8893330670095163,True,6.724267328103616,True,6.724267328103616,1
2025-07-23 16:15:00+00:00,short,-1.078325135258742,True,-1.0935839865664267,True,2.5907759280095766,True,2.5907759280095766,True,2.5907759280095766,1
2025-07-23 23:45:00+00:00,short,-1.1558770691325009,True,-1.1829823452415305,True,2.405353802994835,True,5.409889327988056,True,5.409889327988056,1
2025-07-24 14:30:00+00:00,short,-1.174915707348127,True,-1.2007657885152183,True,-1.488465408491998,True,-2.2759832573290875,True,-4.906592901527031,2
2025-07-26 02:15:00+00:00,short,-1.4132304451013458,True,-1.4890444215659229,True,-2.8281701884899846,True,-5.3503148334304775,True,-5.3503148334304775,1
2025-07-26 08:15:00+00:00,short,-1.4727987104809532,True,-1.548905920789265,True,-2.5373179860326527,True,-4.302361667291821,True,-4.302361667291821,1
2025-08-01 01:45:00+00:00,short,0.1406910205148536,True,0.42080600938730983,True,,False,,False,,0
2025-08-01 14:15:00+00:00,short,-1.1472444712986885,True,-1.1676481807064358,True,-1.3742258418379052,True,-2.1495073535181,True,-2.1495073535181,1
2025-08-01 20:15:00+00:00,short,-0.5976857519354698,True,-0.6773738355511874,True,,False,,False,,0
2025-08-24 03:45:00+00:00,short,2.8035664321388096,True,2.7943803213097427,True,2.7471330350160423,True,2.7471330350160423,True,2.7471330350160423,1
2025-08-25 21:30:00+00:00,short,-1.0603987258609147,True,-1.0734067136094865,True,-1.4867321678134973,True,-2.6237762082004017,True,-2.4577341082912225,3
2025-09-10 00:00:00+00:00,long,2.831312606488643,True,2.8081543211735536,True,2.5726095759333067,True,2.5726095759333067,True,2.5726095759333067,1
2025-09-10 18:15:00+00:00,long,1.3914139256327336,True,2.8851786657562357,True,,False,,False,,0
2025-09-11 00:15:00+00:00,long,-1.533170016614209,True,-1.5906178697079856,True,-2.0386956144371133,True,-3.402318328402278,True,-3.402318328402278,1
2025-09-11 07:00:00+00:00,long,-1.1701178513883816,True,-1.1989548337427136,True,2.3763899063396168,True,2.3763899063396168,True,2.3763899063396168,1
2025-09-13 13:45:00+00:00,long,-1.2211157925531895,True,-1.2687290278607422,True,-2.987706757060697,True,-5.38518886367305,True,-5.38518886367305,1
