ts,dir,era,has_zone,in_zone,poc_dist_atr,side,shallow_of_poc,bid_depth
2024-08-12 09:07:00+00:00,short,2024,True,False,0.21275624605172339,in_zone,True,0.9184930072371106
2024-08-27 12:43:00+00:00,short,2024,True,True,2.882064230926871,in_zone,True,0.7057841505676186
2024-08-28 13:25:00+00:00,short,2024,True,False,-2.8453822988120856,below_zone,False,1.4311955914064343
2024-09-02 23:57:00+00:00,short,2024,True,False,-3.284238247011943,below_zone,False,1.57265495908961
2024-09-03 13:04:00+00:00,short,2024,True,False,1.6447875018510019,above_zone,True,0.881674859092351
2024-09-03 20:29:00+00:00,short,2024,True,False,-1.4178832116788356,below_zone,False,1.5447228947196203
2024-09-04 12:42:00+00:00,short,2024,True,True,-0.23640200062519506,in_zone,False,1.034013605442177
2024-09-04 17:37:00+00:00,short,2024,True,True,0.43924791954942183,in_zone,True,0.8551863720694863
2024-09-05 19:50:00+00:00,short,2024,True,True,-0.2603134060472231,in_zone,False,1.063075932322465
2024-09-24 11:03:00+00:00,short,2024,True,True,-2.039894922534137,in_zone,False,1.3352687612232035
2024-09-24 11:38:00+00:00,long,2024,True,False,3.2603124305092277,above_zone,True,0.6609450744491125
2024-09-27 17:43:00+00:00,short,2024,True,False,-3.161071448184974,below_zone,False,1.3024646741079573
2024-10-14 11:35:00+00:00,short,2024,True,False,-8.951137583543998,below_zone,False,3.516423606378643
2024-10-14 13:26:00+00:00,short,2024,True,False,-9.17641570756698,below_zone,False,2.4770373433972654
2024-10-14 16:42:00+00:00,long,2024,True,False,6.076815031268036,above_zone,True,0.4207541927067392
2024-10-14 17:13:00+00:00,short,2024,True,False,-8.529554187062418,below_zone,False,4.704322582119905
2024-10-14 18:57:00+00:00,short,2024,True,False,-14.718718620388316,below_zone,False,5.4036619653918905
2024-11-07 12:52:00+00:00,short,2024,True,True,-0.33934326773595713,in_zone,False,1.0102306599715931
2024-11-07 17:44:00+00:00,short,2024,True,False,-2.03444876448801,below_zone,False,1.1262128153319864
2025-01-28 10:15:00+00:00,long,2025,True,True,0.11505321570239975,in_zone,True,0.9847588705584429
