entry_day,exit_day,days,censored,gross,funding,cost,net,eth_move,btc_move
2020-02-24,2020-02-25,1,False,-0.004628391762868667,-0.00038862999999999994,0.002,-0.007017021762868667,-0.03289617486338792,-0.02826778310051925
2020-05-08,2020-05-09,1,False,0.01539899190687044,-0.00014380999999999986,0.002,0.013255181906870441,-0.0032545634639875587,-0.018653555370858
2020-06-02,2020-06-03,1,False,0.024728589984112315,0.00059804,0.002,0.023326629984112314,-0.04238005075937634,-0.06710864074348866
2020-06-11,2020-06-12,1,False,-0.008562680379041399,-0.00013456999999999998,0.002,-0.010697250379041399,-0.0699007183792073,-0.061338038000165906
2020-07-27,2020-08-03,7,False,0.0827437143850196,-0.003044200000000002,0.002,0.0776995143850196,0.1975114140569738,0.11476769967195422
2020-08-04,2020-08-05,1,False,0.012003886980013423,-0.0005403599999999999,0.002,0.009463526980013423,0.00953590215335165,-0.002467984826661773
2020-08-06,2020-08-09,3,False,-0.01053017269395562,-0.0017179899999999995,0.002,-0.014248162693955619,-0.009158514673587637,0.001371658020367983
2020-08-10,2020-08-13,3,False,0.002458615476116255,-0.0014174100000000005,0.002,-0.0009587945238837456,-0.007587020044086734,-0.010045635520202989
2020-08-14,2020-08-22,8,False,-0.06513562871491818,-0.006513740000000002,0.002,-0.07364936871491819,-0.08623451264898485,-0.02109888393406667
2020-08-31,2020-09-01,1,False,0.0165953148936977,5.460999999999997e-05,0.002,0.014649924893697699,0.011330255979857373,-0.005265058913840326
2020-09-02,2020-09-03,1,False,-0.03077191124390266,-2.9029999999999985e-05,0.002,-0.03280094124390266,-0.07551535549011357,-0.044743444246210906
2020-10-20,2020-11-27,38,False,-0.08884974363001796,-0.020925000000000003,0.002,-0.11177474363001796,0.3704982863168995,0.4593480299469175
2020-12-01,2020-12-02,1,False,-0.0036398550752728687,-0.0002945099999999998,0.002,-0.005934365075272868,-0.050904078488607785,-0.047264223413334916
2020-12-03,2020-12-05,2,False,-0.020832577374653938,-0.0008143100000000002,0.002,-0.023646887374653938,-0.04965822275834342,-0.02882564538368948
2020-12-06,2020-12-08,2,False,-0.010304108738344309,0.0,0.002,-0.012304108738344309,-0.009299286216949976,0.001004822521394333
2020-12-15,2021-01-11,27,False,0.15989931356952147,-0.01499039,0.002,0.14290892356952148,1.139282607583278,0.9793832940137566
2021-02-09,2021-02-23,14,False,-0.15046013669706837,-0.0034159699999999973,0.002,-0.15587610669706836,0.01585432764848438,0.16631446434555275
2021-03-10,2021-03-16,6,False,-0.05421620138562877,-0.0009668599999999982,0.002,-0.05718306138562877,-0.040903501737503345,0.013312699648125426
2021-03-18,2021-03-19,1,False,-0.004544742370645616,-0.00113269,0.002,-0.007677432370645616,-0.026135403985566796,-0.02159066161492118
2021-03-31,2021-04-04,4,False,0.1202280915379571,-0.0013608800000000018,0.002,0.1168672115379571,0.09138181166153192,-0.028846279876425185
2021-04-05,2021-04-07,2,False,0.021236206908800126,-0.0016100800000000003,0.002,0.017626126908800124,0.017594064652888264,-0.003642142255911862
2021-04-11,2021-04-13,2,False,0.0005277697148537985,0.0002127400000000012,0.002,-0.0012594902851462003,0.0020482870789177987,0.0015205173640640002
2021-04-14,2021-04-18,4,False,0.06415694345282552,-0.0029545699999999966,0.002,0.05920237345282552,0.008028914530769482,-0.05612802892205604
2021-10-16,2021-10-22,6,False,0.03928192191669155,-0.00103139,0.002,0.03625053191669155,0.04772540443286344,0.008443482516171885
2021-10-26,2021-10-27,1,False,0.02254546500989596,0.0003763899999999999,0.002,0.020921855009895962,-0.021050336938080894,-0.04359580194797685
2021-11-03,2021-11-05,2,False,0.016376262496604732,0.00112913,0.002,0.015505392496604731,-0.012499782119886338,-0.02887604461649107
2021-11-08,2021-11-13,5,False,-0.0019479580844679045,0.0033348600000000007,0.002,-0.0006130980844679039,0.011464274951816789,0.013412233036284693
2021-11-14,2021-11-16,2,False,-0.0053220051846298855,0.00027348,0.002,-0.007048525184629886,-0.017333186916350662,-0.012011181731720777
2024-03-05,2024-03-06,1,False,0.04583305204339272,-2.832000000000008e-05,0.002,0.04380473204339272,-0.020423127282751086,-0.0662561793261438
2024-03-07,2024-03-17,10,False,-0.06567711736126391,-0.0007583500000000014,0.002,-0.06843546736126392,-0.07738216824055011,-0.011705050879286194
2024-03-26,2024-03-28,2,False,-0.018984832461937495,4.110000000000008e-05,0.002,-0.020943732461937495,-0.024852176480254506,-0.005867344018317011
2024-04-09,2024-04-10,1,False,-0.01639835372123155,0.00010350000000000008,0.002,-0.018294853721231553,-0.05094177734591743,-0.034543423624685876
2024-06-05,2024-06-07,2,False,-0.002853060472933322,-0.00020584999999999993,0.002,-0.0050589104729333225,0.0008503423677834743,0.0037034028407167963
2024-10-30,2024-11-03,4,False,-0.008569110592689277,0.0,0.002,-0.010569110592689277,-0.05478626648476581,-0.046217155892076534
2024-11-07,2024-11-10,3,False,0.1339163496627198,-4.8849999999999913e-05,0.002,0.13186749966271982,0.14854438843740336,0.01462803877468355
2024-11-20,2024-11-26,6,False,0.0912331840748748,-0.0018615300000000006,0.002,0.0873716540748748,0.0988077040660349,0.0075745199911601
2024-11-28,2024-11-29,1,False,-0.018098718118158108,-6.232999999999993e-05,0.002,-0.02016104811815811,-0.020384477468131212,-0.0022857593499731044
2024-12-03,2024-12-18,15,False,-0.03889703442017356,-0.00011876999999999981,0.002,-0.04101580442017356,0.06850138468421241,0.10739841910438597
2025-01-07,2025-01-08,1,False,-0.03136445948440414,-2.817999999999999e-05,0.002,-0.033392639484404144,-0.08301965591304539,-0.05165519642864125
2025-01-30,2025-02-01,2,False,0.0726499277687842,1.5879999999999963e-05,0.002,0.0706658077687842,0.060082212017084524,-0.012567715751699682
2025-05-09,2025-05-18,9,False,0.12258141797273137,-0.0003331299999999996,0.002,0.12024828797273136,0.12127444629177453,-0.0013069716809568366
2025-05-19,2025-05-29,10,False,0.061127117230582506,0.0001448799999999998,0.002,0.059271997230582504,0.07359735445075222,0.012470237220169711
2025-06-10,2025-06-11,1,False,0.050745162673558886,-5.461000000000002e-05,0.002,0.04869055267355889,0.05084827974762418,0.00010311707406529536
2025-07-09,2025-07-21,12,False,0.35986808478752663,0.0003056999999999999,0.002,0.35817378478752665,0.4364554057929453,0.07658732100541865
2025-07-23,2025-07-25,2,False,0.0029705994591020524,0.0,0.002,0.0009705994591020523,-0.010479925044244776,-0.013450524503346828
2025-07-27,2025-07-30,3,False,0.013820527424606599,7.304999999999996e-05,0.002,0.011893577424606599,0.014081382263552822,0.00026085483894622286
2025-08-08,2025-08-16,8,False,0.13643368899438213,-0.00029969,0.002,0.13413399899438214,0.13532721274582515,-0.0011064762485569757
2025-10-02,2025-10-04,2,False,0.007244466762398538,0.00034162000000000005,0.002,0.005586086762398538,0.03791372184644559,0.030669255084047053
