expiry,call_inst,call_mark,entry,expiry_ts,hedge_costs_pct,hedge_pnl_pct,iv_call,iv_put,n_calls,n_puts,n_rebal,n_skip,naked_pnl_pct,pnl_pct,put_inst,put_mark,raw_premium_pct,split,spot_entry,spot_expiry,status,strike_call,strike_put,terminal
2025-10-22,,,2025-10-01,1761120000,,,,,8,8,,,,,,,,,118552.4,,no_pair,,,
2025-10-23,,,2025-10-02,1761206400,,,,,7,5,,,,,,,,,120481.3,,no_pair,,,
2025-10-24,BTC-24OCT25-135000-C,749.4468845,2025-10-03,1761292800,0.06772716808906147,-1.2481430080923208,0.3678686745930463,0.38121320172213013,28,24,3,0,1.1668002953773327,-0.24407388966536958,BTC-24OCT25-110000-P,676.18122,1.1668002953773327,TEST,122182.7,111013.8,ok,135000.0,110000.0,0.0
2025-10-30,,,2025-10-09,1761811200,,,,,5,5,,,,,,,,,121579.4,,no_pair,,,
2025-10-31,BTC-31OCT25-124000-C,1222.182783,2025-10-10,1761897600,0.029708731135681784,-1.2753988112552734,0.43398998496122665,0.404739305214025,40,31,3,0,1.828216815168181,0.4082627683221805,BTC-31OCT25-102000-P,838.489972,1.828216815168181,TEST,112714.9,109400.1,ok,124000.0,102000.0,0.0
2025-11-05,,,2025-10-15,1762329600,,,,,9,5,,,,,,,,,110699.0,,no_pair,,,
2025-11-06,,,2025-10-16,1762416000,,,,,6,5,,,,,,,,,108129.4,,no_pair,,,
2025-11-07,BTC-7NOV25-118000-C,1131.2391815,2025-10-17,1762502400,0.017469212472953875,-0.5453130013723892,0.45343967766966675,0.5162725564092397,22,21,3,0,2.231754811118026,1.5420199529391418,BTC-7NOV25-95000-P,1242.870342,2.231754811118026,TEST,106378.6,101978.8,ok,118000.0,95000.0,0.0
2025-11-08,,,2025-10-18,1762588800,,,,,6,8,,,,,,,,,107117.5,,no_pair,,,
2025-11-11,,,2025-10-21,1762848000,,,,,6,5,,,,,,,,,108253.7,,no_pair,,,
2025-11-13,,,2025-10-23,1763020800,,,,,7,5,,,,,,,,,110025.9,,no_pair,,,
2025-11-14,BTC-14NOV25-120000-C,1281.53466205,2025-10-24,1763107200,0.029192823401054634,1.3088540620614624,0.39552233733702447,0.4360752036096528,29,18,3,0,-0.5487400114269929,0.6106783675259206,BTC-14NOV25-100000-P,946.75433805,2.008095323583138,TEST,110965.3,97162.8,ok,120000.0,100000.0,2837.199999999997
2025-11-15,,,2025-10-25,1763193600,,,,,6,6,,,,,,,,,111589.4,,no_pair,,,
2025-11-17,,,2025-10-27,1763366400,,,,,5,5,,,,,,,,,114064.1,,no_pair,,,
2025-11-18,,,2025-10-28,1763452800,,,,,5,6,,,,,,,,,112833.5,,no_pair,,,
2025-11-19,,,2025-10-29,1763539200,,,,,8,7,,,,,,,,,109985.6,,no_pair,,,
2025-11-20,,,2025-10-30,1763625600,,,,,6,5,,,,,,,,,108263.5,,no_pair,,,
2025-11-21,BTC-21NOV25-120000-C,1011.116478,2025-10-31,1763712000,0.06369186032777925,9.515808397503552,0.397366577317007,0.4342696626670659,31,22,3,0,-12.611908826705298,-3.2793784570692512,BTC-21NOV25-100000-P,1164.916733,1.9862055846575262,TEST,109557.3,84006.7,ok,120000.0,100000.0,15993.300000000003
2025-11-22,,,2025-11-01,1763798400,,,,,7,7,,,,,,,,,110047.2,,no_pair,,,
2025-11-23,,,2025-11-02,1763884800,,,,,6,6,,,,,,,,,110494.9,,no_pair,,,
2025-11-24,,,2025-11-03,1763971200,,,,,5,7,,,,,,,,,106544.0,,no_pair,,,
2025-11-28,BTC-28NOV25-114000-C,934.41186,2025-11-07,1764316800,0.07831706921881902,-0.46964744220973154,0.4145630543585866,0.4359642305644228,53,45,3,0,-1.8698388561272836,-2.541638273155939,BTC-28NOV25-95000-P,1263.74737,2.1278301866701774,TEST,103305.2,90870.2,ok,114000.0,95000.0,4129.800000000003
2025-12-05,BTC-5DEC25-104000-C,1213.653792,2025-11-14,1764921600,0.04397350788635393,-3.1576756244414526,0.462788520543836,0.5085225100163371,25,22,3,0,2.527418109279295,-0.8100535663268907,BTC-5DEC25-85000-P,1175.891132,2.527418109279295,TEST,94544.9,92227.5,ok,104000.0,85000.0,0.0
2025-12-11,,,2025-11-20,1765440000,,,,,7,7,,,,,,,,,86601.3,,no_pair,,,
2025-12-12,BTC-12DEC25-94000-C,1475.32779509,2025-11-21,1765526400,0.032408179764850484,-0.01284182030192852,0.5368361286120491,0.6045745627023278,14,18,3,0,4.106366717892671,3.8779257162891123,BTC-12DEC25-78000-P,2018.923368,4.106366717892671,TEST,85093.5,92389.5,ok,94000.0,78000.0,0.0
2025-12-19,BTC-19DEC25-100000-C,1095.07878,2025-11-28,1766131200,0.009457282891532798,-0.13068340469701162,0.45342309763655064,0.5096660413313656,17,16,3,0,2.1094375978284554,1.8460137823050577,BTC-19DEC25-80000-P,821.29887,2.1094375978284554,TEST,90847.8,87909.7,ok,100000.0,80000.0,0.0
2025-12-26,BTC-26DEC25-98000-C,1118.471625,2025-12-05,1766736000,0.008131648222066799,-0.10512840883741466,0.4520352200139315,0.528127692686394,58,40,3,0,2.5544967437015966,2.3046017843310675,BTC-26DEC25-80000-P,1162.4002,2.5544967437015966,TEST,89288.5,88433.0,ok,98000.0,80000.0,0.0
2026-01-02,BTC-2JAN26-100000-C,688.0360408,2025-12-12,1767340800,0.008236607169249585,-0.06039527935523771,0.4022377693792806,0.4774390116799623,13,11,3,0,1.595358199748198,1.4188655672312647,BTC-2JAN26-80000-P,751.4492814,1.595358199748198,TEST,90229.6,88829.3,ok,100000.0,80000.0,0.0
2026-01-09,BTC-9JAN26-95000-C,1219.6978545,2025-12-19,1767945600,0.017679647390311526,0.04134530380117724,0.4181289508705959,0.45778493946418164,11,13,3,0,2.4981941543700343,2.386913986149799,BTC-9JAN26-80000-P,981.2111955,2.4981941543700343,TEST,88100.0,90712.1,ok,95000.0,80000.0,0.0
2026-01-16,BTC-16JAN26-95000-C,805.98804964,2025-12-26,1768550400,0.017095386800902616,0.8467470256070366,0.37895935678388926,0.4054915887769312,13,16,3,0,1.1795420637278335,1.8929080175923403,BTC-16JAN26-80000-P,832.26684865,1.876189498054243,TEST,87318.2,95608.3,ok,95000.0,80000.0,608.3000000000029
2026-01-23,BTC-23JAN26-100000-C,693.658119,2026-01-02,1769155200,0.016318582858905858,-0.8649382614756576,0.41164359012618656,0.44382183626294136,14,15,3,0,1.474180300695709,0.48869804734027417,BTC-23JAN26-80000-P,632.3877,1.474180300695709,TEST,89951.4,89497.2,ok,100000.0,80000.0,0.0
