expiry,call_inst,call_mark,entry,expiry_ts,hedge_costs_pct,hedge_pnl_pct,iv_call,iv_put,n_calls,n_puts,n_rebal,n_skip,naked_pnl_pct,pnl_pct,put_inst,put_mark,raw_premium_pct,split,spot_entry,status,strike_call,strike_put,terminal
2024-11-06,,,2024-10-16,1730880000,,,,,8,5,,,,,,,,,67592.0,no_pair,,,
2024-11-08,BTC-8NOV24-75000-C,1458.833957,2024-10-18,1731052800,0.025184337245295296,0.25421418774910354,0.5650275164283813,0.5071109275333582,25,20,3,0,2.13242341808975,2.1846803191491966,BTC-8NOV24-63000-P,1203.8929,3.892431648145387,TRAIN,68407.8,ok,75000.0,63000.0,1203.98291
2024-11-15,BTC-15NOV24-73000-C,1524.68100843,2024-10-25,1731657600,0.09921711229077482,20.71464285769529,0.5803791334386914,0.5201662433799354,30,45,3,0,-18.833388383881264,1.6132421450413443,BTC-15NOV24-60000-P,892.850244,3.626507216063531,TRAIN,66662.8,ok,73000.0,60000.0,14972.395284
2024-11-16,,,2024-10-26,1731744000,,,,,7,7,,,,,,,,,67071.8,no_pair,,,
2024-11-19,,,2024-10-29,1732003200,,,,,5,5,,,,,,,,,72739.5,no_pair,,,
2024-11-21,,,2024-10-31,1732176000,,,,,7,7,,,,,,,,,70321.9,no_pair,,,
2024-11-22,BTC-22NOV24-76000-C,1858.208968,2024-11-01,1732262400,0.12239411794550441,22.773303141964302,0.6226637891260905,0.5739488604478536,29,39,3,0,-29.540855238108936,-7.075476767564831,BTC-22NOV24-62000-P,1049.727225,4.184351782489514,TRAIN,69495.5,ok,76000.0,62000.0,23437.501245
2024-11-26,,,2024-11-05,1732608000,,,,,6,7,,,,,,,,,69353.1,no_pair,,,
2024-11-27,,,2024-11-06,1732694400,,,,,5,7,,,,,,,,,75579.9,no_pair,,,
2024-11-29,BTC-29NOV24-84000-C,1233.20624,2024-11-08,1732867200,0.11295811934339824,7.522582567966099,0.5034896804951132,0.44228406297042966,53,59,3,0,-13.129048117078224,-5.854978801153066,BTC-29NOV24-69000-P,693.00135,2.5185044232514233,TRAIN,76482.2,ok,84000.0,69000.0,11967.592429
2024-12-04,,,2024-11-13,1733299200,,,,,5,6,,,,,,,,,90413.3,no_pair,,,
2024-12-06,BTC-6DEC24-100000-C,2117.2705775,2024-11-15,1733472000,0.045914725019599,1.003549253327769,0.5934772904496639,0.5284036339493469,20,24,3,0,3.7242615841848328,4.510168264967458,BTC-6DEC24-82000-P,1274.58576325,3.7242615841848328,TRAIN,91074.6,ok,100000.0,82000.0,0.0
2024-12-07,,,2024-11-16,1733558400,,,,,8,7,,,,,,,,,90643.3,no_pair,,,
2024-12-10,,,2024-11-19,1733817600,,,,,7,5,,,,,,,,,92335.9,no_pair,,,
2024-12-13,BTC-13DEC24-108000-C,2642.62019255,2024-11-22,1734076800,0.017332142721467426,0.03706888894271978,0.6169290431076659,0.5498796565691009,18,19,3,0,4.446169122626651,4.272520795169105,BTC-13DEC24-90000-P,1755.59254992,4.446169122626651,TRAIN,98921.4,ok,108000.0,90000.0,0.0
2024-12-14,,,2024-11-23,1734163200,,,,,7,6,,,,,,,,,97725.5,no_pair,,,
2024-12-17,,,2024-11-26,1734422400,,,,,6,7,,,,,,,,,92021.4,no_pair,,,
2024-12-20,BTC-20DEC24-108000-C,1907.700649,2024-11-29,1734681600,0.01674441638776432,-0.08769951499949215,0.5736954853637145,0.49819474215619264,21,22,3,0,3.2063477234062407,2.945713360316797,BTC-20DEC24-88000-P,1219.011016,3.2063477234062407,TRAIN,97516.3,ok,108000.0,88000.0,0.0
2024-12-21,,,2024-11-30,1734768000,,,,,8,8,,,,,,,,,96475.1,no_pair,,,
2024-12-27,BTC-27DEC24-110000-C,2482.1144,2024-12-06,1735286400,0.01761777468851042,-0.014732953061107407,0.6253405966330319,0.5091191791463643,59,67,3,0,3.793212527742291,3.5870654241604036,BTC-27DEC24-90000-P,1303.606533,3.793212527742291,TRAIN,99802.5,ok,110000.0,90000.0,0.0
2025-01-03,BTC-3JAN25-112000-C,1991.030418,2024-12-13,1735891200,0.03619694589068861,-0.9532419294158921,0.5674168644705785,0.5176587283145635,24,15,3,0,3.458198582841991,2.3050137500501506,BTC-3JAN25-92000-P,1514.6111912,3.458198582841991,TRAIN,101371.9,ok,112000.0,92000.0,0.0
2025-01-10,BTC-10JAN25-108000-C,1780.0047265,2024-12-20,1736496000,0.01812589238471207,-0.7032182912244526,0.5483848258620126,0.5468943746993318,22,16,3,0,3.336474020962641,2.455035616724597,BTC-10JAN25-88000-P,1481.87908125,3.336474020962641,TRAIN,97764.4,ok,108000.0,88000.0,0.0
2025-01-17,BTC-17JAN25-104000-C,2001.55725263,2024-12-27,1737100800,0.022917495981934412,-0.3341877196104656,0.5835872234776616,0.5544181623030453,19,17,3,0,3.7287668748839633,3.1997986530450446,BTC-17JAN25-85000-P,1513.1373872,3.7287668748839633,TRAIN,94258.9,ok,104000.0,85000.0,0.0
2025-01-18,,,2024-12-28,1737187200,,,,,6,5,,,,,,,,,95259.1,no_pair,,,
2025-01-20,,,2024-12-30,1737360000,,,,,5,6,,,,,,,,,92759.3,no_pair,,,
2025-01-21,,,2024-12-31,1737446400,,,,,13,11,,,,,,,,,93548.9,no_pair,,,
2025-01-22,,,2025-01-01,1737532800,,,,,7,6,,,,,,,,,94580.9,no_pair,,,
2025-01-24,BTC-24JAN25-108000-C,2067.8415065,2025-01-03,1737705600,0.05335814068215269,-0.9562938652900527,0.5732602623756973,0.5193198249675333,25,24,3,0,3.3673874724007264,2.1967138422564996,BTC-24JAN25-88000-P,1237.1045,3.3673874724007264,TRAIN,98145.7,ok,108000.0,88000.0,0.0
