position_id,symbol,side_sign,outcome,dist_hvn_pct,dist_lvn_pct,dist_fib_norm,dist_fib_pct,touch_density_pct
UNIUSDT-2026-05-07-long,UNIUSDT,1,win,5.226142278773857,0.7865818392134085,0.003823008849558398,0.04997108155004036,0.37230081906180196
ETHUSDT-2026-05-07-long,ETHUSDT,1,loss,0.6580025553662722,2.0460093696763253,0.01614993372281464,0.1401013628620151,2.1593447505584513
BTCUSDT-2026-05-07-long,BTCUSDT,1,loss,3.741944785276071,0.7512110429447776,0.04709256723655013,0.4599874846625822,2.2338049143708116
ZROUSDT-2026-05-07-long,ZROUSDT,1,win,0.19947097124254493,4.137208355941402,0.020800750703784933,0.4510309278350546,0.7446016381236039
BTCUSDT-2026-05-08-long,BTCUSDT,1,win,1.6474580138507804,0.6494313252528691,0.0029284610649823206,0.02922682299372245,1.4147431124348473
AVNTUSDT-2026-05-08-long,AVNTUSDT,1,win,2.44779509179233,2.7985616049460393,0.04735449735449698,1.129266292347477,0.8190618019359642
SNXUSDT-2026-05-08-long,SNXUSDT,1,win,8.726375176304652,1.9901269393511927,0.1821742043551088,3.067926657263749,0.0
STABLEUSDT-2026-05-09-long,STABLEUSDT,1,win,2.2824515755998998,5.795027464585138,0.0543307086614181,0.9973980919340995,0.14892032762472077
ETHUSDT-2026-05-09-long,ETHUSDT,1,win,0.05361785329602223,3.2256318860766617,0.043914772448329135,0.38693965125685803,8.488458674609085
ZROUSDT-2026-05-11-long,ZROUSDT,1,win,0.2798537774167399,3.9021121039804867,0.011939393939393928,0.20804224207960995,1.4892032762472078
BTCUSDT-2026-05-11-short,BTCUSDT,-1,win,0.8849078133591666,0.11017021318009751,0.13537626088158175,1.3110134934576527,0.37230081906180196
BTCUSDT-2026-05-11-long,BTCUSDT,1,win,0.09352499314088616,1.4806263919064846,0.026493926413506164,0.26065906849477405,3.7230081906180192
BTCUSDT-2026-05-12-long,BTCUSDT,1,loss,0.1937691358024618,1.3731320987654243,0.015715979750523894,0.15445703703703154,3.276247207743857
XRPUSDT-2026-05-12-long,XRPUSDT,1,win,2.199075670828441,2.766365454921702,0.02686552567237191,0.3031799682693001,1.0424422933730455
ETHUSDT-2026-05-13-long,ETHUSDT,1,unknown,0.7627780200610503,2.4351460968163976,0.01786823113554923,0.15872568687309305,2.2338049143708116
SOLUSDT-2026-05-13-long,SOLUSDT,1,win,7.567779755050771,1.35611849680729,0.0480175953079183,0.8570082696535192,0.7446016381236039
BTCUSDT-2026-05-13-long,BTCUSDT,1,win,0.95618492174054,0.04788460774416522,0.05476905297272855,0.5499193724864995,0.37230081906180196
