position_id,symbol,his_r,passive_r,alpha_r
XRPUSDT-2026-07-03-long,XRPUSDT,0.607,0.748103186646435,-0.14110318664643506
TAOUSDT-2026-07-04-long,TAOUSDT,0.553,0.5575304022450898,-0.004530402245089715
ZECUSDT-2026-07-04-short,ZECUSDT,0.655,0.6351464435146438,0.01985355648535625
HYPEUSDT-2026-07-05-long,HYPEUSDT,0.546,0.6072885504487315,-0.061288550448731494
OPUSDT-2026-07-06-short,OPUSDT,0.589,0.4821428571428591,0.10685714285714087
MEUSDT-2026-07-06-long,MEUSDT,0.154,0.148978246539222,0.005021753460777989
XLMUSDT-2026-07-06-short,XLMUSDT,0.439,0.32098765432098836,0.11801234567901164
SOLUSDT-2026-07-09-long,SOLUSDT,0.018,0.04285714285714153,-0.024857142857141534
BTCUSDT-2026-07-09-long,BTCUSDT,0.502,0.43617229884305836,0.06582770115694164
GENIUSUSDT-2026-07-10-long,GENIUSUSDT,0.476,0.4201550387596901,0.055844961240309854
BTCUSDT-2026-07-13-long,BTCUSDT,0.789,0.9052062098165271,-0.11620620981652707
TRIAUSDT-2026-07-14-long,TRIAUSDT,0.65,0.6396194739787354,0.010380526021264602
BTCUSDT-2026-07-15-short,BTCUSDT,0.041,0.12063867534004094,-0.07963867534004093
BTCUSDT-2026-07-17-long-swing,BTCUSDT,1.52,1.5522188512367,-0.032218851236699875
ZECUSDT-2026-07-18-long,ZECUSDT,1.143,0.7878571428571409,0.3551428571428591
BTCUSDT-2026-07-21-short,BTCUSDT,0.887,0.7702933734527744,0.11670662654722563
ZECUSDT-2026-07-21-short,ZECUSDT,0.532,0.9806795469686824,-0.4486795469686824
ENAUSDT-2026-07-22-short,ENAUSDT,-1.0,-1.0,0.0
XRPUSDT-2026-07-23-long,XRPUSDT,0.018,0.013452914798204804,0.0045470852017951945
BTCUSDT-2026-07-23-long,BTCUSDT,0.705,0.43231305695466987,0.2726869430453301
BTCUSDT-2026-07-24-long,BTCUSDT,0.277,0.1929888960264325,0.08401110397356754
BNBUSDT-2026-07-25-long,BNBUSDT,0.465,0.4104477611940266,0.05455223880597343
EDUUSDT-2026-07-25-long,EDUUSDT,0.705,0.8524590163934396,-0.1474590163934396
BTCUSDT-2026-07-27-short,BTCUSDT,0.515,0.5410740654387238,-0.026074065438723815
ZECUSDT-2026-07-27-short,ZECUSDT,0.839,0.7849872773536897,0.054012722646310296
BTCUSDT-2026-07-28-long,BTCUSDT,0.874,0.83918910885203,0.03481089114796998
BTCUSDT-2026-07-29-long-2,BTCUSDT,0.782,0.9093861386138602,-0.12738613861386017
BTCUSDT-2026-07-30-short,BTCUSDT,0.5,0.4622499999999991,0.037750000000000894
BTCUSDT-2026-07-31-long,BTCUSDT,-1.0,-1.0,0.0
BNBUSDT-2026-07-31-long,BNBUSDT,0.024,0.028915662650603465,-0.004915662650603465
UNIUSDT-2026-07-31-short,UNIUSDT,0.76,0.6249999999999994,0.13500000000000056
HYPEUSDT-2026-08-01-long,HYPEUSDT,0.421,0.46789473684210525,-0.04689473684210527
BTCUSDT-2026-08-01-long,BTCUSDT,1.787,1.60307471006023,0.18392528993976986
ZECUSDT-2026-08-02-long,ZECUSDT,0.702,0.7340425531914894,-0.03204255319148941
ZECUSDT-2026-08-03-long,ZECUSDT,0.0,1.7604545454545464,-1.7604545454545464
ETHUSDT-2026-08-04-long,ETHUSDT,0.246,0.1347540983606562,0.11124590163934381
ETHUSDT-2026-08-05-long,ETHUSDT,0.451,0.4888032747411502,-0.037803274741150195
ETHUSDT-2026-08-05-short,ETHUSDT,0.933,0.4673333333333327,0.46566666666666734
BTCUSDT-2026-08-06-short,BTCUSDT,0.988,1.1018546982272712,-0.11385469822727123
ETHUSDT-2026-08-07-short,ETHUSDT,0.568,0.5646583394562775,0.0033416605437224245
GRTUSDT-2026-08-10-short,GRTUSDT,0.424,0.5151515151515145,-0.09115151515151448
BTCUSDT-2026-08-10-long,BTCUSDT,0.268,-1.0,1.268
ETHUSDT-2026-08-10-long,ETHUSDT,0.567,0.5910865322055975,-0.024086532205597533
HYPEUSDT-2026-08-13-short,HYPEUSDT,0.859,0.7702325581395348,0.08876744186046515
ZECUSDT-2026-08-14-long,ZECUSDT,0.571,0.5123809523809519,0.058619047619048015
SOLUSDT-2026-08-16-long,SOLUSDT,0.13,0.1913043478260862,-0.06130434782608621
WLDUSDT-2026-08-17-short,WLDUSDT,0.351,0.2976190476190482,0.05338095238095175
BTCUSDT-2026-08-20-long,BTCUSDT,2.544,3.1934788466720647,-0.6494788466720647
