position_id,symbol,side,side_sign,outcome,risk_dist_pct,is_btc,new_low_1d,new_high_1d,new_low_3d,new_high_3d,new_low_7d,new_high_7d,recovery_atr,min_since_4h_close,entry_vs_ema200_atr,stop_vs_ema200_atr,atr14_1h_pct,range_position,entry_vs_pdl_pct,entry_vs_pdh_pct,btc_ret_4h_pct,btc_ret_24h_pct,rs_24h_pct
UNIUSDT-2026-05-07-long,UNIUSDT,long,1,win,5.1475,False,0.0,0.0,0.0,0.0,0.0,0.0,0.539680728262498,214.71666666666667,2.1673954802757756,-0.4448722460212254,1.1252716978571469,0.5622119815668216,5.813953488372105,1.7957020900794933,-0.005166051660510096,0.27023793518976547,2.7988919813775937
ETHUSDT-2026-05-07-long,ETHUSDT,long,1,loss,2.385,False,1.0,0.0,0.0,0.0,0.0,0.0,0.8132689117374844,215.76666666666668,2.0494729581788684,0.45995731799595646,0.689165654329706,0.1468803663423004,0.17064846416382254,-2.120989795237782,-0.005166051660510096,0.27023793518976547,-1.1235083826179104
BTCUSDT-2026-05-07-long,BTCUSDT,long,1,loss,2.3313,True,1.0,0.0,0.0,0.0,0.0,0.0,1.9779750807301322,6.95,6.139766035143738,4.066666899168911,0.4989300296340894,0.8202627388534979,1.0524331938024516,-1.6041541156628043,,,
ZROUSDT-2026-05-07-long,ZROUSDT,long,1,win,7.7591,False,0.0,0.0,0.0,0.0,0.0,0.0,1.342100311071756,32.916666666666664,-3.255065339382361,-5.595424992558923,1.6626299471663668,0.642967542503862,6.45487364620938,-3.7597911227154106,-0.8004408438379573,-2.0094465202326717,3.251128622174093
BTCUSDT-2026-05-08-long,BTCUSDT,long,1,win,1.5852,True,1.0,0.0,1.0,0.0,0.0,0.0,0.8873503082904219,160.7,3.933578164417204,2.6114396525249686,0.5495983169313345,0.13649677797304915,-1.0995496657210344,-3.6995630741518375,,,
AVNTUSDT-2026-05-08-long,AVNTUSDT,long,1,win,10.9835,False,0.0,0.0,0.0,0.0,0.0,0.0,0.7637310716921467,223.1,3.09833471026367,-1.22056850695867,1.5694824911261513,0.4763157894736861,9.24190213645762,-2.1543209876543163,-0.5288454917299124,-2.006862629013484,10.328827158345
SNXUSDT-2026-05-08-long,SNXUSDT,long,1,win,12.5529,False,0.0,1.0,0.0,1.0,0.0,1.0,2.801125930906233,49.46666666666667,4.875369899934508,0.08006289287984084,1.4702933139650691,0.9166666666666661,10.60842433697347,2.2202998846597417,-0.07832191554452139,0.32243280875914326,5.740047859350983
STABLEUSDT-2026-05-09-long,STABLEUSDT,long,1,win,13.2697,False,0.0,1.0,0.0,0.0,0.0,0.0,2.995139244519237,51.083333333333336,5.2711844961643335,-1.2526666365230363,1.0327999257921858,0.9850746268656739,7.757009345794412,4.691283292978217,-0.19778293913663703,0.686507189050034,3.7993030031989727
ETHUSDT-2026-05-09-long,ETHUSDT,long,1,win,2.2377,False,0.0,0.0,0.0,0.0,0.0,0.0,0.38709025200206243,178.33333333333334,1.1080791234469893,-0.7086224360035136,0.4548257721615474,0.3951727401798327,2.1339294787115213,-0.38480432290813116,-0.16369688565118778,0.46801618013110335,0.8056738856995649
ZROUSDT-2026-05-11-long,ZROUSDT,long,1,win,7.257,False,0.0,1.0,0.0,1.0,0.0,1.0,1.1310549680925894,100.75,-3.0590483035777836,-5.65046287555981,1.58008669516203,0.42252252252252404,3.48161120840631,-2.2369291859695455,-0.796054030861082,-0.09088140100985687,1.7716117924886143
BTCUSDT-2026-05-11-short,BTCUSDT,short,-1,win,1.7605,True,1.0,1.0,0.0,1.0,0.0,0.0,4.8148635747339865,210.8,9.018784987861977,11.40563735756674,0.49737835740879793,0.8847186185917519,2.6508491508491545,1.4308418226328747,,,
BTCUSDT-2026-05-11-long,BTCUSDT,long,1,win,1.7478,True,0.0,0.0,0.0,0.0,0.0,0.0,0.7379400360491841,133.48333333333332,5.074448867202263,3.3184259192450853,0.5523378862369575,0.23623596999840027,0.858958106627466,-1.8752008537420983,,,
BTCUSDT-2026-05-12-long,BTCUSDT,long,1,loss,1.8519,True,0.0,0.0,0.0,0.0,0.0,0.0,0.2899798050325879,90.96666666666667,5.142980072541859,3.19005762092645,0.49982194997565743,-0.3905618802790944,0.7537875960892604,-1.639344262295082,,,
XRPUSDT-2026-05-12-long,XRPUSDT,long,1,win,3.4283,False,0.0,0.0,0.0,0.0,0.0,0.0,0.4414711709200043,1.4333333333333333,1.9732858048382833,-0.2661551397886637,0.7968740580914455,0.16545012165449954,0.7505733546459046,-2.573924731182796,-0.08229261024734758,-0.5228719518129976,-0.09483566658097242
ETHUSDT-2026-05-13-long,ETHUSDT,long,1,unknown,2.0933,False,0.0,0.0,0.0,0.0,0.0,0.0,1.9457374902860807,221.33333333333334,0.18386894548414803,-1.572474556518178,0.5634780093954648,0.7577903682719516,1.6783805955257924,-2.0001709547824675,0.5020257178087073,-0.2528824785930084,-0.6820967176878079
SOLUSDT-2026-05-13-long,SOLUSDT,long,1,win,2.125,False,0.0,0.0,0.0,0.0,0.0,0.0,1.9869207071410864,232.71666666666667,5.007927526433453,3.7308703693624063,0.7533828398122975,0.9935064935064902,2.116515232495996,-2.1509781829355674,0.5020257178087073,-0.2528824785930084,-1.094267780474345
BTCUSDT-2026-05-13-long,BTCUSDT,long,1,win,1.7461,True,1.0,0.0,1.0,0.0,0.0,0.0,0.08216592994425455,196.5,2.5714374996810405,0.7131916154863484,0.49274904069499587,-0.0439753969088394,-0.6474229646244962,-3.0247451909493064,,,
SOLUSDT-2026-05-14-long,SOLUSDT,long,1,win,3.899,False,0.0,0.0,0.0,0.0,0.0,0.0,1.1336292691936969,17.183333333333334,1.935216663810292,-0.22968906877214673,0.8622615214431728,-0.13793103448278396,0.9423503325942286,-5.126602063144735,-0.39758909010512156,-1.4574762928623808,-1.87408869387502
ENSUSDT-2026-05-14-long,ENSUSDT,long,1,win,8.6957,False,1.0,0.0,1.0,0.0,0.0,0.0,2.132415064995417,220.85,2.3983611381439967,-0.3449687018745625,1.1825742426182906,0.9850746268656755,2.7091396248883655,-5.660377358490562,0.5555345460046102,-1.4527040382676826,-1.8229883559401139
BTCUSDT-2026-05-14-long,BTCUSDT,long,1,loss,2.214,True,0.0,1.0,0.0,0.0,0.0,0.0,4.929719944932279,87.2,4.15233598627872,2.176659824900609,0.6192078980781092,0.7766487730061354,3.2855738129781527,0.036667806896012206,,,
HBARUSDT-2026-05-15-long,HBARUSDT,long,1,loss,6.1181,False,0.0,1.0,0.0,1.0,0.0,0.0,0.2080915365189161,239.6,1.9431051979638354,-1.2146372539377235,1.1152184006648702,0.39703459637561667,3.6858799081264335,-0.8160703075957345,-0.13614637084063963,2.549023806255035,-0.5622688393676079
ETHUSDT-2026-05-16-long,ETHUSDT,long,1,breakeven,1.3162,False,1.0,0.0,1.0,0.0,1.0,0.0,1.1307067663061285,118.66666666666667,-3.72739928842338,-4.7078686629969955,0.5712622068744777,0.1865130174989349,-1.3587166163690432,-5.468913088859508,-0.7726592058977189,-2.750157245773599,-0.09115726660259282
BTCUSDT-2026-05-16-long,BTCUSDT,long,1,unknown,0.3846,True,1.0,0.0,1.0,0.0,1.0,0.0,0.6854101000006473,118.66666666666667,0.30336784969814423,-0.054265701638679595,0.44536316324508424,0.11113580795732408,-0.7759826994021117,-4.439636478576105,,,
BTCUSDT-2026-05-16-long-2,BTCUSDT,long,1,unknown,1.4624,True,0.0,0.0,0.0,0.0,0.0,0.0,1.4003382590986357,29.766666666666666,0.35068905952690504,-1.0371574678032833,0.4338229324384392,0.2750485011577706,-0.7234448543442273,-4.3890384912243725,,,
BTCUSDT-2026-05-18-long,BTCUSDT,long,1,win,1.7009,True,1.0,0.0,1.0,0.0,1.0,0.0,0.9197710139232965,50.6,-1.4016576395734588,-3.10582449995165,0.44847142877371,-0.2947896832265947,0.050478699814777206,-2.366978385857197,,,
BOMEUSDT-2026-05-18-long,BOMEUSDT,long,1,win,11.6372,False,0.0,1.0,0.0,0.0,0.0,0.0,3.091904370762604,125.93333333333334,2.140028033199933,-0.9412240711745687,1.9411986747211711,0.9029535864978925,8.639739177685206,-0.7118026816752097,0.01638461718513895,-1.6004605641911307,4.327265571908512
ZECUSDT-2026-05-18-long,ZECUSDT,long,1,win,7.5075,False,0.0,0.0,0.0,0.0,0.0,0.0,1.5342417924154828,194.13333333333333,5.110363094123435,2.933143571188815,1.837215592588614,0.9815531091936922,9.961130243892622,-1.6039214979545455,-0.1940557654989239,-2.562568551201505,5.147324042132883
SUIUSDT-2026-05-19-long,SUIUSDT,long,1,win,5.9415,False,0.0,1.0,0.0,0.0,0.0,0.0,2.993163004994172,228.23333333333332,1.3521504371823656,-0.8114490390326184,1.3472063709755246,0.5842696629213491,5.089058524173033,0.8168247112947286,0.5209815867610601,0.13514339637856754,4.295113906774839
BTCUSDT-2026-05-21-long,BTCUSDT,long,1,loss,2.2904,True,0.0,1.0,0.0,1.0,0.0,0.0,0.07010935308972169,31.6,-0.7921236720064394,-3.174589728818421,0.4627072480769633,0.008977777777782952,0.7584493691573587,-0.9774393581562889,,,
WLDUSDT-2026-05-22-long,WLDUSDT,long,1,win,6.6901,False,0.0,1.0,0.0,1.0,0.0,1.0,1.8967695268939113,51.233333333333334,2.574267934786006,0.49332306732137865,2.079146631108628,0.6321839080459751,14.88673139158575,1.9382627422828285,-0.47993311036790276,-0.6157012159874298,11.33687360318375
XPLUSDT-2026-05-22-long,XPLUSDT,long,1,loss,6.0674,False,0.0,0.0,0.0,0.0,0.0,0.0,1.3310639203898993,83.21666666666667,-3.0102279744720324,-5.16703089377265,1.5194401103742083,0.6428571428571421,4.460093896713612,-3.9913700107874956,-0.49252833358454096,-0.8351725103064478,2.089448451013398
AVAXUSDT-2026-05-22-long,AVAXUSDT,long,1,loss,4.5877,False,0.0,1.0,0.0,1.0,0.0,0.0,1.7837512164831268,79.98333333333333,0.8830368536676183,-2.1852386513801547,0.726475292152434,0.9014084507042296,3.5381951958450544,0.5780954383014663,0.3284669642764637,0.3201543161928555,2.7332807983109664
BEATUSDT-2026-05-23-short,BEATUSDT,short,-1,win,7.9612,False,0.0,1.0,0.0,1.0,0.0,1.0,0.7960586460746898,93.61666666666666,6.3732936364546715,7.3186652165347095,7.083441627398956,0.4645042839657288,77.17077198293657,0.7827788649706464,0.23470314300431117,-2.723399540581728,78.04060032540843
JCTUSDT-2026-05-23-short,JCTUSDT,short,-1,win,6.5,False,0.0,1.0,0.0,1.0,0.0,0.0,0.47198620562780313,215.1,3.664285295794937,4.940609637313647,3.125091331934285,0.28363636363636335,29.2824822236587,-1.8645731108930246,-0.23152407440010236,-2.6077068203551046,31.215301757063962
HYPEUSDT-2026-05-23-long,HYPEUSDT,long,1,win,1.984,False,0.0,0.0,0.0,0.0,0.0,0.0,0.40783431577605744,225.86666666666667,4.255793622013695,3.8123377200437,2.2428106133985564,0.4902061855670111,1.1793928242870253,-11.244714161205977,-0.23152407440010236,-2.6077068203551046,-0.9726545390278285
SUIUSDT-2026-05-23-long,SUIUSDT,long,1,win,5.1328,False,1.0,0.0,1.0,0.0,1.0,0.0,0.8002920052534638,13.716666666666667,-1.1332239118213119,-2.506168425976363,1.74691578946986,0.2900432900432916,-3.730051913093631,-11.568350406216885,-1.3571590137977818,-3.611105007438564,-6.120438616722513
BTCUSDT-2026-05-23-long,BTCUSDT,long,1,win,3.9858,True,0.0,0.0,0.0,0.0,0.0,0.0,2.6730944483870718,136.78333333333333,-3.0323516354743103,-6.9490230110508975,0.4299305321543069,0.694776589049715,-0.1656886434242358,-3.4233336372871737,,,
