position_id,symbol,side,side_sign,outcome,risk_dist_pct,is_btc,new_low_1d,new_high_1d,new_low_3d,new_high_3d,new_low_7d,new_high_7d,recovery_atr,min_since_4h_close,entry_vs_ema200_atr,stop_vs_ema200_atr,atr14_1h_pct,range_position,entry_vs_pdl_pct,entry_vs_pdh_pct,btc_ret_4h_pct,btc_ret_24h_pct,rs_24h_pct,control_time_utc
UNIUSDT-2026-05-07-long,UNIUSDT,long,1,win,5.1475,False,0.0,0.0,0.0,0.0,0.0,0.0,0.18446233408502155,214.0,4.117373466733192,2.4981044163745736,1.5383544090802568,0.4772036474164132,8.664816527906265,2.561117578579746,0.46698645598193256,1.4303778837434278,2.3730159137989926,2026-07-10 23:34:00+00:00
UNIUSDT-2026-05-07-long,UNIUSDT,long,1,win,5.1475,False,0.0,0.0,0.0,0.0,0.0,0.0,1.0131013166609228,214.0,-0.5605378656393429,-2.37650347657473,1.224481457387065,0.35087719298245684,-0.034447123665170165,-5.318107667210435,-0.9073407999570349,-1.9337489182666423,-0.07373662103244971,2026-06-28 23:34:00+00:00
UNIUSDT-2026-05-07-long,UNIUSDT,long,1,win,5.1475,False,1.0,0.0,1.0,0.0,1.0,0.0,0.3129322396177262,214.0,-7.790237132828286,-9.70958734591797,1.6298039970547222,0.055118110236221395,-5.475206611570242,-9.792967466316137,-1.428051488884441,-7.036479742660773,-0.20941089806381097,2026-06-02 23:34:00+00:00
UNIUSDT-2026-05-07-long,UNIUSDT,long,1,win,5.1475,False,0.0,0.0,0.0,0.0,0.0,0.0,2.2601181239536845,214.0,4.01735347427219,2.0088418020116827,1.2219131461454915,0.9946808510638304,2.4328147100424284,-3.59424920127795,-0.4162248268065549,0.02080091336342793,-1.486103650438353,2026-07-17 23:34:00+00:00
UNIUSDT-2026-05-07-long,UNIUSDT,long,1,win,5.1475,False,0.0,0.0,0.0,0.0,0.0,0.0,0.539680728262498,214.0,2.1673954802757756,-0.444880317634983,1.1252716978571469,0.5622119815668216,5.813953488372105,1.7957020900794933,-0.005166051660510096,0.27023793518976547,2.7988919813775937,2026-05-06 23:34:00+00:00
UNIUSDT-2026-05-07-long,UNIUSDT,long,1,win,5.1475,False,0.0,0.0,0.0,0.0,0.0,0.0,0.27334286132437363,214.0,-3.3148593825587573,-5.363175115430327,0.9480472654275105,0.10828025477706943,0.6083429895712603,-8.70136698212408,0.33657424306348105,0.14478147932603935,-2.200540420469377,2026-08-13 23:34:00+00:00
UNIUSDT-2026-05-07-long,UNIUSDT,long,1,win,5.1475,False,0.0,0.0,0.0,0.0,0.0,0.0,0.9195709347603526,214.0,5.60244835318299,3.1780604026123758,1.088300842393985,0.8006329113924044,8.099861303744795,1.8823529411764608,1.0476487787991262,1.5643640023859318,4.44433637825572,2026-07-26 23:34:00+00:00
UNIUSDT-2026-05-07-long,UNIUSDT,long,1,win,5.1475,False,0.0,0.0,0.0,0.0,0.0,0.0,2.352821339078163,214.0,5.064890753281922,2.7470541693065735,1.0470731959212967,0.7655502392344496,11.58734850724209,1.152197213290453,-0.16583173705344567,0.6193127361059592,1.057722698029817,2026-05-09 23:34:00+00:00
UNIUSDT-2026-05-07-long,UNIUSDT,long,1,win,5.1475,False,0.0,0.0,0.0,0.0,0.0,0.0,0.9554521475134347,214.0,-5.8558109707542165,-8.267542855795625,0.8631298736759512,0.49206349206349115,2.4405506883604455,-1.2070006035003027,-0.35857287046852093,-0.34183455967999876,1.8555818565598292,2026-08-16 23:34:00+00:00
UNIUSDT-2026-05-07-long,UNIUSDT,long,1,win,5.1475,False,1.0,0.0,0.0,0.0,0.0,0.0,1.437920626624245,214.0,-1.3859602907251456,-3.4644371154332516,1.0108865399295812,0.3266666666666664,3.500153515505062,-5.547772485289996,0.1811244330074624,0.2850312855146031,-3.116582860203998,2026-05-24 23:34:00+00:00
