symbol,time_utc,price,field,inside_bar,dist_to_range_pct,dist_to_close_pct
ADAUSDT,2026-05-28 17:23:18+00:00,0.234,entry_price,True,0.0,0.042735042735038024
ADAUSDT,2026-05-30 05:32:55+00:00,0.2385,price_ref,False,1.341719077568126,1.3836477987421374
ADAUSDT,2026-05-30 05:32:55+00:00,0.2343,entry_price,False,0.21340162185232628,0.38412291933418014
ALLOUSDT,2026-06-10 08:21:57+00:00,0.425,entry_price,True,0.0,0.2141176470588287
ARBUSDT,2026-08-20 15:09:34+00:00,0.0889,entry_price,True,0.0,0.05624296962880582
ARKMUSDT,2026-07-31 15:38:00+00:00,0.096,entry_price,False,1.5625000000000013,1.6666666666666712
ARKMUSDT,2026-07-31 15:38:00+00:00,0.096,entry_price,False,1.5625000000000013,1.6666666666666712
AVAXUSDT,2026-05-22 13:19:59+00:00,9.569,entry_price,True,0.0,0.29261155815655204
AVAXUSDT,2026-07-08 14:42:46+00:00,6.42,entry_price,True,0.0,0.24922118380062327
AVAXUSDT,2026-08-20 17:07:05+00:00,7.2,entry_price,False,0.041666666666668246,0.8611111111111026
AVNTUSDT,2026-05-08 03:43:06+00:00,0.158,price_ref,False,0.18987341772151564,0.31645569620253194
AVNTUSDT,2026-05-08 03:43:06+00:00,0.158,entry_price,False,0.18987341772151564,0.31645569620253194
AVNTUSDT,2026-05-09 01:48:32+00:00,0.16787,card_mark_price,True,0.0,0.5182581759694894
AVNTUSDT,2026-05-09 01:48:32+00:00,0.16787,price_ref,True,0.0,0.5182581759694894
AVNTUSDT,2026-05-09 01:48:32+00:00,0.15851,entry_price,False,4.977603936660135,5.356128950854834
AVNTUSDT,2026-05-10 18:01:23+00:00,0.15851,entry_price,False,5.166866443757476,5.166866443757476
AVNTUSDT,2026-05-10 18:01:23+00:00,0.16709,card_mark_price,True,0.0,0.23340714584954306
AVNTUSDT,2026-05-10 18:01:23+00:00,0.16709,price_ref,True,0.0,0.23340714584954306
BBUSDT,2026-05-14 00:18:10+00:00,0.03535,entry_price,True,0.0,1.3861386138613787
BBUSDT,2026-05-14 16:03:51+00:00,0.03709,card_mark_price,False,8.546778107306551,8.68158533297385
BBUSDT,2026-05-15 00:20:30+00:00,0.03538,entry_price,False,1.7806670435274126,2.3742227247032233
BBUSDT,2026-05-15 00:20:30+00:00,0.0371,price_ref,False,0.6738544474393536,2.37196765498652
BBUSDT,2026-05-15 00:20:30+00:00,0.0371,card_mark_price,False,0.6738544474393536,2.37196765498652
BEATUSDT,2026-05-23 05:33:37+00:00,1.286,entry_price,True,0.0,4.339035769828933
BEATUSDT,2026-05-23 06:21:38+00:00,1.169,price_ref,True,0.0,3.071000855431997
BEATUSDT,2026-05-23 06:21:38+00:00,1.2875,entry_price,False,5.266019417475734,6.415533980582524
BEATUSDT,2026-06-09 05:08:31+00:00,4.25,entry_price,False,0.36470588235294804,2.9082352941176404
BEATUSDT,2026-06-09 08:14:10+00:00,3.7131,price_ref,True,0.0,3.2802779348792206
BEATUSDT,2026-06-09 08:14:10+00:00,4.2,entry_price,False,5.238095238095243,8.692857142857143
BEATUSDT,2026-06-09 08:14:10+00:00,3.7131,card_mark_price,True,0.0,3.2802779348792206
BEATUSDT,2026-06-09 16:55:34+00:00,4.7,entry_price,True,0.0,1.8042553191489266
BEATUSDT,2026-06-09 16:55:40+00:00,4.7,entry_price,True,0.0,1.8042553191489266
BEATUSDT,2026-06-27 03:16:37+00:00,2.6,entry_price,False,1.884615384615382,2.653846153846152
BEATUSDT,2026-07-01 14:24:05+00:00,2.6,entry_price,True,0.0,1.2307692307692317
BEATUSDT,2026-07-01 14:24:05+00:00,4.0,price_ref,False,33.425000000000004,34.199999999999996
BERAUSDT,2026-08-21 10:51:59+00:00,0.19,entry_price,True,0.0,3.3157894736842106
BNBUSDT,2026-06-01 14:50:57+00:00,680.0,entry_price,True,0.0,0.1514705882352901
BNBUSDT,2026-06-01 19:21:47+00:00,693.96,price_ref,True,0.0,0.25938094414663015
BNBUSDT,2026-06-01 19:21:47+00:00,693.96,card_mark_price,True,0.0,0.25938094414663015
BNBUSDT,2026-06-01 19:21:47+00:00,676.49,entry_price,False,2.3459326819317368,2.8485269553134533
BNBUSDT,2026-06-01 20:24:24+00:00,701.97,price_ref,True,0.0,0.2022878470590015
BNBUSDT,2026-06-01 20:24:24+00:00,676.49,entry_price,False,3.318600422770484,3.556593593401225
BNBUSDT,2026-06-01 20:24:24+00:00,701.97,card_mark_price,True,0.0,0.2022878470590015
BNBUSDT,2026-07-25 08:55:37+00:00,565.0,entry_price,True,0.0,0.03893805309734996
BNBUSDT,2026-07-26 10:05:19+00:00,571.95,price_ref,False,0.02972287787395275,0.06294256490952245
BNBUSDT,2026-07-26 10:05:19+00:00,571.95,card_mark_price,False,0.02972287787395275,0.06294256490952245
BNBUSDT,2026-07-26 10:05:19+00:00,565.35,entry_price,False,1.0772088087025793,1.1037410453701264
BNBUSDT,2026-07-27 06:17:52+00:00,577.3,price_ref,False,0.19054217910963261,0.34297592239735053
BNBUSDT,2026-07-27 06:17:52+00:00,565.46,entry_price,False,1.6959643476107802,1.7437130831535408
BNBUSDT,2026-07-27 06:18:19+00:00,576.08,price_ref,True,0.0,0.13192612137203008
BNBUSDT,2026-07-27 06:18:19+00:00,565.35,entry_price,False,1.715751304501624,1.7635093305032328
BNBUSDT,2026-07-31 11:04:14+00:00,582.0,entry_price,False,1.828178694158073,1.8659793814433012
BNBUSDT,2026-07-31 14:22:19+00:00,586.6,entry_price,True,0.0,0.05284691442208411
BNBUSDT,2026-08-02 15:58:34+00:00,587.0,price_ref,True,0.0,0.05451448040886712
BNBUSDT,2026-08-05 13:05:17+00:00,599.41,price_ref,True,0.0,0.16349410253416163
BOMEUSDT,2026-05-18 14:05:56+00:00,0.000599,entry_price,True,0.0,0.05008347245408232
BOMEUSDT,2026-05-19 01:02:19+00:00,0.0005998,entry_price,False,2.6008669556518744,2.6175391797265757
BOMEUSDT,2026-05-19 01:02:19+00:00,0.0005998,entry_price,False,2.6008669556518744,2.6175391797265757
BOMEUSDT,2026-05-19 01:02:19+00:00,0.0006203,price_ref,False,0.2579397065935725,0.7738191197807351
BOMEUSDT,2026-05-19 01:02:19+00:00,0.0006203,card_mark_price,False,0.2579397065935725,0.7738191197807351
BOMEUSDT,2026-05-19 07:30:37+00:00,0.0005998,entry_price,False,7.2857619206402005,7.635878626208722
BOMEUSDT,2026-05-19 07:30:37+00:00,0.000643,card_mark_price,False,0.07776049766717853,0.40435458786935535
BOMEUSDT,2026-05-19 07:30:37+00:00,0.000643,price_ref,False,0.07776049766717853,0.40435458786935535
BONKUSDT,2026-05-20 17:35:41+00:00,0.614,entry_price,False,99.9989951140065,99.99899674267101
BONKUSDT,2026-05-22 13:02:49+00:00,0.006323,price_ref,False,99.89973114028152,99.90004744583267
BONKUSDT,2026-05-22 13:02:49+00:00,0.006158,entry_price,False,99.8970444949659,99.89736927573888
BTCUSDT,2026-05-07 08:06:57+00:00,81500.0,entry_price,True,0.0,0.0392638036809816
BTCUSDT,2026-05-07 22:40:42+00:00,79700.0,entry_price,True,0.0,0.1075282308657429
BTCUSDT,2026-05-07 22:40:42+00:00,79700.0,price_ref,True,0.0,0.1075282308657429
