strategy,era,stop,n,mean_bp,worst_bp,hit,cum_bp,t,stop_rate,d_mean_vs_none_bp,worst_shrink_pct
JPLUS_R4_BTC,post_etf,2%,62,21.203152814833075,-215.00000000000128,0.532258064516129,1314.5954745196507,0.7477210921893127,0.3064516129032258,-36.92569275200882,55.448123191670426
JPLUS_R4_BTC,post_etf,3%,62,34.991721690800055,-315.00000000000136,0.5806451612903226,2169.4867448296036,1.1992840135526512,0.11290322580645161,-23.13712387604184,34.726320025005606
JPLUS_R4_BTC,post_etf,5%,62,39.67456649966142,-515.0000000000005,0.5967741935483871,2459.8231229790076,1.3006907136210193,0.03225806451612903,-18.45427906718048,-6.7172863083238
JPLUS_R4_BTC,post_etf,none,62,58.128845566841896,-482.5834855958394,0.6129032258064516,3603.9884251441977,2.0404064681255525,0.0,0.0,0.0
JPLUS_R4_BTC,pre_etf,2%,98,9.16223545171868,-215.00000000000128,0.5,897.8990742684306,0.40427434196935336,0.29591836734693877,2.496324966551229,68.71111146072577
JPLUS_R4_BTC,pre_etf,3%,98,7.946241175761735,-315.00000000000136,0.5204081632653061,778.73163522465,0.310643020421724,0.19387755102040816,1.2803306905942842,54.15814004710992
JPLUS_R4_BTC,pre_etf,5%,98,5.883066231150416,-515.0000000000016,0.5306122448979592,576.5404906527407,0.21730064712494812,0.07142857142857142,-0.7828442540170348,25.052197219878213
JPLUS_R4_BTC,pre_etf,none,98,6.66591048516745,-687.1448940416352,0.5306122448979592,653.2592275464101,0.24428273033697465,0.0,0.0,0.0
JPLUS_R4_BTC_V2,post_etf,2%,127,20.346447024162316,-215.00000000000128,0.5433070866141733,2583.998772068614,1.4147505782443213,0.14960629921259844,-3.7860720246735795,57.322992851405964
JPLUS_R4_BTC_V2,post_etf,3%,127,23.275484129984946,-315.0000000000003,0.5433070866141733,2955.9864845080883,1.627297577150461,0.031496062992125984,-0.8570349188509496,37.473222084618364
JPLUS_R4_BTC_V2,post_etf,5%,127,24.044205311578185,-515.0000000000005,0.5511811023622047,3053.6140745704297,1.6437727570729996,0.007874015748031496,-0.0883137372577103,-2.2263194489572813
JPLUS_R4_BTC_V2,post_etf,none,127,24.132519048835896,-503.78415536827146,0.5511811023622047,3064.8299192021586,1.6527010592157017,0.0,0.0,0.0
JPLUS_R4_BTC_V2,pre_etf,2%,194,4.853655393637196,-215.00000000000128,0.4896907216494845,941.609146365616,0.3619823490414567,0.25773195876288657,-26.892736811685616,65.25952745044539
JPLUS_R4_BTC_V2,pre_etf,3%,194,16.43865496125292,-315.00000000000136,0.520618556701031,3189.0990624830665,1.1303921411182185,0.1134020618556701,-15.307737244069894,49.10116812507124
JPLUS_R4_BTC_V2,pre_etf,5%,194,20.164469985580023,-515.0000000000005,0.5309278350515464,3911.9071772025245,1.3505734812776498,0.03608247422680412,-11.58192221974279,16.784449474323093
JPLUS_R4_BTC_V2,pre_etf,none,194,31.746392205322813,-618.8747136162881,0.5360824742268041,6158.800087832626,2.154972232933983,0.0,0.0,0.0
JPLUS_R4_ETH,post_etf,2%,63,60.95577183957466,-215.00000000000128,0.4444444444444444,3840.2136258932037,1.3390830993767393,0.47619047619047616,-62.87612437169714,63.37010785790629
JPLUS_R4_ETH,post_etf,3%,63,72.0856038862797,-315.00000000000136,0.5079365079365079,4541.393044835621,1.448458468147664,0.31746031746031744,-51.7462923249921,46.33294872204884
JPLUS_R4_ETH,post_etf,5%,63,54.78368091294432,-515.0000000000005,0.5238095238095238,3451.371897515492,1.0199664429085684,0.15873015873015872,-69.04821529832748,12.258630450334119
JPLUS_R4_ETH,post_etf,none,63,123.8318962112718,-586.9523152456441,0.5714285714285714,7801.409461310123,2.3486915642349344,0.0,0.0,0.0
JPLUS_R4_ETH,pre_etf,2%,97,41.89227879729803,-215.00000000000128,0.35051546391752575,4063.5510433379095,1.2016805198703209,0.4639175257731959,-47.121603259821626,78.95641796033088
JPLUS_R4_ETH,pre_etf,3%,97,39.65518510362305,-315.00000000000136,0.4329896907216495,3846.5529550514357,1.055793703937756,0.35051546391752575,-49.35869695349661,69.16870538374064
JPLUS_R4_ETH,pre_etf,5%,97,71.39336255989289,-515.0000000000016,0.5360824742268041,6925.156168309611,1.8011341963450656,0.15463917525773196,-17.620519497226766,49.59328023056017
JPLUS_R4_ETH,pre_etf,none,97,89.01388205711966,-1021.6891762757224,0.5670103092783505,8634.346559540607,2.186052031509108,0.0,0.0,0.0
JPLUS_R4_ETH_V2,post_etf,2%,127,32.8215888808089,-215.00000000000128,0.5511811023622047,4168.341787862731,1.8596345196900579,0.2204724409448819,1.715748895820223,68.28626342242457
JPLUS_R4_ETH_V2,post_etf,3%,127,31.189028698738998,-315.00000000000136,0.5590551181102362,3961.0066447398526,1.7130311890215089,0.07874015748031496,0.08318871375031733,53.535688270063986
JPLUS_R4_ETH_V2,post_etf,5%,127,31.45872764070938,-515.0000000000005,0.5669291338582677,3995.2584103700915,1.682536218293691,0.015748031496062992,0.3528876557206999,24.034537965342963
JPLUS_R4_ETH_V2,post_etf,none,127,31.10583998498868,-677.9396665356246,0.5669291338582677,3950.4416780935626,1.6505161659905627,0.0,0.0,0.0
JPLUS_R4_ETH_V2,pre_etf,2%,194,17.69388790687673,-215.00000000000128,0.4896907216494845,3432.6142539340854,1.09993307863445,0.30927835051546393,-27.321942724932473,71.73537595499953
JPLUS_R4_ETH_V2,pre_etf,3%,194,30.242961791974825,-315.00000000000136,0.5515463917525774,5867.134587643116,1.7274885829189375,0.16494845360824742,-14.772868839834377,58.58903918988309
JPLUS_R4_ETH_V2,pre_etf,5%,194,33.21010580637601,-515.0000000000016,0.5721649484536082,6442.760526436947,1.773428590033791,0.06701030927835051,-11.805724825433188,32.296365659650206
JPLUS_R4_ETH_V2,pre_etf,none,194,45.0158306318092,-760.6681753760353,0.5773195876288659,8733.071142570985,2.4716179335536563,0.0,0.0,0.0
