trigger_ts,entry,stop,target,exit_price,exit_reason,pnl_R,risk_pct,cost_R,net_R,day
2022-03-06 10:00:00+00:00,2597.67,2583.1142999999997,2641.337100000001,2641.337100000001,target,3.0,0.005603367633302284,0.17846410684473704,2.821535893155263,2022-03-06
2022-04-14 09:15:00+00:00,3093.3,3076.92,3142.4400000000005,3076.92,stop,-1.0,0.005295315682281094,0.1888461538461526,-1.1888461538461526,2022-04-14
2022-04-14 13:45:00+00:00,3044.4,3035.09187,3072.3243899999998,3035.09187,stop,-1.0,0.0030574595979502993,0.32706891717241116,-1.327068917172411,2022-04-14
2022-04-14 18:45:00+00:00,2981.36,2974.85217,3000.88349,3000.88349,target,3.0,0.0021828393753186505,0.4581189121412198,2.5418810878587803,2022-04-14
2022-05-06 07:30:00+00:00,2700.42,2693.4039,2721.468300000001,2721.468300000001,target,3.0,0.002598151398671421,0.3848890409201541,2.615110959079846,2022-05-06
2022-05-06 13:30:00+00:00,2642.46,2627.37,2687.7300000000005,2687.7300000000005,target,3.0,0.005710587861311106,0.17511332007952118,2.824886679920479,2022-05-06
2022-06-15 07:45:00+00:00,1093.6,1078.92,1137.6399999999994,1078.92,stop,-1.0,0.013423555230431454,0.07449591280654033,-1.0744959128065403,2022-06-15
2022-06-16 07:15:00+00:00,1167.87,1160.28855,1190.6143499999996,1160.28855,stop,-1.0,0.006491689999743041,0.1540430920206576,-1.1540430920206577,2022-06-16
2022-06-16 20:30:00+00:00,1089.84,1085.47344,1102.9396799999997,1102.9396799999997,target,3.0,0.0040066064743448,0.24958777618995637,2.7504122238100437,2022-06-16
2022-06-18 08:15:00+00:00,998.4,970.77825,1081.26525,1000.67,time,0.0821816141265481,0.02766601562500002,0.03614542887398515,0.04603618525256296,2022-06-18
2022-06-18 16:45:00+00:00,981.57,974.025,1004.2050000000003,974.025,stop,-1.0,0.007686665240380281,0.13009542743538643,-1.1300954274353865,2022-06-18
2022-07-01 10:30:00+00:00,1047.83,1041.97698,1065.38906,1041.97698,stop,-1.0,0.005585848849527133,0.1790238201817177,-1.1790238201817176,2022-07-01
2022-07-02 09:15:00+00:00,1031.42,1025.1338400000002,1050.2784799999997,1050.2784799999997,target,3.0,0.006094665606639275,0.1640779108390527,2.835922089160947,2022-07-02
2022-07-14 11:15:00+00:00,1077.57,1075.0538700000002,1085.1183899999992,1075.0538700000002,stop,-1.0,0.0023350037584562934,0.4282648352827985,-1.4282648352827985,2022-07-14
2022-08-22 07:45:00+00:00,1556.26,1549.449,1576.6929999999998,1549.449,stop,-1.0,0.004376518062534487,0.22849214505946527,-1.2284921450594652,2022-08-22
2022-08-27 13:15:00+00:00,1497.9,1484.84367,1537.0689900000004,1484.84367,stop,-1.0,0.008716422992189141,0.1147259605111074,-1.1147259605111075,2022-08-27
2022-09-03 07:45:00+00:00,1542.97,1531.0674,1578.6778000000004,1561.0,time,1.514795086787743,0.00771408387719795,0.12963302135667706,1.3851620654310661,2022-09-03
2022-09-03 19:00:00+00:00,1540.54,1532.97549,1563.2335299999997,1563.2335299999997,target,3.0,0.0049102976878237035,0.2036536404869601,2.79634635951304,2022-09-03
2022-09-07 11:00:00+00:00,1509.2,1501.27722,1532.9683400000004,1501.27722,stop,-1.0,0.00524965544659429,0.19048869210049763,-1.1904886921004976,2022-09-07
2022-09-15 14:15:00+00:00,1566.59,1558.44,1591.0399999999995,1558.44,stop,-1.0,0.005202382244237397,0.1922196319018437,-1.1922196319018437,2022-09-15
2022-09-16 08:30:00+00:00,1455.69,1439.0794799999999,1505.5215600000006,1439.0794799999999,stop,-1.0,0.011410753663211383,0.08763663028008663,-1.0876366302800866,2022-09-16
2022-09-16 13:45:00+00:00,1430.19,1421.577,1456.0290000000002,1456.0290000000002,target,3.0,0.006022276760430471,0.16605015673981086,2.8339498432601893,2022-09-16
2022-09-20 13:15:00+00:00,1336.46,1327.43124,1363.5462800000005,1363.5462800000005,target,3.0,0.006755727818266276,0.14802254130135015,2.85197745869865,2022-09-20
2022-09-28 07:00:00+00:00,1268.26,1264.29444,1280.1566800000003,1280.1566800000003,target,3.0,0.003126772112973756,0.31981863847728176,2.680181361522718,2022-09-28
2022-10-13 07:30:00+00:00,1274.3,1269.729,1288.0129999999997,1269.729,stop,-1.0,0.0035870674095581203,0.2787792605556824,-1.2787792605556825,2022-10-13
2022-10-13 12:30:00+00:00,1209.34,1174.824,1312.8879999999995,1273.56,time,1.8605863947155032,0.028541187755304422,0.0350370842507824,1.825549310464721,2022-10-13
2022-11-08 13:45:00+00:00,1461.59,1454.48406,1482.9078199999997,1454.48406,stop,-1.0,0.004861787505387912,0.20568566579509773,-1.2056856657950976,2022-11-08
2022-11-08 18:00:00+00:00,1410.62,1381.617,1497.6289999999997,1381.617,stop,-1.0,0.020560462775233535,0.04863703754784,-1.04863703754784,2022-11-08
2022-11-11 14:00:00+00:00,1253.36,1246.8918600000002,1272.764419999999,1246.8918600000002,stop,-1.0,0.005160640199144477,0.19377440809878171,-1.1937744080987818,2022-11-11
2022-11-13 07:00:00+00:00,1251.02,1224.46431,1330.6870699999997,1224.46431,stop,-1.0,0.021227230579846774,0.047109301245797194,-1.0471093012457973,2022-11-13
2022-11-16 08:00:00+00:00,1243.0,1232.64612,1274.0616399999997,1232.64612,stop,-1.0,0.008329750603378833,0.12005161350141332,-1.1200516135014134,2022-11-16
2022-11-16 12:00:00+00:00,1217.83,1211.4473400000002,1236.9779799999992,1211.4473400000002,stop,-1.0,0.005241010650090538,0.19080289409118548,-1.1908028940911854,2022-11-16
2022-11-17 09:30:00+00:00,1189.33,1179.819,1217.8629999999998,1217.8629999999998,target,3.0,0.007996939453305615,0.125047839343918,2.874952160656082,2022-11-17
2022-11-21 09:15:00+00:00,1107.25,1103.6951999999999,1117.9144000000003,1117.9144000000003,target,3.0,0.003210476405509247,0.3114802520535514,2.6885197479464487,2022-11-21
2022-11-21 16:15:00+00:00,1110.58,1104.894,1127.6379999999997,1104.894,stop,-1.0,0.005119847287003118,0.19531832571227842,-1.1953183257122784,2022-11-21
2022-11-22 08:15:00+00:00,1083.28,1070.44848,1121.7745599999998,1121.7745599999998,target,3.0,0.011845063141570005,0.08442335748220038,2.9155766425177996,2022-11-22
2022-12-01 13:45:00+00:00,1278.47,1266.8319,1313.3843000000004,1266.8319,stop,-1.0,0.00910314673007589,0.10985212362842617,-1.1098521236284262,2022-12-01
2022-12-19 14:00:00+00:00,1179.75,1175.3934299999999,1192.8197100000004,1175.3934299999999,stop,-1.0,0.0036927908455182427,0.270797898346626,-1.270797898346626,2022-12-19
2023-03-10 07:00:00+00:00,1396.67,1387.35126,1424.6262200000006,1387.35126,stop,-1.0,0.0066721129543844725,0.14987755855405085,-1.1498775585540508,2023-03-10
2023-03-12 12:00:00+00:00,1452.99,1445.20335,1476.34995,1476.34995,target,3.0,0.005359052711993895,0.18660014255167476,2.813399857448325,2023-03-12
2023-04-23 16:00:00+00:00,1851.58,1844.154,1873.8579999999997,1844.154,stop,-1.0,0.0040106287603019755,0.24933746296795273,-1.2493374629679528,2023-04-23
2023-05-01 15:15:00+00:00,1828.49,1823.6745,1842.9364999999998,1823.6745,stop,-1.0,0.0026335938397256363,0.37970927214204697,-1.379709272142047,2023-05-01
2023-05-01 19:15:00+00:00,1822.37,1804.93326,1874.6802199999995,1833.14,time,0.6176613288952114,0.009568166727942116,0.10451322896367173,0.5131480999315396,2023-05-01
2023-05-11 08:00:00+00:00,1819.21,1803.97422,1864.91734,1803.97422,stop,-1.0,0.008374942969750594,0.11940379816458381,-1.119403798164584,2023-05-11
2023-05-11 13:45:00+00:00,1806.76,1798.2,1832.4399999999998,1798.2,stop,-1.0,0.00473776262480902,0.21107009345794528,-1.2110700934579453,2023-05-11
2023-06-15 07:00:00+00:00,1638.01,1628.7696,1665.7311999999997,1628.7696,stop,-1.0,0.005641235401493219,0.17726613566512447,-1.1772661356651244,2023-06-15
