ts,direction,entry,stop,target,target_R,risk,r_outcome,exit_kind,dist_resist_OB_R,okx_delta_z
2021-02-07 16:30:00+00:00,short,1530.45,1629.0853199796834,938.6380801219002,6.0,98.63531997968332,-1.0279292448239379,stop,2.1134417168509025,0.8814049126128207
2021-02-15 15:30:00+00:00,short,1803.5,1863.2643965002842,1444.913620998295,6.0,59.76439650028414,0.1981731715460995,tif,2.769207248653689,1.4082370591425093
2021-02-15 23:00:00+00:00,short,1808.39,1879.3445554632622,1382.6626672204272,6.0,70.95455546326214,0.3814398923831388,tif,2.4013962019425557,-0.49854887170297374
2021-02-22 16:30:00+00:00,short,1747.01,1931.5790354043547,639.5957875738711,6.0,184.5690354043548,1.0794084802119481,tif,2.3027697959674764,-0.23046370017098167
2021-07-23 03:00:00+00:00,long,2061.05,1994.6735592013251,2459.30864479205,6.0,66.37644079867498,0.7480080191493305,tif,7.767213695047832,-1.2112637831923354
2021-07-23 09:45:00+00:00,long,2048.79,1983.6731587672432,2439.4910473965406,6.0,65.11684123275677,1.3400861643163202,tif,8.105737164266538,-1.0254486399348373
2021-07-23 15:45:00+00:00,long,2047.17,1994.8535622669037,2361.068626398578,6.0,52.31643773309638,1.8853556983984263,tif,10.119955083735874,-0.5463959559876612
2021-07-26 02:00:00+00:00,long,2297.7,2159.1343028617243,3129.0941828296536,6.0,138.5656971382756,-1.0298476468954123,stop,2.0128358299361366,0.4003687089822645
2021-08-17 03:30:00+00:00,short,3202.18,3299.8582608194442,2616.110435083333,6.0,97.67826081944449,1.7811135716430255,tif,4.633374879970286,1.024925128006208
2021-08-18 05:15:00+00:00,short,3063.28,3193.587352664322,2281.4358840140685,6.0,130.3073526643219,0.4161399559677135,tif,2.407231776153532,0.4873941332744553
2021-08-18 12:15:00+00:00,short,3030.14,3146.0051111344715,2334.9493331931703,6.0,115.86511113447159,0.33034748446042284,tif,2.4212638062756335,0.44949534005345926
2021-09-07 20:45:00+00:00,short,3415.0,3745.8076957607495,1430.1538254355032,6.0,330.8076957607495,-0.19118962711720627,tif,2.0114405091749687,1.0848005966919638
2021-10-19 16:45:00+00:00,short,3808.49,3937.0557093982898,3037.095743610261,6.0,128.56570939828984,-1.0533212318594443,stop,9.260323033039139,-0.07266380297505137
2021-10-23 04:00:00+00:00,short,4044.74,4134.552887663711,3505.8626740177306,6.0,89.8128876637115,-1.0810633327731343,stop,2.466683855322828,0.0867027343184713
2021-11-16 06:45:00+00:00,short,4338.37,4533.227760720604,3169.223435676372,6.0,194.8577607206047,0.8417469922338895,tif,2.64382592766563,0.15666893161610798
2021-11-16 13:15:00+00:00,short,4254.92,4450.766259105758,3079.8424453654525,6.0,195.84625910575795,0.08573635297742663,tif,2.2043821616570645,1.737265017704165
2021-11-16 20:00:00+00:00,short,4242.23,4399.444723688009,3298.9416578719465,6.0,157.21472368800886,0.039271041892054,tif,2.6653356007008657,1.1188166043867502
2021-12-04 13:00:00+00:00,short,3924.61,4171.884523633708,2440.962858197751,6.0,247.2745236337082,-1.0285686446633882,stop,5.284329258017728,1.6879768567311755
2022-01-06 04:45:00+00:00,short,3449.73,3608.1560062490785,2499.1739625055284,6.0,158.4260062490786,1.4313337271374829,tif,5.250400610946651,0.10697884965506893
2022-01-25 06:15:00+00:00,long,2371.32,2276.761548609047,2938.6707083457172,6.0,94.55845139095285,0.9260052667103813,tif,5.190228824400529,0.8712332213551429
2022-01-25 12:45:00+00:00,long,2436.71,2328.2756673514673,3087.3159958911956,6.0,108.4343326485326,0.823114965711994,tif,3.923019486630801,-0.6922376660137998
2022-02-04 22:15:00+00:00,long,2938.45,2835.5389943201976,3555.9160340788135,6.0,102.9110056798023,0.8089590559344721,tif,2.376325043026924,-1.3998764033553317
2022-02-05 11:15:00+00:00,long,3010.14,2928.697770506727,3498.793376959637,6.0,81.44222949327285,-0.12436118292705424,tif,2.122486099355598,-0.12587543907868914
2022-03-19 05:45:00+00:00,long,2933.53,2881.6986115717755,3244.518330569349,6.0,51.83138842822477,-0.18773091547556559,tif,2.477649237157393,-1.3385005824948104
2022-06-11 02:45:00+00:00,short,1672.75,1713.0208108843215,1431.1251346940717,6.0,40.2708108843214,5.406621948225242,tif,7.838183365780991,1.5498631027793737
2022-06-11 10:00:00+00:00,short,1598.36,1681.8999466219568,1097.1203202682582,6.0,83.53994662195696,1.6131558308247695,tif,2.887959709763439,-0.6690110435316967
2022-06-20 09:15:00+00:00,long,1127.13,1052.7265418236125,1573.5507490583254,6.0,74.40345817638755,0.40792681877832443,tif,5.153255095899304,-1.6573882109219416
2022-06-20 15:15:00+00:00,long,1126.0,1049.6140454505467,1584.3157272967205,6.0,76.3859545494534,0.6339280602777588,tif,5.034302474429858,-0.3172930944471006
2022-06-20 21:30:00+00:00,long,1113.37,1051.6415601011045,1483.740639393373,6.0,61.728439898895495,0.1143060477724211,tif,6.434311326360069,-0.7196770413000535
2022-06-25 04:15:00+00:00,long,1214.77,1169.6651720650932,1485.3989676094407,6.0,45.1048279349068,0.3736498900809916,tif,6.557612866340072,0.5672454054677103
2022-06-25 10:15:00+00:00,long,1221.21,1179.5684698990683,1471.0591806055909,6.0,41.64153010093181,-1.0527881178878855,stop,6.948351784833319,-0.391915181726648
