ts,direction,entry,stop,target,target_R,risk,r_outcome,exit_kind,dist_resist_OB_R,okx_delta_z
2021-01-11 12:15:00+00:00,short,1099.03,1257.839820543669,146.1710767379857,6.0,158.80982054366905,-0.039218317725429164,tif,2.047417463774485,0.2176139354927877
2021-02-02 17:15:00+00:00,long,1483.68,1388.5974656742785,2054.1752059543296,6.0,95.0825343257216,1.4759742890239262,tif,,-1.4809776710538851
2021-02-03 18:15:00+00:00,long,1643.52,1553.5291034108627,2183.4653795348236,6.0,89.99089658913725,0.016909088115293847,tif,,0.16502946686973596
2021-02-04 00:30:00+00:00,long,1674.2,1599.9507771740816,2119.6953369555104,6.0,74.24922282591835,-1.0405870914913888,stop,,-0.6099239567507666
2021-02-07 16:30:00+00:00,short,1530.45,1629.0853199796834,938.6380801219002,6.0,98.63531997968332,-1.0279292448239379,stop,2.1134417168509025,0.8814049126128207
2021-02-08 06:00:00+00:00,short,1626.0,1697.719772963536,1195.6813622187842,6.0,71.71977296353595,-1.040808829686173,stop,4.238858928827981,0.4902841931032423
2021-02-15 15:30:00+00:00,short,1803.5,1863.2643965002842,1444.913620998295,6.0,59.76439650028414,0.1981731715460995,tif,2.769207248653689,1.4082370591425093
2021-02-15 23:00:00+00:00,short,1808.39,1879.3445554632622,1382.6626672204272,6.0,70.95455546326214,0.3814398923831388,tif,2.4013962019425557,-0.49854887170297374
2021-02-21 08:00:00+00:00,short,1946.63,2035.6686635036654,1412.398018978008,6.0,89.03866350366536,0.7335697036525191,tif,2.197472337305979,0.5952256236289835
2021-02-21 14:00:00+00:00,short,1949.99,2012.7020747562885,1573.717551462269,6.0,62.71207475628849,4.645038760590355,tif,3.1735515173661697,1.290279645035002
2021-02-22 16:30:00+00:00,short,1747.01,1931.5790354043547,639.5957875738711,6.0,184.5690354043548,1.0794084802119481,tif,2.3027697959674764,-0.23046370017098167
2021-03-25 09:15:00+00:00,short,1602.5,1665.0687734628862,1227.0873592226835,6.0,62.56877346288606,-0.486416758961286,tif,2.707740468981624,1.679445275290344
2021-03-25 15:15:00+00:00,short,1592.21,1668.7980393718087,1132.6817637691481,6.0,76.58803937180866,-0.6535743493444903,tif,2.077739570110661,0.6872513446543627
2021-03-25 22:00:00+00:00,short,1614.23,1665.5446154725494,1306.3423071647035,6.0,51.31461547254944,-1.0566235169696294,stop,3.530183327533763,-0.7918503095267966
2021-04-06 22:30:00+00:00,short,2117.31,2187.930010237641,1693.589938574155,6.0,70.62001023764083,1.4151632329661161,tif,2.104644271501101,-0.6089156476719115
2021-04-07 05:00:00+00:00,short,2097.29,2155.594682999663,1747.4619020020218,6.0,58.304682999663,1.3222759139338,tif,2.2058262455649276,0.022173052522488874
2021-04-07 12:30:00+00:00,short,1976.86,2092.8772103678316,1280.7567377930104,6.0,116.0172103678316,-0.45276341185466656,tif,2.4160208568307335,-0.00014691322721138093
2021-04-07 18:30:00+00:00,short,1980.55,2081.4734679729117,1375.009192162528,6.0,100.92346797291201,-0.9544359893167143,tif,2.8139144017150035,0.8327096279660993
2021-04-08 03:30:00+00:00,short,1997.93,2064.198736614664,1600.3175803120153,6.0,66.26873661466414,-1.0542680332192134,stop,4.547694967423177,-0.36732704963899754
2021-04-15 13:00:00+00:00,short,2446.03,2517.3064212713257,2018.371472372047,6.0,71.27642127132552,-1.0617715356841468,stop,3.787788376359082,-0.820462506354917
2021-04-17 22:45:00+00:00,short,2379.23,2454.7125833031323,1926.3345001812065,6.0,75.48258330313226,5.943263547528555,target,2.6917467726832367,0.41373166090073626
2021-04-19 17:00:00+00:00,short,2129.9,2278.84665993324,1236.2200404005605,6.0,148.94665993323994,-0.9117614323199261,tif,2.909363662093728,1.8825363473373908
2021-04-23 11:30:00+00:00,short,2304.75,2501.7938318894835,1122.4870086630983,6.0,197.0438318894836,0.5421202428701903,tif,3.0865721305151883,0.45580237886002
2021-04-23 18:00:00+00:00,short,2307.47,2486.4003153979843,1233.8881076120938,6.0,178.93031539798432,0.2653354401930177,tif,3.4142341874331814,0.6459473166514405
2021-04-24 12:00:00+00:00,short,2205.2,2348.7950876472823,1343.6294741163035,6.0,143.59508764728272,-0.7846324121947241,tif,3.542182454384434,1.4505796165420657
2021-04-25 07:30:00+00:00,short,2191.57,2282.9695592938024,1643.1726442371878,6.0,91.39955929380204,-1.0431602299888514,stop,5.415890446569885,-0.26626584952723237
2021-05-07 05:00:00+00:00,short,3422.49,3590.351623186745,2415.3202608795264,6.0,167.86162318674553,-1.0366997642644404,stop,2.780981091078,0.8125857527029088
2021-05-07 17:00:00+00:00,short,3556.22,3691.2337998325625,2746.1372010046234,6.0,135.01379983256277,-1.0474114202247349,stop,4.44806383306574,-0.41573427968547383
2021-05-07 23:00:00+00:00,short,3472.38,3605.5238688033355,2673.516787179987,6.0,133.1438688033355,-1.0469438364393038,stop,3.8808396108965666,0.0017849362203024393
2021-05-11 19:30:00+00:00,short,4052.43,4231.438201190413,2978.3807928575234,6.0,179.0082011904127,-1.0407488257604522,stop,2.806742912664433,1.0863145709577062
2021-05-12 03:30:00+00:00,short,4294.2,4461.099133065373,3292.80520160776,6.0,166.89913306537332,2.535006816567932,tif,4.458980620998801,0.7039593571398431
2021-05-13 13:30:00+00:00,short,3837.39,4171.851840540102,1830.61895675939,6.0,334.46184054010166,-0.5276754493576952,tif,2.636234969514504,1.0981521118432733
2021-05-13 20:00:00+00:00,short,3688.62,4048.5044680862757,1529.3131914823466,6.0,359.88446808627555,-1.018449020696299,stop,2.036625820218195,0.29516504888389755
2021-05-20 09:30:00+00:00,short,2647.06,3002.4264418129133,514.8613491225201,6.0,355.3664418129133,-0.3774827676908843,tif,3.629943202906914,0.21582173472634125
2021-06-24 10:15:00+00:00,long,1940.86,1871.029299288644,2359.8442042681345,6.0,69.83070071135575,-0.7644710343185592,tif,2.565347306773748,0.23777662510622793
2021-07-06 07:45:00+00:00,short,2336.18,2414.2115400509497,1867.9907596943003,6.0,78.03154005094994,-0.5721420334758157,tif,2.4138957129003455,-1.4760163812366462
2021-07-13 06:00:00+00:00,short,1987.96,2047.0950204138205,1633.1498775170767,6.0,59.135020413820556,-1.0605111484693701,stop,3.3163089930069067,1.0863062398458019
2021-07-13 12:00:00+00:00,short,1990.85,2062.3804608616847,1561.6672348298916,6.0,71.5304608616847,0.6139548029044486,tif,2.7820315653326704,0.09103590110333912
2021-07-20 04:30:00+00:00,short,1741.8,1816.280377053965,1294.9177376762107,6.0,74.48037705396489,-1.0420948459716903,stop,5.1651188570281406,1.569421073156685
2021-07-20 11:30:00+00:00,short,1753.93,1820.8920775698411,1352.157534580953,6.0,66.96207756984117,-1.047147193076665,stop,5.926190082530042,0.1034862154088956
2021-07-20 17:45:00+00:00,short,1781.84,1856.3716443496512,1334.6501339020917,6.0,74.53164434965137,-1.0430328892913379,stop,5.698787457410857,1.5419137857545915
2021-07-21 18:45:00+00:00,long,1956.28,1837.1936550564635,2670.798069661219,6.0,119.08634494353652,0.538673817140122,tif,5.209077499978044,1.176744524409522
2021-07-22 00:45:00+00:00,long,1987.09,1897.4482917883124,2524.9402492701256,6.0,89.64170821168757,0.4248383789169554,tif,6.576403013292177,0.17312498380861616
2021-07-22 20:15:00+00:00,long,2019.22,1957.6882711495787,2388.410373102528,6.0,61.53172885042131,0.15903021388831123,tif,9.058578564482893,-0.47051118730968106
2021-07-23 03:00:00+00:00,long,2061.05,1994.6735592013251,2459.30864479205,6.0,66.37644079867498,0.7480080191493305,tif,7.767213695047832,-1.2112637831923354
2021-07-23 09:45:00+00:00,long,2048.79,1983.6731587672432,2439.4910473965406,6.0,65.11684123275677,1.3400861643163202,tif,8.105737164266538,-1.0254486399348373
2021-07-23 15:45:00+00:00,long,2047.17,1994.8535622669037,2361.068626398578,6.0,52.31643773309638,1.8853556983984263,tif,10.119955083735874,-0.5463959559876612
2021-07-24 04:15:00+00:00,long,2128.51,2063.1268513873,2520.8088916762017,6.0,65.38314861270025,0.330187249437635,tif,6.853447860921145,-0.5589479933826471
2021-07-26 02:00:00+00:00,long,2297.7,2159.1343028617243,3129.0941828296536,6.0,138.5656971382756,-1.0298476468954123,stop,2.0128358299361366,0.4003687089822645
2021-07-28 14:00:00+00:00,short,2288.42,2382.4158183497884,1724.4450899012688,6.0,93.99581834978854,-0.2927700027845122,tif,4.03890307744583,-0.4156432476045148
2021-08-10 01:30:00+00:00,short,3126.91,3288.717894635082,2156.062632189507,6.0,161.8078946350822,-0.3212354880287202,tif,2.33183925203977,-0.5243396282688795
2021-08-10 07:45:00+00:00,short,3144.57,3251.2895148556295,2504.252910866224,6.0,106.7195148556294,-1.053038340810086,stop,3.701010078000423,-0.8906983761240909
2021-08-10 21:15:00+00:00,short,3173.99,3297.980757915975,2430.0454525041464,6.0,123.99075791597556,-0.41602441074645713,tif,3.422755107986314,-0.5372685908858098
2021-08-11 03:15:00+00:00,short,3148.25,3255.396967853017,2505.3681928818974,6.0,107.14696785301713,-1.0528885708438676,stop,3.7205905868177545,-1.867034092362401
2021-08-12 00:00:00+00:00,short,3186.21,3296.4318839833622,2524.8786960998277,6.0,110.221883983362,1.1230512265484893,tif,3.9611915911898805,0.7585014695612599
2021-08-12 06:15:00+00:00,short,3121.47,3234.68122060452,2442.2026763728777,6.0,113.21122060452034,-0.2673643640477763,tif,3.2847450810467786,-0.15394384438724695
2021-08-12 12:45:00+00:00,short,3102.92,3229.1566317640486,2345.5002094157094,6.0,126.23663176404845,-1.0442443363859677,stop,2.798870621488048,-0.8868147762514803
2021-08-12 20:00:00+00:00,short,3074.19,3180.082232571376,2438.836604571744,6.0,105.89223257137601,-1.052256354084047,stop,3.0652862076660083,1.3494169679474382
2021-08-14 15:45:00+00:00,short,3272.92,3367.0037073277467,2708.4177560335206,6.0,94.08370732774658,1.1740475278595246,tif,5.5622808120962075,-1.4411667972980735
