ts,direction,entry,stop,target,target_R,risk,r_outcome,exit_kind,dist_resist_OB_R,okx_delta_z
2021-01-29 12:00:00+00:00,long,36760.96,32682.080359520663,61234.237842876006,6.0,4078.8796404793347,-0.740874944680856,tif,,0.4328868126303033
2021-04-17 00:00:00+00:00,short,61713.0,62985.10659200487,54080.36044797078,6.0,1272.10659200487,0.9593902017884729,tif,2.6923844444529754,-0.82252133407705
2021-05-11 03:30:00+00:00,short,55190.82,57828.12199294991,39367.008042300506,6.0,2637.3019929499155,-0.9763703523083411,tif,2.302675240163642,0.740604598506738
2021-05-11 16:00:00+00:00,short,56223.8,58203.209776433214,44347.34134140073,6.0,1979.4097764332125,0.4327538290447084,tif,3.589873145319266,-0.07540754285923298
2021-06-14 18:00:00+00:00,long,40103.74,38639.423726132205,48889.63764320676,6.0,1464.3162738677934,0.7813020236250515,tif,3.484206309149193,0.5077190267660622
2021-06-15 06:45:00+00:00,long,40265.01,39218.692794683215,46542.91323190073,6.0,1046.317205316789,0.031542042730725944,tif,4.722000149566614,0.011715792197401924
2021-06-15 13:00:00+00:00,long,40223.6,38926.92835932049,48003.62984407703,6.0,1296.6716406795063,-1.0558371739834316,stop,3.8422371892001728,-0.2358718665713817
2021-06-29 14:00:00+00:00,long,36209.61,34944.532882008745,43800.072707947525,6.0,1265.077117991254,-1.0515204149004709,stop,2.1334430617838906,-0.054915394582178575
2021-06-29 20:00:00+00:00,long,36391.03,35377.28001900314,42473.529885981145,6.0,1013.7499809968579,-1.0646153935663578,stop,2.4834032524709917,0.3176681336339389
2021-06-30 03:00:00+00:00,long,35460.35,34504.858237893495,41193.300572639004,6.0,955.4917621065008,-1.0668018632199239,stop,3.6088537198876,-0.4291001662720811
2021-07-26 02:00:00+00:00,long,38035.47,33127.24280337487,67484.83317975077,6.0,4908.227196625127,-0.2246277121723476,tif,3.4564679507226432,-0.32449593304497715
2021-07-26 17:00:00+00:00,long,38908.28,37261.64591336184,48788.084519828946,6.0,1646.6340866381574,-1.042532159736221,stop,9.772857327917222,0.2708124972979409
2021-08-07 01:00:00+00:00,long,42821.59,41499.427946362484,50754.56232182509,6.0,1322.1620536375153,1.0397599403324747,tif,9.211435138751158,0.409722369453825
2021-08-09 19:15:00+00:00,long,46334.41,44965.48544885559,54547.95730686651,6.0,1368.9245511444183,-1.0609251532016684,stop,6.330655690815886,-2.1149325235194363
2021-08-18 14:15:00+00:00,short,45339.5,46473.16964726483,38537.48211641099,6.0,1133.6696472648352,0.02016363413729215,tif,3.960236574060087,-0.09004432146303949
2021-09-06 02:15:00+00:00,long,51750.0,50857.46945333635,57105.183279981895,6.0,892.5305466636497,0.9262764205554419,tif,3.642004200473586,0.5282803966835679
2021-09-21 09:15:00+00:00,short,43208.35,44667.56140916516,34453.08154500903,6.0,1459.2114091651617,0.5654458050544253,tif,2.744955237357687,0.4670774140061441
2021-10-02 03:15:00+00:00,long,47539.79,46414.12611232583,54293.773326045004,6.0,1125.6638876741674,-0.0345321746798851,tif,3.0201644000718537,1.776353384702278
2021-10-02 10:30:00+00:00,long,47611.16,46870.40127895248,52055.71232628517,6.0,740.7587210475274,0.20357493974117463,tif,4.493122936566079,1.0301042817042954
2021-10-22 16:15:00+00:00,short,61276.65,63989.66761022351,44998.54433865898,6.0,2713.0176102235027,-0.05446627749232627,tif,2.3492438736787036,0.20254185271526184
2021-10-23 04:45:00+00:00,short,61177.75,62398.55030946688,53852.948143198686,6.0,1220.8003094668854,0.014187455446801014,tif,5.139775892373494,0.7359197745495016
2021-11-16 19:00:00+00:00,short,60337.71,62148.36187573722,49473.798745576714,6.0,1810.6518757372148,-0.09672089944330131,tif,3.0014604534553486,1.1688101987754618
2021-11-17 10:00:00+00:00,short,59105.1,61069.648620597894,47317.808276412645,6.0,1964.548620597893,-0.09821043774487168,tif,2.138908630686452,1.519427645686598
2021-12-04 16:15:00+00:00,short,48249.72,50566.46631761652,34349.242094300884,6.0,2316.7463176165193,-0.05547413414353445,tif,3.904976531615874,1.928599043634178
2022-01-26 09:45:00+00:00,long,37620.01,36544.16568328759,44075.07590027446,6.0,1075.8443167124103,-1.0629422091543237,stop,2.946513683027044,-0.9094151891987315
2022-02-01 01:45:00+00:00,long,38223.22,37431.663404626204,42972.559572242775,6.0,791.5565953737956,0.16800845925261987,tif,3.2426992776023704,0.24599647860769927
