ts,sleeve,r_outcome,exit_kind,cum_R
2022-03-01 16:00:00+00:00,OI_FLUSH_bull,1.41,target,1.41
2022-03-11 12:00:00+00:00,FUNDING_CVD,-1.0487872824345794,stop,0.3612127175654205
2022-03-22 09:00:00+00:00,OI_FLUSH_bull,0.5650367508480953,tif,0.9262494684135159
2022-03-25 16:00:00+00:00,OI_FLUSH_bull,0.8070382671381999,tif,1.7332877355517158
2022-03-28 23:00:00+00:00,OI_FLUSH_bull,-0.1628960419677518,tif,1.570391693583964
2022-04-12 15:15:00+00:00,FUNDING_CVD,-1.0685560271722274,stop,0.5018356664117365
2022-05-12 11:00:00+00:00,FUNDING_CVD,0.3682248351947375,tif,0.870060501606474
2022-06-07 20:15:00+00:00,FUNDING_CVD,-1.0516114255657043,stop,-0.18155092395923034
2022-07-18 17:00:00+00:00,OI_FLUSH_bull,-1.09,stop,-1.2715509239592304
2022-07-20 00:00:00+00:00,OI_FLUSH_bull,1.4100000000000077,target,0.13844907604077727
2022-07-30 19:00:00+00:00,OI_FLUSH_bull,-1.09,stop,-0.9515509239592228
2022-07-31 21:00:00+00:00,OI_FLUSH_bull,-1.09,stop,-2.041550923959223
2022-08-02 02:00:00+00:00,OI_FLUSH_bull,1.410000000000004,target,-0.631550923959219
2022-08-03 22:00:00+00:00,OI_FLUSH_bull,-1.0899999999999996,stop,-1.7215509239592186
2022-08-09 00:00:00+00:00,OI_FLUSH_bull,-1.09,stop,-2.811550923959219
2022-08-10 00:00:00+00:00,OI_FLUSH_bull,1.410000000000004,target,-1.401550923959215
2022-08-11 19:00:00+00:00,OI_FLUSH_bull,-1.09,stop,-2.491550923959215
2022-08-14 11:00:00+00:00,OI_FLUSH_bull,-1.0900000000000003,stop,-3.5815509239592154
2022-08-29 04:00:00+00:00,FUNDING_CVD,0.2180327613278503,tif,-3.3635181626313653
2022-10-21 18:00:00+00:00,FUNDING_CVD,0.3035427297530237,tif,-3.0599754328783417
2023-01-14 09:00:00+00:00,OI_FLUSH_bull,1.409999999999996,target,-1.6499754328783458
2023-01-18 16:00:00+00:00,OI_FLUSH_bull,1.0147272831909735,tif,-0.6352481496873723
2023-01-21 22:00:00+00:00,OI_FLUSH_bull,0.3156799591901343,tif,-0.319568190497238
2023-01-25 00:00:00+00:00,OI_FLUSH_bull,1.4100000000000077,target,1.0904318095027696
2023-01-26 01:00:00+00:00,OI_FLUSH_bull,-1.0900000000000003,stop,0.0004318095027693314
2023-01-27 01:00:00+00:00,OI_FLUSH_bull,1.410000000000004,target,1.4104318095027732
2023-01-30 09:00:00+00:00,OI_FLUSH_bull,-1.09,stop,0.32043180950277317
2023-02-03 20:00:00+00:00,OI_FLUSH_bull,-1.09,stop,-0.7695681904972269
2023-02-09 19:00:00+00:00,OI_FLUSH_bull,-1.0899999999999996,stop,-1.8595681904972265
2023-02-10 22:00:00+00:00,OI_FLUSH_bull,0.4243665499408632,tif,-1.4352016405563632
2023-02-16 23:00:00+00:00,OI_FLUSH_bull,1.41,target,-0.025201640556363314
2023-03-14 18:00:00+00:00,OI_FLUSH_bull,-1.09,stop,-1.1152016405563634
2023-03-15 18:00:00+00:00,OI_FLUSH_bull,1.4100000000000037,target,0.2947983594436403
2023-03-18 02:00:00+00:00,OI_FLUSH_bull,-1.0899999999999996,stop,-0.7952016405563593
2023-03-20 02:00:00+00:00,OI_FLUSH_bull,1.41,target,0.6147983594436406
2023-03-21 20:00:00+00:00,OI_FLUSH_bull,-1.09,stop,-0.4752016405563595
2023-03-24 11:00:00+00:00,OI_FLUSH_bull,-1.09,stop,-1.5652016405563596
2023-03-25 20:00:00+00:00,OI_FLUSH_bull,1.41,target,-0.15520164055635965
2023-03-27 14:00:00+00:00,OI_FLUSH_bull,1.4100000000000033,target,1.2547983594436436
2023-03-30 17:00:00+00:00,OI_FLUSH_bull,1.41,target,2.6647983594436435
2023-04-02 19:00:00+00:00,OI_FLUSH_bull,-1.09,stop,1.5747983594436434
2023-04-03 20:00:00+00:00,OI_FLUSH_bull,1.409999999999997,target,2.9847983594436407
2023-04-05 15:00:00+00:00,OI_FLUSH_bull,-0.2411695562004522,tif,2.7436288032431886
2023-04-13 21:00:00+00:00,OI_FLUSH_bull,-0.1114770245399788,tif,2.63215177870321
2023-06-06 14:00:00+00:00,FUNDING_CVD,1.04844792047381,tif,3.68059969917702
2023-06-20 17:00:00+00:00,FUNDING_CVD,5.910112753358139,target,9.59071245253516
2023-06-30 13:00:00+00:00,OI_FLUSH_bull,0.5575763612217758,tif,10.148288813756935
2023-07-11 00:00:00+00:00,OI_FLUSH_bull,-0.1914615728681507,tif,9.956827240888783
2023-07-13 23:00:00+00:00,OI_FLUSH_bull,-1.09,stop,8.866827240888783
2023-10-20 02:45:00+00:00,FUNDING_CVD,2.921791483280264,tif,11.788618724169048
2023-10-22 10:00:00+00:00,OI_FLUSH_bull,1.41,target,13.198618724169048
2023-10-25 23:00:00+00:00,OI_FLUSH_bull,-1.09,stop,12.108618724169048
2023-10-27 17:00:00+00:00,OI_FLUSH_bull,1.41,target,13.518618724169048
2023-11-01 03:00:00+00:00,OI_FLUSH_bull,1.410000000000005,target,14.928618724169054
2023-11-02 13:00:00+00:00,OI_FLUSH_bull,-1.0899999999999994,stop,13.838618724169054
2023-11-03 18:00:00+00:00,OI_FLUSH_bull,0.6817913729716576,tif,14.520410097140712
2023-11-09 16:00:00+00:00,OI_FLUSH_bull,1.4100000000000048,target,15.930410097140717
2023-11-13 21:00:00+00:00,OI_FLUSH_bull,-1.09,stop,14.840410097140717
2023-11-14 21:00:00+00:00,OI_FLUSH_bull,1.41000000000001,target,16.250410097140726
2023-11-16 19:00:00+00:00,OI_FLUSH_bull,1.4099999999999953,target,17.660410097140723
2023-11-18 22:00:00+00:00,OI_FLUSH_bull,1.4100000000000097,target,19.070410097140734
2023-11-21 23:00:00+00:00,OI_FLUSH_bull,1.4100000000000048,target,20.480410097140737
2023-12-04 15:00:00+00:00,OI_FLUSH_bull,1.4099999999999957,target,21.890410097140734
2023-12-11 01:00:00+00:00,OI_FLUSH_bull,-1.0899999999999996,stop,20.800410097140734
2023-12-14 13:00:00+00:00,OI_FLUSH_bull,-1.09,stop,19.710410097140734
2023-12-20 20:00:00+00:00,OI_FLUSH_bull,0.1294026452507642,tif,19.839812742391498
2023-12-22 09:00:00+00:00,OI_FLUSH_bull,-0.1572647788370549,tif,19.682547963554445
2024-01-10 21:00:00+00:00,OI_FLUSH_bull,1.4099999999999964,target,21.09254796355444
2024-02-09 03:00:00+00:00,FUNDING_CVD,1.832247780783092,tif,22.924795744337533
2024-02-13 13:00:00+00:00,OI_FLUSH_bull,-1.09,stop,21.834795744337534
2024-02-14 18:00:00+00:00,OI_FLUSH_bull,0.4253317259775755,tif,22.26012747031511
