ts,direction,entry,atr,risk,funding_z,cvd_z,r_outcome,exit_kind,resolved,cutover_mixed,handling
2020-09-16 03:45:00+00:00,long,10772.61,36.40021707214579,182.00108536072895,-2.165594606563135,0.8041840137509457,0.9761991344604137,tif,True,False,A
2020-10-21 01:15:00+00:00,long,12008.0,36.59367057686595,182.96835288432973,-2.197592792489447,1.5916306695605384,5.881868095442362,target,True,False,A
2020-10-29 14:00:00+00:00,long,13265.35,68.11229938286331,340.56149691431654,-2.651643703919005,1.5384342925750398,1.5830103370013011,tif,True,False,A
2021-06-09 11:45:00+00:00,long,34933.0,308.4775303737828,1542.3876518689142,-5.612580033007127,2.3401738661053084,0.37384285286602087,tif,True,False,A
2021-07-26 00:00:00+00:00,long,35788.88,215.98943528432417,1079.947176421621,-4.051136868943644,4.891788092187568,5.940348949090778,target,True,False,A
2021-09-24 14:00:00+00:00,long,42139.0,514.9732859922331,2574.8664299611655,-4.717295718425299,2.7246777802932955,0.5018589643966461,tif,True,False,A
2021-12-23 18:00:00+00:00,long,50347.06,250.4077123091196,1252.038561545598,-2.866051300681478,0.5559381673602677,-0.2205640596716889,tif,True,False,A
2022-03-11 12:00:00+00:00,long,39933.6,294.6689235924692,1473.3446179623459,-2.2938086672661853,1.2488247747263703,-1.0487872824345794,stop,True,False,A
2022-04-12 15:15:00+00:00,long,40298.0,211.61202885275455,1058.0601442637728,-4.216299299413283,1.6122718992517397,-1.0685560271722274,stop,True,False,A
2022-05-12 11:00:00+00:00,long,28789.4,554.5411294488323,2772.7056472441614,-5.45634270460423,0.7527735088310392,0.3682248351947375,tif,True,False,A
2022-06-07 20:15:00+00:00,long,31345.4,218.64042460199565,1093.2021230099783,-2.093190190911533,1.3210658932305899,-1.0516114255657045,stop,True,False,A
2022-08-29 04:00:00+00:00,long,19877.0,77.25572935652403,386.27864678262017,-2.6772163741613224,0.5093527215104441,0.2180327613278503,tif,True,False,A
2022-10-21 18:00:00+00:00,long,19151.4,72.42965765606698,362.1482882803349,-2.2668375973327453,0.6869735859538216,0.3035427297530237,tif,True,False,A
2023-06-06 14:00:00+00:00,long,25899.9,130.83724362580452,654.1862181290226,-2.760981063759257,5.633556636349708,1.04844792047381,tif,True,False,A
2023-06-20 17:00:00+00:00,long,27345.1,109.51760530859977,547.5880265429988,-2.5522371135063686,2.1806194777579355,5.910112753358139,target,True,False,A
2023-10-20 02:45:00+00:00,long,28967.5,92.30354101012702,461.5177050506351,-2.8591180577065276,3.0642756712862007,2.921791483280264,tif,True,False,A
2024-02-09 03:00:00+00:00,long,46282.9,192.21098788804676,961.0549394402337,-2.623153064242825,0.9965355704303371,1.8322477807830921,tif,True,False,A
2025-02-11 20:30:00+00:00,long,95016.0,334.65573703534335,1673.2786851767169,-2.038942523066487,0.5154168980774835,1.5715679780635432,tif,True,False,A
2025-10-09 17:45:00+00:00,long,120915.6,540.197874547086,2700.98937273543,-2.2055059020554983,2.020219696331285,-1.0805808724006871,stop,True,False,A
2026-01-31 21:30:00+00:00,long,78125.9,734.0182917101395,3670.091458550697,-2.7019621102141413,0.6694459716757204,-1.0383169252287607,stop,True,False,A
2026-02-06 17:30:00+00:00,long,71025.1,680.113887029092,3400.56943514546,-3.851514649884575,1.486082274906469,-1.037595227046005,stop,True,False,A
