ts,sleeve,r_outcome,exit_kind,cum_R
2022-03-01 16:00:00+00:00,OI_FLUSH_bull,1.41,target,1.41
2022-03-22 09:00:00+00:00,OI_FLUSH_bull,0.5650367508480953,tif,1.9750367508480953
2022-03-25 16:00:00+00:00,OI_FLUSH_bull,0.8070382671381999,tif,2.782075017986295
2022-03-28 23:00:00+00:00,OI_FLUSH_bull,-0.1628960419677518,tif,2.619178976018543
2022-04-12 15:15:00+00:00,FUNDING_CVD,-1.0685560271722274,stop,1.5506229488463157
2022-05-12 11:00:00+00:00,FUNDING_CVD,0.3682248351947375,tif,1.9188477840410532
2022-06-07 20:15:00+00:00,FUNDING_CVD,-1.0516114255657043,stop,0.8672363584753489
2022-07-18 17:00:00+00:00,OI_FLUSH_bull,-1.09,stop,-0.22276364152465122
2022-07-20 00:00:00+00:00,OI_FLUSH_bull,1.4100000000000077,target,1.1872363584753565
2022-07-30 19:00:00+00:00,OI_FLUSH_bull,-1.09,stop,0.09723635847535639
2022-07-31 21:00:00+00:00,OI_FLUSH_bull,-1.09,stop,-0.9927636415246437
2022-08-02 02:00:00+00:00,OI_FLUSH_bull,1.410000000000004,target,0.4172363584753602
2022-08-03 22:00:00+00:00,OI_FLUSH_bull,-1.0899999999999996,stop,-0.6727636415246394
2022-08-09 00:00:00+00:00,OI_FLUSH_bull,-1.09,stop,-1.7627636415246395
2022-08-10 00:00:00+00:00,OI_FLUSH_bull,1.410000000000004,target,-0.3527636415246356
2022-08-11 19:00:00+00:00,OI_FLUSH_bull,-1.09,stop,-1.4427636415246357
2022-08-14 11:00:00+00:00,OI_FLUSH_bull,-1.0900000000000003,stop,-2.532763641524636
2022-08-29 04:00:00+00:00,FUNDING_CVD,0.2180327613278503,tif,-2.314730880196786
2022-10-21 18:00:00+00:00,FUNDING_CVD,0.3035427297530237,tif,-2.0111881504437625
2023-01-14 09:00:00+00:00,OI_FLUSH_bull,1.409999999999996,target,-0.6011881504437666
2023-01-18 16:00:00+00:00,OI_FLUSH_bull,1.0147272831909735,tif,0.4135391327472069
2023-01-21 22:00:00+00:00,OI_FLUSH_bull,0.3156799591901343,tif,0.7292190919373411
2023-01-25 00:00:00+00:00,OI_FLUSH_bull,1.4100000000000077,target,2.139219091937349
2023-01-26 01:00:00+00:00,OI_FLUSH_bull,-1.0900000000000003,stop,1.0492190919373487
2023-01-27 01:00:00+00:00,OI_FLUSH_bull,1.410000000000004,target,2.459219091937353
2023-01-30 09:00:00+00:00,OI_FLUSH_bull,-1.09,stop,1.3692190919373528
2023-02-03 20:00:00+00:00,OI_FLUSH_bull,-1.09,stop,0.2792190919373527
2023-02-09 19:00:00+00:00,OI_FLUSH_bull,-1.0899999999999996,stop,-0.8107809080626469
2023-02-10 22:00:00+00:00,OI_FLUSH_bull,0.4243665499408632,tif,-0.3864143581217837
2023-02-16 23:00:00+00:00,OI_FLUSH_bull,1.41,target,1.023585641878216
2023-03-14 18:00:00+00:00,OI_FLUSH_bull,-1.09,stop,-0.06641435812178398
2023-03-15 18:00:00+00:00,OI_FLUSH_bull,1.4100000000000037,target,1.3435856418782197
2023-03-18 02:00:00+00:00,OI_FLUSH_bull,-1.0899999999999996,stop,0.2535856418782201
2023-03-20 02:00:00+00:00,OI_FLUSH_bull,1.41,target,1.66358564187822
2023-03-21 20:00:00+00:00,OI_FLUSH_bull,-1.09,stop,0.5735856418782199
2023-03-24 11:00:00+00:00,OI_FLUSH_bull,-1.09,stop,-0.5164143581217802
2023-03-25 20:00:00+00:00,OI_FLUSH_bull,1.41,target,0.8935856418782198
2023-03-27 14:00:00+00:00,OI_FLUSH_bull,1.4100000000000033,target,2.303585641878223
