ts,idx,entry,oi_chg_4h,px_chg_4h,ret_30d,regime,ret_30d_backonly,regime_backonly,r_outcome,exit_kind,window_span_h,resolved
2022-02-01 20:00:00+00:00,62,38491.19,-0.04540358505030906,-0.015370136733718676,,flat_30d,,flat_30d,-1.0900000000000003,stop,4.0,True
2022-02-02 21:00:00+00:00,87,36898.85,-0.02509270719731016,-0.014716692848249058,,flat_30d,,flat_30d,1.41,target,4.0,True
2022-02-06 14:00:00+00:00,176,41300.0,-0.02170258038440509,-0.006495068559057016,,flat_30d,,flat_30d,1.41,target,4.0,True
2022-02-08 09:00:00+00:00,219,43844.1,-0.02354718812074552,-0.022801106913035718,,flat_30d,,flat_30d,-1.0900000000000003,stop,4.0,True
2022-02-10 14:00:00+00:00,272,44367.8,-0.03778176535619149,-0.005821955103140208,,flat_30d,,flat_30d,1.41,target,4.0,True
2022-02-11 20:00:00+00:00,302,42334.2,-0.030731001617892884,-0.02824735296554859,,flat_30d,,flat_30d,0.013450638018438724,tif,4.0,True
2022-02-12 21:00:00+00:00,327,41860.01,-0.03158561116209224,-0.01947625146750598,,flat_30d,,flat_30d,0.33441461433000125,tif,4.0,True
2022-02-14 20:00:00+00:00,374,42171.93,-0.027921287233058423,-0.01062851187930458,,flat_30d,,flat_30d,1.409999999999996,target,4.0,True
2022-02-17 04:00:00+00:00,430,43600.0,-0.024321184565759713,-0.010220157910747263,,flat_30d,,flat_30d,-1.09,stop,4.0,True
2022-02-18 17:00:00+00:00,467,40016.5,-0.023513544989443247,-0.00865827676757669,,flat_30d,,flat_30d,-1.0899999999999999,stop,4.0,True
2022-02-21 18:00:00+00:00,540,37721.4,-0.026097088866431584,-0.024094047763804194,,flat_30d,,flat_30d,-1.09,stop,4.0,True
2022-02-23 02:00:00+00:00,572,37670.4,-0.02134796861688648,-0.006058047493403662,,flat_30d,,flat_30d,1.4099999999999955,target,4.0,True
2022-02-27 16:00:00+00:00,682,39071.5,-0.03467772372609468,-0.01666595358599876,,flat_30d,,flat_30d,-1.0899999999999999,stop,4.0,True
2022-03-01 16:00:00+00:00,730,43380.1,-0.03961833573060636,-0.027561332089953705,0.17227589852762115,bull_30d,,flat_30d,1.41,target,4.0,True
2022-03-04 23:00:00+00:00,809,39127.7,-0.022318302491786457,-0.016531189833456583,0.06060035189172286,flat_30d,0.09743899447034177,flat_30d,-1.0899999999999996,stop,4.0,True
2022-03-07 17:00:00+00:00,875,38585.8,-0.032869002921319,-0.010554549790498857,-0.08243904667321977,flat_30d,-0.07578580024067394,flat_30d,-1.0899999999999999,stop,4.0,True
2022-03-08 21:00:00+00:00,903,38485.8,-0.0330997908475853,-0.014374947179175757,-0.08619767783604626,flat_30d,-0.08243904667321977,flat_30d,1.4100000000000001,target,4.0,True
2022-03-10 10:00:00+00:00,940,39036.7,-0.020638634546558232,-0.00796944368912067,-0.10482065950850916,bear_30d,-0.043177970152400214,flat_30d,1.4099999999999957,target,4.0,True
2022-03-11 16:00:00+00:00,970,38708.6,-0.030318417192660152,-0.029764814104636828,-0.12726159473088106,bear_30d,-0.10482065950850916,bear_30d,0.15413179500162782,tif,4.0,True
2022-03-13 22:00:00+00:00,1024,37704.0,-0.021044360898124448,-0.032310223314999664,-0.1091039984893547,bear_30d,-0.10762712585708867,bear_30d,1.4100000000000001,target,4.0,True
2022-03-15 03:00:00+00:00,1053,38746.5,-0.020874233518815677,-0.022880530995768478,-0.06589095012431867,flat_30d,-0.06033359818407025,flat_30d,1.4100000000000048,target,4.0,True
