ts,idx,entry,oi_chg_4h,px_chg_4h,ret_30d,regime,ret_30d_backonly,regime_backonly,r_outcome,exit_kind,window_span_h,resolved
2026-04-16 16:00:00+00:00,36898,74140.6,-0.02466718841318538,-0.0058610013449059695,0.01670989435838033,flat_30d,-0.0009379208619252344,flat_30d,1.4100000000000004,target,4.0,True
2026-04-18 10:00:00+00:00,36940,76150.0,-0.02417903829703527,-0.012048724226018326,0.08250986586995657,flat_30d,0.08184638547025491,flat_30d,-1.09,stop,4.0,True
2026-04-21 19:00:00+00:00,37021,74988.6,-0.020470017205519997,-0.010703180347203523,0.1246870881283666,bull_30d,0.10029688668220071,bull_30d,1.41,target,4.0,True
2026-04-23 10:00:00+00:00,37060,77362.9,-0.04252323842704342,-0.010286949735822115,0.10908216930714287,bull_30d,0.10264316123833894,bull_30d,0.15973210673333632,tif,4.0,True
2026-04-27 05:00:00+00:00,37151,77730.6,-0.024055983732997666,-0.019114067332699824,0.16577120907879417,bull_30d,0.18457692551104365,bull_30d,-1.0899999999999994,stop,4.0,True
2026-04-29 18:00:00+00:00,37212,75470.1,-0.030508305036323957,-0.013982176709524174,0.13458519809958602,bull_30d,0.15641904334633283,bull_30d,1.4100000000000001,target,4.0,True
2026-05-04 10:00:00+00:00,37324,78894.8,-0.07084898601729595,-0.011649276477080361,0.18663465683578373,bull_30d,0.17330046317047665,bull_30d,1.409999999999991,target,4.0,True
2026-05-06 14:00:00+00:00,37376,81471.6,-0.029099198481043254,-0.009368681004011337,0.18268793438916342,bull_30d,0.17194726216305134,bull_30d,-1.0899999999999999,stop,4.0,True
2026-05-07 17:00:00+00:00,37403,80053.3,-0.020692585062862756,-0.005023770313519527,0.11238249441509418,bull_30d,0.18268793438916342,bull_30d,0.35514092485880966,tif,4.0,True
2026-05-11 03:00:00+00:00,37485,80693.4,-0.041020283576734484,-0.018062077668272614,0.11896035522246629,bull_30d,0.12699712277179387,bull_30d,0.23449989714153274,tif,4.0,True
2026-05-13 13:00:00+00:00,37543,79617.9,-0.020450340841527193,-0.020153712671757695,0.06591785978355857,flat_30d,0.13788358546253687,bull_30d,-0.6489823393985439,tif,4.0,True
2026-05-15 05:00:00+00:00,37583,80320.1,-0.022575565750811988,-0.009520039559957172,0.05747550691262737,flat_30d,0.09367548770762246,flat_30d,-1.0899999999999999,stop,4.0,True
2026-06-02 22:00:00+00:00,38032,66354.2,-0.030361519898829403,-0.014280514888844409,-0.15025022603114768,bear_30d,-0.09232208856888935,flat_30d,-1.0899999999999999,stop,4.0,True
2026-06-04 02:00:00+00:00,38060,63198.4,-0.02585747011164974,-0.0259501464964913,-0.21034009836523748,bear_30d,-0.19678275651697885,bear_30d,-1.0899999999999999,stop,4.0,True
2026-06-11 16:00:00+00:00,38242,62546.6,-0.021919987370091154,-0.00685474203019143,-0.20958103926125704,bear_30d,-0.24743724227072272,bear_30d,1.06881598680024,tif,4.0,True
2026-06-17 20:00:00+00:00,38390,64405.9,-0.020579858482844493,-0.02162853544828547,-0.16228924992723792,bear_30d,-0.15220895152291591,bear_30d,-1.0899999999999999,stop,4.0,True
2026-06-23 06:00:00+00:00,38520,62905.5,-0.021904718667040135,-0.019642832096175677,-0.18607742667495786,bear_30d,-0.1658732558867082,bear_30d,-1.0899999999999999,stop,4.0,True
2026-07-01 06:00:00+00:00,38712,58726.8,-0.021996880715416167,-0.005697277327883832,-0.1595694165271776,bear_30d,-0.20430612654983082,bear_30d,1.410000000000003,target,4.0,True
2026-07-15 18:00:00+00:00,39060,64837.4,-0.0292343065845595,-0.008068562896237808,-0.02360230456250867,flat_30d,-0.01046237487081858,flat_30d,-1.09,stop,4.0,True
2026-08-21 12:00:00+00:00,39942,77228.1,-0.025074413976685417,-0.025746508723460515,0.18502920613782892,bull_30d,0.09735517660216719,flat_30d,-1.0899999999999996,stop,4.0,True
2026-09-04 13:00:00+00:00,40279,79342.9,-0.021885418343815077,-0.020675652324174898,0.23180095893950403,bull_30d,0.26773415736123796,bull_30d,0.19452451322046366,tif,4.0,True
