asset,era,n_hours,mean_bp,sd_bp,pct_hours_positive,n_bars_z_ge_2,pct_bars_z_ge_2
BTC,pre,35298,2.899417730629397,11.831097331897071,70.68672446030936,1135,3.2154796305739706
BTC,post,23312,-1.6428564382679576,6.415269104301848,44.037405628002745,861,3.6933768016472204
ETH,pre,35267,2.7471705329922993,12.038436261829311,67.8764850993847,1122,3.1814444097881873
ETH,post,23312,-1.7084798471094984,6.177866318364732,43.15374056280027,895,3.839224433768017
