asset,entry_dt,trade_R,equity_R,exit_reason
BTC,2020-01-28 22:00,2.060051047080627,2.060051047080627,TimeStop
BTC,2020-02-02 12:00,-1.1394620016421817,0.9205890454384453,SL
BTC,2020-02-05 16:00,1.7689528405335582,2.6895418859720035,TimeStop
BTC,2020-02-08 10:00,0.31723969805934604,3.0067815840313497,TimeStop
BTC,2020-02-11 15:00,0.436816936230862,3.4435985202622117,TimeStop
BTC,2020-02-19 11:00,-1.1130316944172072,2.330566825845004,SL
BTC,2020-03-12 10:00,-1.0228915758139934,1.307675250031011,SL
BTC,2020-04-12 16:00,-1.1114572523439623,0.19621799768704862,SL
BTC,2020-04-16 22:00,0.5197568384195694,0.715974836106618,TimeStop
BTC,2020-04-23 13:00,3.0418571023131364,3.7578319384197547,TimeStop
BTC,2020-04-29 10:00,6.357488470998021,10.115320409417777,TimeStop
BTC,2020-06-01 20:00,-1.144406776103394,8.970913633314382,SL
BTC,2020-06-08 00:00,-1.1140261956154762,7.856887437698905,SL
BTC,2020-06-10 00:00,-1.1544680127144173,6.702419424984488,SL
BTC,2020-07-01 14:00,-1.2039848728888143,5.498434552095674,SL
BTC,2020-07-12 21:00,-1.2414968072479449,4.256937744847729,SL
BTC,2020-07-18 22:00,-1.383946870445517,2.872990874402212,SL
BTC,2020-07-21 10:00,-1.2520116517143314,1.6209792226878807,SL
BTC,2020-07-23 16:00,-1.1862729354890058,0.43470628719887494,SL
BTC,2020-07-25 17:00,13.283323049682224,13.718029336881099,TimeStop
BTC,2020-07-27 21:00,-1.0649820271117414,12.653047309769358,SL
BTC,2020-07-31 14:00,-1.1168080911897509,11.536239218579606,SL
BTC,2020-08-10 03:00,-1.12867864605297,10.407560572526636,SL
BTC,2020-08-14 01:00,0.4425588626238244,10.85011943515046,TimeStop
BTC,2020-08-17 16:00,-1.0987866383677953,9.751332796782666,SL
BTC,2020-08-28 14:00,1.2338143220258824,10.985147118808548,TimeStop
BTC,2020-09-01 11:00,-1.153875650177561,9.831271468630987,SL
BTC,2020-09-03 23:00,0.13646323075898803,9.967734699389975,TimeStop
BTC,2020-09-16 16:00,-1.1132307971260622,8.854503902263913,SL
BTC,2020-09-25 20:00,-0.04802602765879198,8.80647787460512,TimeStop
BTC,2020-10-03 21:00,1.9979537795420468,10.804431654147168,TimeStop
BTC,2020-10-08 16:00,3.382308373825036,14.186740027972203,TimeStop
BTC,2020-10-13 20:00,-1.1468521113681975,13.039887916604005,SL
BTC,2020-10-16 07:00,0.877611327358176,13.917499243962181,TimeStop
BTC,2020-10-18 15:00,6.220788228689099,20.13828747265128,TimeStop
BTC,2020-10-20 19:00,6.894743902360778,27.033031375012058,TimeStop
BTC,2020-10-22 20:00,-1.0904869252062255,25.942544449805833,SL
BTC,2020-10-24 21:00,-1.1657989382581824,24.776745511547652,SL
BTC,2020-10-27 17:00,-1.1094001575808354,23.667345353966816,SL
BTC,2020-11-05 15:00,-1.0761778869803391,22.591167466986477,SL
BTC,2020-11-08 01:00,0.6754539294013624,23.26662139638784,TimeStop
BTC,2020-11-11 16:00,-1.1045607099817552,22.162060686406083,SL
BTC,2020-11-17 15:00,2.1921945520001773,24.35425523840626,TimeStop
BTC,2020-11-21 16:00,-1.086166275227464,23.268088963178798,SL
BTC,2020-11-24 13:00,-1.0751253729860535,22.192963590192743,SL
BTC,2020-11-26 14:00,0.7195445835126781,22.912508173705422,TimeStop
BTC,2020-12-16 14:00,4.596950799967861,27.509458973673283,TimeStop
BTC,2020-12-18 22:00,0.7486960747333221,28.258155048406604,TimeStop
BTC,2020-12-21 13:00,1.0989370835967351,29.35709213200334,TimeStop
BTC,2021-01-05 19:00,3.2549268979177013,32.61201902992104,TimeStop
BTC,2021-01-09 22:00,-1.049661178800541,31.5623578511205,SL
BTC,2021-01-27 07:00,-1.052341857165741,30.51001599395476,SL
BTC,2021-01-29 08:00,-1.0356275776587285,29.47438841629603,SL
BTC,2021-02-08 12:00,1.6769697772394374,31.15135819353547,TimeStop
BTC,2021-02-10 12:00,-1.0491996013448444,30.102158592190623,SL
BTC,2021-02-22 14:00,-1.0329845606174808,29.069174031573144,SL
BTC,2021-02-28 19:00,1.5954011490973887,30.664575180670532,TimeStop
BTC,2021-03-21 15:00,-1.0791898239571829,29.58538535671335,SL
BTC,2021-03-26 07:00,1.5186171829507404,31.10400253966409,TimeStop
BTC,2021-04-04 00:00,2.383330336706014,33.487332876370104,TimeStop
BTC,2021-04-13 12:00,-1.0935903937211728,32.39374248264893,SL
BTC,2021-04-15 13:00,-1.0913783308041742,31.302364151844756,SL
BTC,2021-04-17 17:00,-1.08638687111675,30.215977280728005,SL
BTC,2021-05-10 12:00,-1.0810889912711728,29.134888289456832,SL
BTC,2021-05-12 13:00,-1.0793406919268438,28.05554759752999,SL
BTC,2021-05-19 13:00,1.2126021882422544,29.268149785772245,TimeStop
BTC,2021-06-10 17:00,-1.0464229487507697,28.221726837021475,SL
BTC,2021-06-22 16:00,0.9681693100232522,29.189896147044728,TimeStop
BTC,2021-06-29 19:00,-1.0689686450293627,28.120927502015363,SL
BTC,2021-07-08 01:00,-1.0880073557829943,27.03292014623237,SL
BTC,2021-07-16 15:00,-1.0909489232481229,25.941971222984247,SL
