asset,era,n,mean_R,sum_R,mean_pct,win_rate
BTC,pre,195,0.29190341495197103,56.921165915634354,0.0034778315718841093,0.37948717948717947
BTC,post,107,-0.09484631943323167,-10.148556179355788,-0.0013075700995761063,0.3364485981308411
BTC,2025plus,68,-0.3191281759661,-21.7007159656948,-0.003371177098648196,0.29411764705882354
ETH,pre,198,0.4174988436330775,82.66477103934935,0.008092224691505858,0.41919191919191917
ETH,post,112,-0.039406242234043196,-4.413499130212838,-0.0005215068430873772,0.35714285714285715
ETH,2025plus,75,-0.04135088501930608,-3.101316376447956,-0.0013687400721816593,0.3466666666666667
