asset,n,pearson,spearman,n_nonoverlap,pearson_nonoverlap,spearman_nonoverlap,mean_fwd48_all_bp,mean_fwd48_z_ge_2_bp,n_bars_z_ge_2,uncond_fwd48_pre_bp,z_ge_2_fwd48_pre_bp,excess_pre_bp,n_bars_z_ge_2_pre,uncond_fwd48_post_bp,z_ge_2_fwd48_post_bp,excess_post_bp,n_bars_z_ge_2_post
BTC,58226,0.07216370784389359,0.05571649251990596,1214,0.1261108928464578,0.08073928298377599,27.63223263973457,114.27391392133421,1995,34.73640425350939,167.30190606638024,132.56550181287085,1135,16.95582067443216,44.28929638107007,27.333475706637913,860
ETH,58195,0.06391474758934614,0.060490130849170015,1213,0.07003436753628421,0.06530615162098724,39.130878598955235,114.04946806120854,2016,57.6744266611154,143.63391498548927,85.95948832437386,1122,11.287658286054738,76.91999440456097,65.63233611850623,894
