asset,year,n_hours,mean_bp,sd_bp,median_bp,p01_bp,p99_bp,pct_hours_positive
BTC,2020,8781,4.575120595373392,16.55382534212798,4.486758927571166,-30.450794630207092,42.20925629636792,69.22901719621912
BTC,2021,8760,5.563829440668073,8.741729752549592,4.624158538738124,-9.523956960797372,28.70504704633738,85.42237442922375
BTC,2022,8760,-1.2626346557228323,8.7717806987778,0.6880268855643309,-23.84806075942984,9.206124420671891,58.230593607305934
BTC,2023,8757,2.624971234433398,10.395385079746736,1.612963905500018,-13.479220511478015,42.22538415480742,69.19036199611739
BTC,2024,8784,-0.377882938530061,6.728949151769941,-0.17611947727430582,-17.39375328674487,17.964277498498596,48.53142076502732
BTC,2025,8755,0.31638624818602634,4.715887330932426,0.951882169330821,-13.650422480340973,9.2910226253941,58.98343803540834
BTC,2026,6013,-6.027728832195925,6.07655491538735,-5.979588743354211,-18.82725615237662,5.520832520061283,17.761516713786797
ETH,2020,8764,4.464191717508051,17.10181385968106,4.356827609859309,-31.50662107620025,44.65513964296911,67.06983112733911
ETH,2021,8747,5.548182827794279,8.803635559803475,4.640339794808547,-9.837054127398241,28.371933085691193,83.45718532068138
ETH,2022,8760,-1.3881544788106466,8.730911118155376,0.598937529862377,-23.47662356151529,9.323407551725113,56.038812785388124
ETH,2023,8756,2.2895126383065443,10.427527253573937,1.2241772620020646,-13.150596967350747,42.43467866088249,64.2188213796254
ETH,2024,8784,-0.7024328698834484,6.4455067515197335,-0.4194719349508339,-16.853261748949684,16.581721340808347,46.52777777777778
ETH,2025,8755,0.3227193849170486,4.6762921874133285,0.8945121678505552,-13.643645517177282,9.384246233947227,58.69788692175899
ETH,2026,6013,-5.843959376061485,5.778445492167663,-5.873340143003529,-18.163114464652736,4.930961974589914,17.661732912023947
