decile,asset,era,n,z_mid,mean_fwd48_bp,win_rate
0,BTC,all,5823,-1.9413107925051045,-28.92031891957999,0.4909840288511077
1,BTC,all,5822,-1.1808908216105443,-13.316715970337027,0.4927859841978702
2,BTC,all,5823,-0.7595758994378963,-5.912701866016857,0.5122788940408725
3,BTC,all,5822,-0.4333743492297912,20.0173484254506,0.5190656131913431
4,BTC,all,5823,-0.14736936520900465,31.625150319766057,0.5471406491499228
5,BTC,all,5822,0.1265021357496621,43.16796653172547,0.5420817588457575
6,BTC,all,5822,0.4182259104286214,44.7825222425901,0.5424252834077636
7,BTC,all,5823,0.7383406722132777,51.990860499093,0.5488579769878069
8,BTC,all,5822,1.1349804761649913,59.357661594816584,0.5364136035726554
9,BTC,all,5823,1.7943220967485525,73.56474471532606,0.5462819852309806
0,BTC,pre_etf,3497,-1.7984025591827002,-29.776744869507823,0.5004289390906491
1,BTC,pre_etf,3496,-1.0469379250978856,11.5717036763243,0.5283180778032036
2,BTC,pre_etf,3496,-0.6747473397658064,-1.9938832711510643,0.5203089244851259
3,BTC,pre_etf,3496,-0.38832785838224004,50.49446168880154,0.549771167048055
4,BTC,pre_etf,3496,-0.1403359427478255,29.67902832497304,0.5386155606407322
5,BTC,pre_etf,3496,0.0997940383805021,40.12957294899457,0.5314645308924485
6,BTC,pre_etf,3496,0.3577048326346586,54.105051674405786,0.5394736842105263
7,BTC,pre_etf,3496,0.661836766905806,53.692139642865676,0.5489130434782609
8,BTC,pre_etf,3496,1.065525081276577,54.11142871048127,0.5211670480549199
9,BTC,pre_etf,3497,1.7486721158252527,85.35525834958936,0.5327423505862168
0,BTC,post_etf,2327,-2.0731531897776962,-4.3989500705464915,0.5088096261280619
1,BTC,post_etf,2326,-1.3606371572548883,-47.9304207595121,0.4294926913155632
2,BTC,post_etf,2326,-0.9094184164171242,-38.75972660388895,0.47893379191745483
3,BTC,post_etf,2326,-0.5382709293908845,-13.356977297582201,0.48452278589853826
4,BTC,post_etf,2327,-0.16373734685580885,23.1906363842696,0.548345509239364
5,BTC,post_etf,2326,0.18496606473438507,43.92982613669556,0.5662080825451419
6,BTC,post_etf,2326,0.5232672298329506,27.394602015913307,0.5361134995700774
7,BTC,post_etf,2326,0.8439508464015715,69.41382247419232,0.5503009458297506
8,BTC,post_etf,2326,1.220830875134757,59.29503998620181,0.5687876182287188
9,BTC,post_etf,2327,1.8479138729479552,50.846476783911136,0.5573700042973786
0,ETH,all,5819,-1.9598741592484266,-19.852827891373327,0.5035229420862691
1,ETH,all,5819,-1.195108152551965,-35.74167998519105,0.4880563670733803
2,ETH,all,5818,-0.7704292084442201,-1.8883811963410864,0.5097971811619113
3,ETH,all,5819,-0.43744190822768236,18.509230737537983,0.5198487712665406
4,ETH,all,5819,-0.14231699672297726,55.62276713320512,0.5425330812854442
5,ETH,all,5818,0.13424411331400055,65.37116660011083,0.5347198349948435
6,ETH,all,5819,0.4217859124564959,70.21999612961213,0.5397834679498196
7,ETH,all,5818,0.7485363070946409,63.7633293563777,0.5383293227913373
8,ETH,all,5819,1.1374577478387011,84.41731206716199,0.5514693246262244
9,ETH,all,5819,1.798456389592364,90.90805385408753,0.5363464512802887
0,ETH,pre_etf,3959,-1.8612412772678362,-10.522455253385067,0.5145238696640566
1,ETH,pre_etf,3958,-1.0953215464067223,-6.168295668901799,0.5065689742294088
2,ETH,pre_etf,3958,-0.7054484403898837,14.220964868242763,0.5128852956038403
3,ETH,pre_etf,3958,-0.3983661043875523,18.04406623998757,0.5118746841839312
4,ETH,pre_etf,3958,-0.13110450510054694,66.75411430320774,0.5432036382011117
5,ETH,pre_etf,3958,0.11613951641572398,80.67224553834225,0.5343607882769076
6,ETH,pre_etf,3958,0.38071709174384794,72.40180259430895,0.5285497726124305
7,ETH,pre_etf,3958,0.7037541314780147,99.27626905310274,0.561899949469429
8,ETH,pre_etf,3958,1.1013425901040694,96.47757080539125,0.5596260737746337
9,ETH,pre_etf,3958,1.7676975678647082,123.15289352438276,0.5510358767054068
0,ETH,post_etf,1861,-2.1149874632670294,-39.30423091201102,0.4782375067168189
1,ETH,post_etf,1861,-1.4017656304956172,-61.95036863161755,0.46426652337452984
2,ETH,post_etf,1860,-0.9346315562803039,-51.10688299655113,0.5069892473118279
3,ETH,post_etf,1861,-0.5440208074709038,4.404051226214455,0.5142396560988716
4,ETH,post_etf,1860,-0.17556382928779735,23.742551702225253,0.5446236559139785
5,ETH,post_etf,1861,0.18530547703668163,35.87618905224124,0.5566899516389038
6,ETH,post_etf,1860,0.5319330512922966,34.627971812055215,0.5284946236559139
7,ETH,post_etf,1861,0.8447234917575343,28.596436257605657,0.5115529285330468
8,ETH,post_etf,1860,1.204751844453571,35.99175310510063,0.5166666666666667
9,ETH,post_etf,1861,1.8611600202268446,33.783502488973646,0.5147770016120365
