asset,year,n,mean_R,sum_R,win_rate,mean_pct
BTC,2020,49,0.5991243292245578,29.357092132003334,0.4489795918367347,0.006707180571938125
BTC,2021,47,-0.09597977946568576,-4.511049634887231,0.3191489361702128,0.0008424230086372958
BTC,2022,50,0.15972164115993462,7.986082057996731,0.42,0.0006383667919242067
BTC,2023,47,0.5594449890675844,26.29391448617647,0.3404255319148936,0.006746098535971575
BTC,2024,41,0.22798260148009905,9.34728666068406,0.3902439024390244,0.0012262560573912144
BTC,2025,43,-0.2673215496033239,-11.494826632942928,0.27906976744186046,-0.0027694127758881824
BTC,2026,25,-0.40823557331007493,-10.205889332751873,0.32,-0.0044062117337954195
ETH,2020,50,0.26944318202783146,13.472159101391572,0.38,0.0011646999625269882
ETH,2021,50,0.41606956905346004,20.803478452673,0.44,0.01653250477898918
ETH,2022,56,0.3486621601259715,19.525080967054404,0.44642857142857145,0.007370974783328725
ETH,2023,40,0.7442782009543224,29.771128038172897,0.4,0.007924926367911861
ETH,2024,39,-0.056904058300189804,-2.2192582737074025,0.38461538461538464,0.000817316621725809
ETH,2025,45,-0.12191133807142521,-5.486010213214135,0.3333333333333333,-0.003393569912018596
ETH,2026,30,0.07948979455887258,2.384693836766177,0.36666666666666664,0.0016685046875737461
