asset,entry_ts,entry_dt,exit_ts,exit_dt,year,z,premium_bp,entry_px,exit_px,stop_px,atr,R_unit,bars_held,exit_reason,ret_gross,ret_net,trade_R,diag_nostop_net,diag_nostop_R
BTC,1580248800,2020-01-28 22:00,1580425200,2020-01-30 23:00,2020,2.1825870087189174,1.1715756049487671,9133.0,9513.21,8956.416705855172,88.29164707241395,176.5832941448279,48,TimeStop,0.04163035147268139,0.03983035147268139,2.060051047080627,0.03983035147268139,2.060051047080627
BTC,1580644800,2020-02-02 12:00,1580688000,2020-02-03 00:00,2020,2.1944808275961636,0.010613683160561972,9421.8,9300.195263223659,9300.195263223659,60.8023683881706,121.6047367763412,12,SL,-0.012906741469394422,-0.014706741469394422,-1.1394620016421817,-0.03240880086607649,-2.510997910892289
BTC,1580918400,2020-02-05 16:00,1581091200,2020-02-07 16:00,2020,2.4687144717615097,4.2664435846490925,9563.0,9798.39,9439.663416343992,61.66829182800378,123.33658365600756,48,TimeStop,0.024614660671337385,0.022814660671337385,1.7689528405335582,0.022814660671337385,1.7689528405335582
BTC,1581156000,2020-02-08 10:00,1581328800,2020-02-10 10:00,2020,2.682199346609618,8.90133805893599,9796.28,9847.78,9689.525718593313,53.37714070334375,106.7542814066875,48,TimeStop,0.005257097592147223,0.0034570975921472233,0.31723969805934604,0.0034570975921472233,0.3172396980593461
BTC,1581433200,2020-02-11 15:00,1581606000,2020-02-13 15:00,2020,5.128502943845224,49.36551831334836,10164.99,10254.93,10000.978460937016,82.00576953149144,164.01153906298288,48,TimeStop,0.008848016574536769,0.0070480165745367696,0.436816936230862,0.0070480165745367696,0.43681693623086193
BTC,1582110000,2020-02-19 11:00,1582146000,2020-02-19 21:00,2020,5.228986212083464,86.19627881954014,10148.93,9987.310959480521,9987.310959480521,80.80952025973966,161.6190405194793,10,SL,-0.015924736944631535,-0.017724736944631534,-1.1130316944172072,-0.046570236862408236,-2.924395989982601
BTC,1584007200,2020-03-12 10:00,1584054000,2020-03-12 23:00,2020,12.043891569939687,141.43211025952323,6014.9,5541.939113079238,5541.939113079238,236.48044346038063,472.96088692076125,13,SL,-0.0786315461471947,-0.0804315461471947,-1.0228915758139934,-0.10651828293072202,-1.3546507496027693
BTC,1586707200,2020-04-12 16:00,1586728800,2020-04-12 22:00,2020,2.075464693991904,30.354197643909824,7142.34,7026.993427842228,7026.993427842228,57.67328607888618,115.34657215777236,6,SL,-0.0161496893395963,-0.0179496893395963,-1.1114572523439623,-0.02910197666311041,-1.8020146425824592
BTC,1587074400,2020-04-16 22:00,1587247200,2020-04-18 22:00,2020,2.282829626849969,31.399720114694308,7152.93,7260.99,6969.796813547988,91.56659322600619,183.13318645201238,48,TimeStop,0.015107095973258438,0.013307095973258439,0.5197568384195694,0.013307095973258439,0.5197568384195694
BTC,1587646800,2020-04-23 13:00,1587819600,2020-04-25 13:00,2020,2.1538483962338373,29.01704250118858,7233.68,7594.96,7119.190934838073,57.24453258096361,114.48906516192721,48,TimeStop,0.04994415014211297,0.048144150142112964,3.0418571023131364,0.048144150142112964,3.0418571023131356
