fid,shape,PR_reached,PR_first_hours,PR_fwd24_pct,PR_pct_from_entry,PR_minutes_before_top,PR_pct_below_top,OR_reached,OR_first_hours,OR_fwd24_pct,OR_pct_from_entry,OR_minutes_before_top,OR_pct_below_top,PR_at_top,OR_at_top
BTC:1648224000,spike_reversal,True,33.15,4.496293785512329,1.594709524532334,1109.0,-4.253992655222483,True,47.06666666666667,5.940211935303963,1.5525705883818963,274.0,-4.293705696472793,3.552450687387907,1.6848683564566223
BTC:1648508400,spike_reversal,True,11.833333333333334,-1.3955894284778614,1.7444118339880132,30.0,-0.32453222453222574,True,42.15,-4.115935217609323,1.1442662541196302,-1789.0,-0.9124740124740183,1.1495443764823408,0.21545520258945466
BTC:1658275200,spike_reversal,True,0.7666666666666667,0.058803330758006034,1.1478883023062103,324.0,-2.3594987636729403,True,12.483333333333333,-4.914372371265308,3.634690191719936,-379.0,0.041071204056830624,2.814122137404591,0.7626632649770922
BTC:1659207600,no_spike,False,,,,,,False,,,,,,,
BTC:1659301200,no_spike,False,,,,,,True,12.816666666666666,-0.8393399913156685,-2.3407683826647485,,,,
BTC:1659405600,spike_reversal,True,13.35,0.7093300196748586,1.1733892090099562,20.0,-1.1595525551523211,True,14.15,0.4852246521556358,1.839532041208325,-28.0,-0.508770209009457,1.9497754185381673,0.5853835694873324
BTC:1659564000,spike_reversal,True,103.05,1.2437090717101862,2.4698845118476864,-3958.0,0.15437100213220312,True,104.9,0.01469353484466751,3.926248140278621,-4069.0,1.5778251599147142,0.8935176871969849,-0.7352725091141766
BTC:1660003200,spike_reversal,True,36.016666666666666,3.25861094487665,1.175214124433932,1409.0,-3.6424795771263785,True,53.483333333333334,-2.5076328109098323,3.28849719756632,361.0,-1.6298254044529892,3.665044910179678,2.097928617685915
BTC:1660089600,spike_reversal,True,10.383333333333333,5.948037350855961,1.6281951022344865,67.0,-1.9826355196420398,True,16.066666666666666,1.7732604382079797,4.950486349697281,-274.0,1.2216153458277423,1.932391244111948,-0.2152546979189452
BTC:1660244400,spike_reversal,True,27.233333333333334,0.4023665723705605,0.5872708425395556,425.0,-2.102576470115347,True,33.65,-0.4077227971812314,1.7981555896042334,40.0,-0.9240725109530223,5.3344182262002455,0.8270913124416478
BTC:1660474800,spike_reversal,True,14.666666666666666,-3.18411401364046,1.2747310032499515,36.0,-1.3206349206349222,False,,,,,,2.0246085011185824,-1.7915701275002078
BTC:1673686800,spike_reversal,True,2.533333333333333,-1.2960322720618755,2.0898239738297297,122.0,-1.2631826741996144,True,55.31666666666667,0.47488888360707193,2.4052691019549766,-3045.0,-0.9580979284369073,1.9502796768178992,0.477359175222524
BTC:1674057600,spike_reversal,True,47.516666666666666,8.857812147211552,1.9562329447084803,1062.0,-8.876125160737248,True,19.65,1.5921002512065963,-0.5342592548186365,2734.0,-11.102014573510498,5.978848991637942,-1.2427606673404492
BTC:1674338400,spike_reversal,True,94.65,-1.0162549267111465,2.4266038100934084,28.0,-2.290518261219765,False,,,,,,1.9201183431952662,-2.0592392069176992
BTC:1674604800,spike_reversal,True,20.15,0.028210581137977364,1.7357017648435225,58.0,-3.340968394204069,True,6.65,1.1164358544452746,0.3364550355662077,868.0,-4.670391905157456,2.988776655443332,-1.2717243487443726
BTC:1674694800,spike_reversal,True,83.26666666666667,-2.1015294252259675,1.8934650626549088,392.0,-1.5257045324608698,True,6.65,0.1410124169267002,-0.7854533521024498,4989.0,-4.114728306910321,1.7966413618587502,5.697495383073899
BTC:1674781200,spike_reversal,True,13.216666666666667,-0.23659511036773218,1.9319787985865755,294.0,-1.7982978723404153,True,3.316666666666667,1.1299682854398307,0.6939045936395605,888.0,-2.991063829787244,1.8521337946943517,2.2434530046008927
BTC:1675069200,spike_reversal,True,59.166666666666664,0.1609349393123738,2.3429584053740404,224.0,-2.2449282166596696,False,,,,,,1.8872041420118342,-0.603658458721023
BTC:1675454400,no_spike,True,16.266666666666666,-1.7865486394875618,0.8827335601587105,,,True,37.483333333333334,-2.219549670234655,0.12212575953651772,,,,
BTC:1675969200,spike_reversal,True,136.16666666666666,8.26729369334329,2.7148129820722566,732.0,-9.259608327551428,True,136.31666666666666,8.225240011294655,2.897767769994508,723.0,-9.097982281293493,4.86470078057242,1.317758140423249
BTC:1676066400,spike_reversal,True,4.216666666666667,0.4971548367774803,0.6632499246306933,2244.0,-1.7091694632012322,True,10.9,1.0669445456264137,0.5918230096704447,1843.0,-1.7789129972057394,3.5585851142225415,0.03380650588623906
BTC:1676239200,spike_reversal,True,39.833333333333336,2.982354590429326,1.5200415015861557,21.0,-0.9256272401433674,True,9.733333333333333,-0.0345647605353383,-0.38517511924818226,1827.0,-2.784946236559138,2.7319819819819524,1.9254505355737435
BTC:1676588400,spike_reversal,True,20.15,-1.3349324711894428,5.965587887752588,-333.0,2.783343640486491,True,53.233333333333334,-1.2047657512116339,5.242576487890305,-2318.0,2.0820449391877993,0.5153061224489801,-0.4519486675541194
BTC:1676833200,spike_reversal,True,13.9,-0.5493403905529437,1.739928607853125,288.0,-0.7995226730310279,True,19.816666666666666,-1.4709241973042464,1.7860275369709244,-67.0,-0.7545743834526664,1.427852348993288,0.6299027716704699
