fid,entry_pct_of_top,P0_pct_of_top,time_stop_rel_min,spike_rel_min,entry_rel_min,top_runup_pct,lags_from,lag_step
BTC:1648224000,-5.756896404475198,-4.328080963361513,-218,-240,-3098,6.108559867874042,-1440,5
BTC:1648508400,-2.033471933471931,-0.36798336798337106,2140,0,-740,2.0756803100044685,-1440,5
BTC:1658275200,-3.467583085369441,-2.369557017727675,2510,-220,-370,3.592143651014168,-1440,5
BTC:1659405600,-2.305884761202115,-1.2614771821039095,2059,-11,-821,2.360310808451205,-1440,5
BTC:1659564000,-2.259701492537325,0.11513859275054106,655,-361,-2225,2.3119445377637993,-1440,5
BTC:1660003200,-4.761733141118052,-3.6917347429120673,-690,-665,-3570,4.99981078842362,-1440,5
BTC:1660089600,-3.5529811566998193,-2.023737388717761,2190,0,-690,3.683868303355675,-1440,5
BTC:1660244400,-2.6741428514007737,-2.1801519353671805,821,-181,-2059,2.7476180839772546,-1440,5
BTC:1660474800,-2.5626984126984054,-1.3210317460317533,1964,-4,-916,2.63009994216874,-1440,5
BTC:1673686800,-3.2843691148775833,-1.769303201506589,2606,-122,-274,3.3959031077186674,-1440,5
BTC:1674057600,-10.624517788255472,-8.88169738534076,-1033,-1062,-3913,11.887508212917176,-1440,5
BTC:1674338400,-4.605368035104506,-2.478458221114732,-2827,-31,-5707,4.8277014547309705,-1440,5
BTC:1674604800,-4.99005764051449,-3.4949281381358777,1613,-34,-1267,5.252142582756014,-1440,5
BTC:1674694800,-3.3556318778768746,-1.5415625117369935,-2508,-524,-5388,3.472144257424903,-1440,5
BTC:1674781200,-3.659574468085103,-1.8148936170212737,1793,-853,-1087,3.7985865724381673,-1440,5
BTC:1675069200,-4.482855189568968,-2.2556360012190413,-894,-228,-3774,4.693246640135551,-1440,5
BTC:1675969200,-11.657930304282083,-9.345835622701436,-6022,-762,-8902,13.196351799812046,-1440,5
BTC:1676066400,-2.356787993243037,-1.7422297098397266,383,-117,-2497,2.413673152292395,-1440,5
BTC:1676239200,-2.4090501792114694,-1.6133512544802775,469,-14,-2411,2.4685180169220056,-1440,5
BTC:1676588400,-3.003092145949293,2.5726654298082963,2004,-2,-876,3.09606998036267,-1440,5
BTC:1676833200,-2.496022275258547,-0.8365155131264901,1758,-18,-1122,2.559918408975004,-1440,5
BTC:1678816800,-7.311712379540403,-4.20941438102298,-1018,-607,-3898,7.888496559004765,-1440,5
