fid,bar_ts,entry_ts,i0,entry,entry_close_on_path,P0,OI_E,OI_0,ledger_px_chg_4h,ledger_oi_chg_4h,shape,S,T,C,hours_to_spike,hours_to_top,hours_spike_to_top,top_runup_pct,top_after_48h,fall_24h_after_top_pct,n_false_tops,max_pct_7d,min_pct_7d,first_PR_ge_1_min
BTC:1648224000,1648224000,1648227600,1173180,44139.7,44139.7,44808.9,81603.662,83284.147,-0.0149345330949879,-0.0208786673795301,spike_reversal,2858,3098,3106,47.63333333333333,51.63333333333333,4.0,6.108559867874042,True,-2.1419420958237234,1.0,9.19874851890703,-0.3164951279686967,1989
BTC:1648508400,1648508400,1648512000,1177920,47121.9,47121.9,47923.0,77448.683,79324.595,-0.0167163992237547,-0.0207819909622577,spike_reversal,740,740,974,12.333333333333334,12.333333333333334,0.0,2.0756803100044685,False,-3.253638253638258,0.0,2.0756803100044685,-6.187568837419555,710
BTC:1658275200,1658275200,1658278800,1340700,23033.6,23033.6,23295.6,117257.263,121350.915,-0.0112467590446264,-0.0337214344517962,spike_reversal,150,370,419,2.5,6.166666666666667,3.6666666666666665,3.592143651014168,False,-5.13390050710364,2.0,5.3982008891358735,-10.176437899416502,46
BTC:1659207600,1659207600,1659211200,1356240,23915.0,23915.0,24522.8,119377.953,124752.856,-0.0247850979496631,-0.0429497533606006,no_spike,-1,-1,-1,,,,,,,,1.138615931423792,-6.460380514321551,-1
BTC:1659301200,1659301200,1659304800,1357800,23582.0,23582.0,23728.3,113443.533,116876.371,-0.0061656334419237,-0.029424694919547,no_spike,-1,-1,-1,,,,,,,,0.2883555254007186,-5.139513188024769,-1
BTC:1659405600,1659405600,1659409200,1359540,22908.0,22908.0,23152.9,111375.034,114503.007,-0.0105775086490246,-0.027158638153413,spike_reversal,810,821,957,13.5,13.683333333333334,0.18333333333333332,2.360310808451205,False,-3.340910157066279,0.0,5.8276584599266545,-2.3485245329142646,801
BTC:1659564000,1659564000,1659567600,1362180,22920.1,22920.1,23477.0,115673.037,119776.808,-0.0237210887251353,-0.0342908352906993,spike_reversal,1864,2225,2267,31.066666666666666,37.083333333333336,6.016666666666667,2.3119445377637993,False,-2.998294243070354,1.0,5.7717898263969225,-2.4000767884956864,6183
BTC:1660003200,1660003200,1660006800,1369500,23782.9,23782.9,24050.1,117257.561,120216.165,-0.0111101409141748,-0.0243884051728948,spike_reversal,2905,3570,3701,48.416666666666664,59.5,11.083333333333334,4.99981078842362,True,-5.65433285279513,3.0,5.958482775439489,-4.940104024320002,2161
BTC:1660089600,1660089600,1660093200,1370940,22761.4,22761.4,23122.3,112970.455,116473.389,-0.0156083088620075,-0.0303550708143651,spike_reversal,690,690,690,11.5,11.5,0.0,3.683868303355675,False,-2.3351793863533366,0.0,10.713752229651941,-0.06634038328047209,623
BTC:1660244400,1660244400,1660248000,1373520,24213.7,24213.7,24336.6,118058.059,121381.582,-0.0050500069853635,-0.0271610582733203,spike_reversal,1878,2059,2215,31.3,34.31666666666667,3.0166666666666666,2.7476180839772546,False,-2.4578962176936336,1.0,4.073313867769079,-4.310369749356768,1634
BTC:1660474800,1660474800,1660478400,1377360,24554.2,24554.2,24867.1,121007.692,124364.706,-0.0125828906466776,-0.0266319050136485,spike_reversal,912,916,967,15.2,15.266666666666667,0.06666666666666667,2.63009994216874,False,-5.706349206349204,0.0,2.63009994216874,-15.521988091650307,880
BTC:1673686800,1673686800,1673690400,1597560,20542.4,20542.4,20864.2,93507.537,97021.212,-0.0154235484705859,-0.0363385689692457,spike_reversal,152,274,278,2.533333333333333,4.566666666666666,2.033333333333333,3.3959031077186674,False,-3.276836158192087,2.0,12.547706207648556,-1.3878612041436367,152
BTC:1674057600,1674057600,1674061200,1603740,20851.3,20851.3,21257.9,100291.382,102637.351,-0.019127006900964,-0.0235161653872257,spike_reversal,2851,3913,3926,47.516666666666666,65.21666666666667,17.7,11.887508212917176,True,-3.321903129018433,6.0,12.175260055727954,-1.1040079035839478,2851
BTC:1674338400,1674338400,1674342000,1608420,22739.6,22739.6,23246.6,95523.243,98713.782,-0.0218096409797561,-0.0245407556210807,spike_reversal,5676,5707,5710,94.6,95.11666666666666,0.5166666666666667,4.8277014547309705,True,-4.310033812412428,0.0,4.8277014547309705,-1.990360428503568,5679
BTC:1674604800,1674604800,1674608400,1612860,22647.9,22647.9,23004.3,91798.82,94036.459,-0.0154927557021946,-0.023657245838109,spike_reversal,1233,1267,1270,20.55,21.116666666666667,0.5666666666666667,5.252142582756014,False,-4.310033812412428,0.0,5.80539476066213,-1.4897628477695601,1209
BTC:1674694800,1674694800,1674698400,1614360,23158.6,23158.6,23593.3,85803.337,88953.16,-0.0184247222728486,-0.035294351651396,spike_reversal,4864,5388,6183,81.06666666666666,89.8,8.733333333333333,3.472144257424903,True,-5.686754831467244,1.0,4.848306892471932,-2.912093131709159,4996
BTC:1674781200,1674781200,1674784800,1615800,22640.0,22640.0,23073.5,87232.014,89515.046,-0.0187877868550501,-0.0254665083212135,spike_reversal,234,1087,1137,3.9,18.116666666666667,14.216666666666667,3.7985865724381673,False,-2.6774468085106418,4.0,7.250000000000001,-0.6881625441696126,793
BTC:1675069200,1675069200,1675072800,1620600,23192.9,23192.9,23733.7,100645.927,104639.74,-0.0227861648204873,-0.0380260516037279,spike_reversal,3546,3774,4091,59.1,62.9,3.8,4.693246640135551,True,-3.774082219311903,2.0,4.693246640135551,-3.0556765216941395,3550
BTC:1675454400,1675454400,1675458000,1627020,23336.6,23336.6,23514.3,98253.146,100417.695,-0.0075571035497548,-0.0224917691293982,no_spike,-1,-1,-1,,,,,,,,1.0918471414002262,-7.938602881310897,976
BTC:1675969200,1675969200,1675972800,1635600,22027.3,22027.3,22603.8,101098.554,106700.689,-0.0255045611799785,-0.0526439800185468,spike_reversal,8140,8902,9305,135.66666666666666,148.36666666666667,12.7,13.196351799812046,True,-6.353146895215788,5.0,14.812074108038665,-3.1292986430474845,8170
