fid,n_false_tops,PR_top,PR_false,PR_diff,OR_top,OR_false,OR_diff,premium_bp_top,premium_bp_false,premium_bp_diff,top_position_lsr_chg_pct_top,top_position_lsr_chg_pct_false,top_position_lsr_chg_pct_diff,account_lsr_chg_pct_top,account_lsr_chg_pct_false,account_lsr_chg_pct_diff,taker_buy_share_60_top,taker_buy_share_60_false,taker_buy_share_60_diff,volume_ratio_60_top,volume_ratio_60_false,volume_ratio_60_diff,book_z_top,book_z_false,book_z_diff,stall_min_top,stall_min_false,stall_min_diff,hours_since_entry_top,hours_since_entry_false,hours_since_entry_diff
BTC:1648224000,1,3.552450687387907,1.1161087866108736,2.436341900777033,1.6848683564566223,1.2219406897413592,0.4629276667152631,40.1458,-3.2714000000000003,43.4172,,,,-0.23621325079814515,2.125732360804067,-2.361945611602212,0.6404145977676892,0.5372418925866281,0.10317270518106103,3.1943188434704624,1.8175130915059938,1.3768057519644685,,,,0.0,0.0,0.0,51.63333333333333,47.63333333333333,4.0
BTC:1658275200,2,2.814122137404591,1.757251908396952,1.056870229007639,0.7626632649770922,-0.34362007322557264,1.106283338202665,-5.2516,1.01385,-6.2654499999999995,,,,11.688021808264093,10.298359331395435,1.3896624768686578,0.5416159468947114,0.5170251204740915,0.024590826420619827,1.2343170808930952,0.6148310553150318,0.6194860255780634,,,,0.0,0.0,0.0,6.166666666666667,2.8833333333333333,3.2833333333333337
BTC:1659564000,1,0.8935176871969849,0.8694559166816295,0.024061770515355407,-0.7352725091141766,-0.8207982365487733,0.08552572743459663,-6.680899999999999,3.5279000000000003,-10.2088,,,,4.0100533162584995,10.68434519292012,-6.67429187666162,0.5646967649550171,0.59272005195813,-0.028023287003112962,1.7663968793819322,1.497327083335446,0.2690697960464863,,,,0.0,0.0,0.0,37.083333333333336,31.083333333333332,6.0000000000000036
BTC:1660003200,3,3.665044910179678,3.0135978043912472,0.6514471057884306,2.097928617685915,0.19249607810530445,1.9054325395806104,-0.828,-3.306433333333334,2.478433333333334,,,,-26.017339896920376,-8.890744746264813,-17.12659515065556,0.5525954116296956,0.5523959777929953,0.00019943383670029124,2.334055520428657,2.107085168957308,0.22697035147134903,,,,0.0,0.0,0.0,59.5,52.07777777777778,7.422222222222217
BTC:1660244400,1,5.3344182262002455,4.840520748576147,0.49389747762409897,0.8270913124416478,0.4312466018739757,0.3958447105676721,-3.3775,1.9175,-5.295,,,,-13.449422075507677,0.7812959317856638,-14.23071800729334,0.5496828998181843,0.522631558665521,0.027051341152663277,1.1469927835035214,1.6207808823735783,-0.4737880988700569,,,,0.0,0.0,0.0,34.31666666666667,32.4,1.9166666666666714
BTC:1673686800,2,1.9502796768178992,1.3001864512119345,0.6500932256059646,0.477359175222524,0.15393213658064764,0.3234270386418764,10.044400000000001,9.6242,0.42020000000000124,-0.7957357039004798,-0.8383972301040488,0.042661526203569,3.4913667642384683,3.6490356749179886,-0.15766891067952038,0.5446726321657167,0.5129100131886297,0.03176261897708699,1.5544257637959487,1.5999419949846267,-0.04551623118867809,-0.5354496105575165,-0.5113104748370529,-0.024139135720463556,0.0,0.0,0.0,4.566666666666666,3.0583333333333336,1.5083333333333329
BTC:1674057600,6,5.978848991637942,2.9911460895228585,2.987702902115083,-1.2427606673404492,1.9335539671098276,-3.176314634450277,0.734,-3.823833333333333,4.557833333333333,-2.4137069328160843,-1.1560057408690927,-1.2577011919469916,19.484361549298068,-4.164368795485235,23.648730344783303,0.55837863512966,0.5514844863993592,0.006894148730300809,4.240877703196807,2.4247825868085924,1.8160951163882144,,-1.7122173176945659,,0.0,0.0,0.0,65.21666666666667,51.463888888888896,13.752777777777773
BTC:1674694800,1,1.7966413618587502,0.37589141936968296,1.4207499424890673,5.697495383073899,4.4434547592039255,1.2540406238699733,1.1124,28.580099999999998,-27.467699999999997,1.4437032001047845,1.6197450089845855,-0.17604180887980103,-24.097679944418825,-25.22746581668067,1.129785872261845,0.5469537125421563,0.5320720761086186,0.014881636433537682,2.9165772097279863,2.5303668242766615,0.3862103854513248,-2.8460745351507635,-1.4104478562710232,-1.4356266788797403,0.0,0.0,0.0,89.8,81.06666666666666,8.733333333333334
BTC:1674781200,4,1.8521337946943517,1.1467704728950403,0.7053633217993114,2.2434530046008927,1.562215509900867,0.6812374947000257,7.4151,-2.1929,9.608,-0.8473108439629229,-0.33654008685934655,-0.5107707571035763,-11.423794450538171,-4.8282754781807515,-6.59551897235742,0.5938174671604779,0.5394443119070012,0.054373155253476746,1.2280706087112514,1.2769075866369457,-0.0488369779256943,-1.85350330038757,-1.5853500217448868,-0.26815327864268323,0.0,0.0,0.0,18.116666666666667,12.216666666666667,5.9
BTC:1675069200,2,1.8872041420118342,1.1029955621301757,0.7842085798816585,-0.603658458721023,-0.3888853834668757,-0.2147730752541473,-7.4826999999999995,0.6305500000000002,-8.113249999999999,-0.47652579508655757,-1.1582969651701969,0.6817711700836393,-9.74603302793966,-3.2071854369626394,-6.538847590977021,0.5676256645045274,0.5234191728885369,0.04420649161599055,3.669932271087476,2.7046430057168562,0.96528926537062,-0.9896262287127645,-1.853623585180094,0.8639973564673294,0.0,0.0,0.0,62.9,59.858333333333334,3.0416666666666643
