ts,direction,entry,stop,r,size,eff_r
2021-01-29 12:00:00+00:00,long,36760.96,32682.080359520663,-0.740874944680856,1.0,-0.740874944680856
2021-04-11 03:15:00+00:00,long,60332.05,58938.3367789988,-0.2874678118588774,0.0,-0.0
2021-04-17 00:00:00+00:00,short,61713.0,62985.10659200487,0.9593902017884728,0.0,0.0
2021-05-04 22:45:00+00:00,short,54130.08,56114.21797988743,-1.0491065364342913,1.0,-1.0491065364342913
2021-05-11 16:00:00+00:00,short,56223.8,58203.209776433214,0.4327538290447084,0.0,0.0
2021-05-13 22:15:00+00:00,short,49372.14,52338.54186340426,-0.1983682181633688,1.0,-0.1983682181633688
2021-05-14 10:45:00+00:00,short,50760.0,52527.80644429875,1.278376378414242,0.0,0.0
2021-05-20 05:00:00+00:00,short,39505.21,43588.49788860978,-0.0581931483848676,1.0,-0.0581931483848676
2021-06-14 18:00:00+00:00,long,40103.74,38639.423726132205,0.7813020236250515,0.0,0.0
2021-06-15 06:45:00+00:00,long,40265.01,39218.692794683215,0.0315420427307259,1.0,0.0315420427307259
2021-06-20 02:30:00+00:00,short,35332.02,36433.27737133703,0.2608131136968319,1.0,0.2608131136968319
2021-06-22 17:00:00+00:00,long,32022.4,28784.77952758775,0.4924974046794217,1.0,0.4924974046794217
2021-06-23 05:00:00+00:00,long,33680.5,31810.433403867493,-0.6162320114071194,1.0,-0.6162320114071194
2021-06-23 18:15:00+00:00,long,33288.03,31776.7974696799,1.0316953312735773,0.0,0.0
2021-06-29 20:00:00+00:00,long,36391.03,35377.28001900314,-1.0646153935663578,1.0,-1.0646153935663578
2021-07-05 17:45:00+00:00,short,33680.02,34668.705170798734,-1.0613178368509608,0.0,-0.0
2021-07-21 02:30:00+00:00,short,29816.4,30431.590865367933,-1.0872404371087343,0.0,-0.0
2021-07-22 17:15:00+00:00,long,32381.14,31608.549139249026,-0.4386746843867227,0.0,-0.0
2021-07-24 17:15:00+00:00,long,34271.82,33559.594371355015,0.1172391453518224,0.0,0.0
2021-07-26 17:00:00+00:00,long,38908.28,37261.64591336184,-1.042532159736221,1.0,-1.042532159736221
2021-08-06 18:00:00+00:00,long,42638.78,40698.25006504812,0.3119200508571441,0.0,0.0
2021-08-07 01:00:00+00:00,long,42821.59,41499.42794636248,1.0397599403324749,1.0,1.0397599403324749
2021-09-06 02:15:00+00:00,long,51750.0,50857.46945333635,0.926276420555442,1.0,0.926276420555442
2021-09-08 07:15:00+00:00,short,45310.01,47345.5976616222,-0.486605434231522,1.0,-0.486605434231522
2021-09-20 04:15:00+00:00,short,45611.97,47092.5311186364,2.149305701699639,0.0,0.0
2021-10-01 20:00:00+00:00,long,47852.93,46418.539963456606,0.0548070775710673,1.0,0.0548070775710673
2021-10-02 03:15:00+00:00,long,47539.79,46414.12611232583,-0.0345321746798851,1.0,-0.0345321746798851
2021-10-02 10:30:00+00:00,long,47611.16,46870.40127895248,0.2035749397411746,0.0,0.0
2022-01-05 03:00:00+00:00,short,46433.83,47365.47628276696,3.3458718868518678,1.0,3.3458718868518678
2022-01-08 08:00:00+00:00,short,42114.75,42886.461208372864,0.2712458335824235,1.0,0.2712458335824235
2022-01-10 12:00:00+00:00,long,41375.55,40558.625989617845,-1.0911663619302368,1.0,-1.0911663619302368
2022-01-12 18:45:00+00:00,long,43570.0,42546.60017386592,-0.92718991714552,0.0,-0.0
2022-01-13 07:30:00+00:00,long,43594.04,43023.831368464,-1.1376150195913852,0.0,-0.0
2022-02-01 01:45:00+00:00,long,38223.22,37431.66340462621,0.1680084592526198,0.0,0.0
2022-02-24 21:45:00+00:00,short,38384.1,40923.928963165854,-0.2483597868786144,1.0,-0.2483597868786144
2022-03-01 13:45:00+00:00,long,44389.5,42782.34925985218,-0.589553348252108,0.0,-0.0
2022-03-01 19:45:00+00:00,long,43693.7,42275.69800242304,-0.0578621610831271,0.0,-0.0
2022-03-09 13:30:00+00:00,long,41809.8,40532.351538363226,-1.058912466733546,0.0,-0.0
2022-03-23 02:45:00+00:00,long,42300.9,41390.17645814683,0.6026618998814571,0.0,0.0
2022-04-22 00:00:00+00:00,long,40409.4,39221.43340774299,-1.0612280854310947,1.0,-1.0612280854310947
2022-04-28 15:45:00+00:00,long,39428.2,37868.2815367969,-0.3276265856553677,0.0,-0.0
2022-05-05 23:00:00+00:00,short,36458.3,37821.02597177999,0.2576270411441802,0.0,0.0
2022-05-06 13:45:00+00:00,short,35727.1,37217.8806823789,-0.1501956542948342,1.0,-0.1501956542948342
2022-05-08 10:45:00+00:00,short,34730.0,35452.069486433575,2.573140168513297,0.0,0.0
2022-05-13 13:00:00+00:00,long,30504.1,29300.030308712845,-1.045601496655318,1.0,-1.045601496655318
2022-05-27 01:30:00+00:00,short,29042.7,29870.63418560436,0.5487430618272688,0.0,0.0
2022-06-11 16:00:00+00:00,short,28384.9,29304.746742234747,0.2184137539172027,1.0,0.2184137539172027
