ts,direction,entry,stop,r,size,eff_r
2021-03-25 22:00:00+00:00,short,1614.23,1665.5446154725494,-1.0566235169696294,1.0,-1.0566235169696294
2021-04-08 03:30:00+00:00,short,1997.93,2064.198736614664,-1.0542680332192134,0.5,-0.5271340166096067
2021-04-25 07:30:00+00:00,short,2191.57,2282.9695592938024,-1.0431602299888514,0.5,-0.5215801149944257
2021-05-07 17:00:00+00:00,short,3556.22,3691.2337998325625,-1.0474114202247349,0.5,-0.5237057101123674
2021-06-24 10:15:00+00:00,long,1940.86,1871.029299288644,-0.7644710343185592,0.5,-0.3822355171592796
2021-07-06 07:45:00+00:00,short,2336.18,2414.2115400509497,-0.5721420334758157,0.5,-0.28607101673790786
2021-07-21 18:45:00+00:00,long,1956.28,1837.1936550564635,0.538673817140122,0.5,0.269336908570061
2021-07-26 02:00:00+00:00,long,2297.7,2159.1343028617243,-1.0298476468954123,1.0,-1.0298476468954123
2022-01-07 14:00:00+00:00,short,3199.81,3384.9143179009,-0.0438653084491913,0.5,-0.02193265422459565
2022-01-07 20:45:00+00:00,short,3214.54,3363.6216363430294,1.192459597042196,0.5,0.596229798521098
2022-01-08 09:30:00+00:00,short,3234.25,3315.023986268654,1.507024174777413,1.0,1.507024174777413
2022-01-22 11:45:00+00:00,short,2430.11,2675.149217742156,-0.293235501900798,1.0,-0.293235501900798
2022-01-25 06:15:00+00:00,long,2371.32,2276.761548609047,0.9260052667103812,0.5,0.4630026333551906
2022-02-24 18:00:00+00:00,short,2452.3,2597.074518351291,-1.0304897577990164,1.0,-1.0304897577990164
2022-02-26 21:30:00+00:00,long,2830.01,2745.6148543456725,-1.0603591351197408,0.5,-0.5301795675598704
2022-03-05 03:15:00+00:00,short,2621.54,2694.044837106081,-0.5353956170290356,0.5,-0.2676978085145178
2022-03-31 17:15:00+00:00,short,3281.71,3401.8412389658856,-1.0491718727855397,0.5,-0.5245859363927698
2022-04-01 00:00:00+00:00,short,3292.42,3383.007528012359,-1.0654213237741903,0.5,-0.5327106618870951
2022-04-01 06:15:00+00:00,short,3258.3,3335.863910413012,-1.07561428980012,0.5,-0.53780714490006
2022-04-11 16:45:00+00:00,short,3018.14,3131.390961827225,-0.2395798813734887,0.5,-0.11978994068674435
2022-05-26 12:00:00+00:00,short,1829.36,1912.7100852483957,0.6101631671813894,0.5,0.3050815835906947
2022-05-27 00:00:00+00:00,short,1794.36,1874.270396237828,0.660491681744594,1.0,0.660491681744594
2022-05-27 06:00:00+00:00,short,1744.66,1842.8211855872453,-0.2736355295558912,1.0,-0.2736355295558912
2022-06-11 10:00:00+00:00,short,1598.36,1681.8999466219568,1.6131558308247695,0.5,0.8065779154123848
2022-06-25 04:15:00+00:00,long,1214.77,1169.6651720650932,0.3736498900809916,1.0,0.3736498900809916
2022-07-17 13:30:00+00:00,long,1351.44,1284.824160015189,1.8849482049409003,1.0,1.8849482049409003
2022-07-18 13:30:00+00:00,long,1479.44,1400.7128884774118,0.9451255934704412,1.0,0.9451255934704412
2022-07-19 22:15:00+00:00,long,1561.98,1483.3162282671697,-1.0357415356277226,1.0,-1.0357415356277226
2022-07-28 23:00:00+00:00,long,1735.57,1652.5456769360378,0.303717911443538,0.5,0.151858955721769
2022-07-29 05:00:00+00:00,long,1724.09,1658.6521649942915,-1.0474245824258903,1.0,-1.0474245824258903
