asset,slot,year,hours,basis_ann_mean,basis_ann_median,basis_ann_sd,basis_ann_p05,basis_ann_p95,raw_basis_median,frac_ge_8pct,frac_ge_6pct,frac_ge_5pct,frac_le_m8pct
BTC,CURRENT_QUARTER,2021,7956,0.1765793048841213,0.13299992794952398,1.615087484617466,0.034816979594445296,0.49643057377187283,0.011406187805912564,0.709904474610357,0.8352187028657617,0.8834841628959276,0.0032679738562091504
BTC,CURRENT_QUARTER,2022,8756,0.0365251839603806,0.02712003252603441,0.47669001153559115,-0.022536439910383614,0.08487916336979177,0.003089623815491175,0.0613293741434445,0.10861123800822294,0.1925536774783006,0.010849703060758336
BTC,CURRENT_QUARTER,2023,8756,0.10662985299980231,0.05970577495462811,3.883584771648565,0.027172386170376726,0.11614467342716939,0.007815625578765036,0.3000228414801279,0.49611694837825493,0.69792142530836,0.004111466423024212
BTC,CURRENT_QUARTER,2024,8780,0.17508044693336655,0.11371908105227616,3.08773141109334,0.06736628984795807,0.2673136142266251,0.014631414050413228,0.871867881548975,0.9777904328018223,0.9907744874715262,0.0025056947608200456
BTC,CURRENT_QUARTER,2025,8756,0.09898247410726657,0.06451986134637921,1.5987481215565045,0.04272346983868192,0.12770913330473005,0.007573537999230395,0.2639333028780265,0.5997030607583371,0.8266331658291457,0.00022841480127912289
BTC,CURRENT_QUARTER,2026,6031,0.06961807835891562,0.03915976031946844,1.519089051956505,0.010500943250804601,0.059263090546498504,0.003638837896646756,0.03200132647985409,0.049079754601226995,0.11474050737854419,0.000497429945282706
BTC,NEXT_QUARTER,2021,6977,-0.06950284908149718,-0.09563957902785114,0.7233671518475554,-0.8798653354753512,1.7289092854543902,-0.03976320208262011,0.2923892790597678,0.31575175576895514,0.3293679231761502,0.5191342984090583
BTC,NEXT_QUARTER,2022,5523,0.18344492426760617,0.08907736695715501,0.32653528563309303,-0.28165909895802105,0.8174920255785014,0.037682075595943595,0.5114973746152454,0.543364113706319,0.5602027883396705,0.17780191924678618
BTC,NEXT_QUARTER,2023,4559,0.06891982498374993,0.06391693635606815,0.04842892256845326,0.0009123268717144174,0.15150794381370333,0.024617373807811576,0.3889010747971046,0.5360824742268041,0.668567668348322,0.018205746874314543
BTC,NEXT_QUARTER,2024,8784,0.12525240192083034,0.11768781137620803,0.04183983839287202,0.07380859369598475,0.22004410565761284,0.045467790299120917,0.893556466302368,1.0,1.0,0.0
BTC,NEXT_QUARTER,2025,8760,0.07100311135247811,0.06773518333146733,0.021181898665808555,0.04510294025985805,0.12285023957103486,0.025974710028533576,0.22511415525114156,0.6832191780821918,0.8742009132420091,0.0
BTC,NEXT_QUARTER,2026,6033,0.03467446033578459,0.034454125244564135,0.0099501180544749,0.019150645856810207,0.05044780363444138,0.013415396241770784,0.0,0.0001657550140891762,0.05834576495939002,0.0
ETH,CURRENT_QUARTER,2021,7933,0.20572517003062943,0.14322735962573754,1.4242805916089745,0.033337482514711594,0.5580414377372892,0.012649881021429301,0.7293583764023699,0.834236732635825,0.8865498550359259,0.006807008697844447
ETH,CURRENT_QUARTER,2022,8756,0.01223963943513326,0.011716966650246852,0.5734167954612789,-0.13763409585676892,0.07885851768726515,0.000930034204471747,0.04693924166285975,0.09639104613978985,0.13407948835084513,0.09958885335769758
ETH,CURRENT_QUARTER,2023,8756,0.04183386664693098,0.04979342844849709,1.1232991808591493,0.008082643331809924,0.10701013265741012,0.006488243709169679,0.15566468707172224,0.3438784833257195,0.49566011877569666,0.008222932846048425
ETH,CURRENT_QUARTER,2024,8780,0.15027466293544578,0.11475132544297759,0.812652314350556,0.06266131084390235,0.28382981029045906,0.014570781281927426,0.8076309794988611,0.9618451025056948,0.9899772209567198,0.003416856492027335
ETH,CURRENT_QUARTER,2025,8756,0.07977848340301139,0.060384722531827945,1.0321544852295585,0.036362086655502016,0.12863135579312557,0.006958191441828236,0.22224760164458657,0.5055961626313386,0.6740520785746916,0.00045682960255824577
ETH,CURRENT_QUARTER,2026,6030,0.039777063166167755,0.025894688998533887,0.7130334481182168,0.008652523253800838,0.07380633927624258,0.0028047010730236025,0.04361525704809287,0.06500829187396352,0.09270315091210614,0.0001658374792703151
ETH,NEXT_QUARTER,2021,6977,-0.6552905928883073,-0.6977116862058818,0.5093602573532247,-1.5096706802178435,0.1561829888349215,-0.24297431727964036,0.0997563422674502,0.11437580622043858,0.12412211552243084,0.8318761645406335
ETH,NEXT_QUARTER,2022,5523,0.09643113706997647,0.008618137703280088,0.7747886367278782,-1.0230882432322348,1.4786287840098689,0.0026208647205235663,0.38982437081296395,0.412094875973203,0.42151004888647475,0.36990765888104293
ETH,NEXT_QUARTER,2023,4559,0.04356330061399457,0.04205746435846019,0.04765763733107105,-0.04947338025932729,0.1142113701794706,0.017437690514613604,0.13248519412151788,0.3198069752138627,0.3638955911384075,0.02719894713753016
ETH,NEXT_QUARTER,2024,8784,0.1248539915175193,0.11577826508163788,0.04569177761743892,0.06505271325392745,0.23131457670284386,0.0452050490107489,0.8497267759562842,0.98816029143898,1.0,0.0
ETH,NEXT_QUARTER,2025,8760,0.06438998153826175,0.06105523150926154,0.022393291306557872,0.03504414227474644,0.11913480401408351,0.022794461924549803,0.1665525114155251,0.5158675799086758,0.7735159817351598,0.0
ETH,NEXT_QUARTER,2026,6032,0.026807343757573383,0.026234944125914882,0.006505116924674848,0.017270150360661242,0.039691447267730634,0.010147069168438513,0.0,0.0,0.00016578249336870026,0.0
