asset,slot,year,hours,basis_ann_mean,basis_ann_median,basis_ann_sd,basis_ann_p05,basis_ann_p95,frac_ge_8pct,frac_ge_6pct,frac_ge_5pct,frac_le_m8pct
BTC,CURRENT_QUARTER,2021,7288,0.18140493937642854,0.13338919171682562,0.14421818755342466,0.03729562042099245,0.48556207649457944,0.7125411635565313,0.8401481888035126,0.8903677277716795,0.00027442371020856203
BTC,CURRENT_QUARTER,2022,8088,0.028071210211692194,0.02665809914493732,0.02511865126535429,-0.018247621466021283,0.07329108646002738,0.03733926805143423,0.07987141444114738,0.1632047477744807,0.0
BTC,CURRENT_QUARTER,2023,8088,0.06564795957658862,0.059047715749414476,0.026014878949866625,0.02969961749034684,0.10911285203492317,0.2858555885262117,0.48714144411473786,0.7009149357072205,0.0
BTC,CURRENT_QUARTER,2024,8112,0.12859474854903777,0.11247194064158722,0.058319197322737444,0.06890974919429053,0.2543509968195536,0.8748767258382643,0.986439842209073,0.9996301775147929,0.0
BTC,CURRENT_QUARTER,2025,8088,0.06861347549701224,0.06336740010437569,0.022678762780640967,0.04284418308347333,0.12129829705617502,0.22712660731948567,0.5809841740850643,0.820969337289812,0.0
BTC,CURRENT_QUARTER,2026,5697,0.03507507736378947,0.03842270660964233,0.013806019663079134,0.010482305652279589,0.051854999548808116,0.0019308407934000352,0.01193610672283658,0.07811128664209233,0.0
BTC,NEXT_QUARTER,2021,6977,-0.06950284908149718,-0.09563957902785114,0.7233671518475554,-0.8798653354753512,1.7289092854543902,0.2923892790597678,0.31575175576895514,0.3293679231761502,0.5191342984090583
BTC,NEXT_QUARTER,2022,5523,0.18344492426760617,0.08907736695715501,0.32653528563309303,-0.28165909895802105,0.8174920255785014,0.5114973746152454,0.543364113706319,0.5602027883396705,0.17780191924678618
BTC,NEXT_QUARTER,2023,4559,0.06891982498374993,0.06391693635606815,0.04842892256845326,0.0009123268717144174,0.15150794381370333,0.3889010747971046,0.5360824742268041,0.668567668348322,0.018205746874314543
BTC,NEXT_QUARTER,2024,8784,0.12525240192083034,0.11768781137620803,0.04183983839287202,0.07380859369598475,0.22004410565761284,0.893556466302368,1.0,1.0,0.0
BTC,NEXT_QUARTER,2025,8760,0.07100311135247811,0.06773518333146733,0.021181898665808555,0.04510294025985805,0.12285023957103486,0.22511415525114156,0.6832191780821918,0.8742009132420091,0.0
BTC,NEXT_QUARTER,2026,6033,0.03467418208520602,0.034454125244564135,0.009949919226955354,0.019150645856810207,0.05044780363444138,0.0,0.0001657550140891762,0.05834576495939002,0.0
ETH,CURRENT_QUARTER,2021,7265,0.19365629486634378,0.1438782500196958,0.16636573126970136,0.03859091676620377,0.5519282608156785,0.7336545079146594,0.8425326909841707,0.8982794218857536,0.0002752924982794219
ETH,CURRENT_QUARTER,2022,8088,0.002448861252839356,0.011926585686573971,0.05667518869309475,-0.1346513241928554,0.07245521262009023,0.03696834817012858,0.08667161226508407,0.12475272007912958,0.09891196834817013
ETH,CURRENT_QUARTER,2023,8088,0.052698068908760005,0.04944643334356298,0.026538049747361302,0.014851688884665523,0.0962661607586168,0.13056379821958458,0.32851137487636006,0.4889960435212661,0.0
ETH,CURRENT_QUARTER,2024,8112,0.13012931818856072,0.11348851190543796,0.06433398630539884,0.06322740161360127,0.2619564786512042,0.8023915187376726,0.9660996055226825,0.9958086785009862,0.0
ETH,CURRENT_QUARTER,2025,8088,0.06275795526814472,0.05807948141609842,0.023194810253845045,0.036098117314492875,0.11436850520467634,0.17049950544015827,0.46797725024727993,0.6486152324431256,0.0
ETH,CURRENT_QUARTER,2026,5696,0.026840125005605252,0.024785533973412738,0.013137926023604576,0.008405180223752117,0.04860628244084829,0.0031601123595505617,0.015098314606741573,0.042485955056179775,0.0
ETH,NEXT_QUARTER,2021,6977,-0.6552905928883073,-0.6977116862058818,0.5093602573532247,-1.5096706802178435,0.1561829888349215,0.0997563422674502,0.11437580622043858,0.12412211552243084,0.8318761645406335
ETH,NEXT_QUARTER,2022,5523,0.09643113706997647,0.008618137703280088,0.7747886367278782,-1.0230882432322348,1.4786287840098689,0.38982437081296395,0.412094875973203,0.42151004888647475,0.36990765888104293
ETH,NEXT_QUARTER,2023,4559,0.04356330061399457,0.04205746435846019,0.04765763733107105,-0.04947338025932729,0.1142113701794706,0.13248519412151788,0.3198069752138627,0.3638955911384075,0.02719894713753016
ETH,NEXT_QUARTER,2024,8784,0.1248539915175193,0.11577826508163788,0.04569177761743892,0.06505271325392745,0.23131457670284386,0.8497267759562842,0.98816029143898,1.0,0.0
ETH,NEXT_QUARTER,2025,8760,0.06438998153826175,0.06105523150926154,0.022393291306557872,0.03504414227474644,0.11913480401408351,0.1665525114155251,0.5158675799086758,0.7735159817351598,0.0
ETH,NEXT_QUARTER,2026,6032,0.026807343757573383,0.026234944125914882,0.006505116924674848,0.017270150360661242,0.039691447267730634,0.0,0.0,0.00016578249336870026,0.0
