asset,entry_utc,exit_utc,script_net,manual_net,abs_diff,script_gross,manual_gross,script_funding,manual_funding,settlements_found,settlements_expected
BTC,2021-02-03 08:00,2021-03-26 07:00,-0.0291692878324345,-0.029169287832434596,9.71445146547012e-17,0.1054316899555313,0.10543168995553134,-0.1320714790367275,-0.1320714790367275,152,152
BTC,2023-02-20 11:00,2023-03-31 07:00,-0.0027582809471038,-0.0027582809471038004,4.336808689942018e-19,0.005968854309344,0.00596885430934405,-0.0066071877952192,-0.006607187795219295,116,116
BTC,2024-09-27 14:00,2024-12-27 07:00,-0.0236875829830627,-0.023687582983062734,3.469446951953614e-17,0.0195912276011244,0.019591227601124417,-0.0408324523320811,-0.04083245233208113,272,272
ETH,2026-06-16 15:00,2026-06-26 07:00,0.003791498672849,0.0037914986728490043,4.336808689942018e-18,0.0060682268540088,0.006068226854008872,-0.0003907810943017,-0.0003907810943017048,29,29
