asset,corr_basis_funding,n_settlements_hot,mean_carry_hot,ci_lo,ci_hi,p_mean_carry_gt_0
BTC,0.7743431642733195,2098,-0.04165690794463165,-0.08211983727036207,-0.009507786439487681,0.0032
ETH,0.7279298833761759,1816,-0.06893332128215346,-0.11933727015086108,-0.028738046028159544,0.0
