month,QTR_END,NFP_INCREMENTAL,WKND_FADE,HIGH52,EMA_ETH
2021-01,0.000000,-0.011171,0.027835,0.213011,0.000000
2021-02,0.000000,-0.009941,-0.029782,0.050819,0.000000
2021-03,0.001663,-0.005832,-0.090553,-0.016901,0.000000
2021-04,0.000000,0.002846,0.115949,-0.118591,0.000000
2021-05,0.000000,0.007354,0.106556,0.000000,0.000000
2021-06,-0.060978,0.004177,-0.034674,0.000000,0.000000
2021-07,0.000000,0.004917,-0.019946,0.000000,-0.294553
2021-08,0.000000,0.029377,-0.042381,0.000000,0.257852
2021-09,0.145357,-0.005009,0.083557,0.000000,0.000000
2021-10,0.000000,0.006347,-0.050072,-0.055134,0.000000
2021-11,0.000000,-0.017831,-0.033585,-0.048387,0.000000
2021-12,0.001708,-0.017414,0.073302,0.000000,0.000000
2022-01,0.000000,-0.006098,0.057792,0.000000,0.505781
2022-02,0.000000,0.053502,0.017219,0.000000,0.000000
2022-03,-0.028506,-0.016841,-0.061680,0.000000,0.000000
2022-04,0.000000,0.022454,-0.073678,0.000000,0.000000
2022-05,0.000000,0.005384,-0.142932,0.000000,0.000000
2022-06,-0.045043,-0.009065,-0.187266,0.000000,0.000000
2022-07,0.000000,-0.009990,-0.033171,0.000000,0.000000
2022-08,0.000000,-0.004619,0.014817,0.000000,0.000000
2022-09,-0.028997,0.002628,-0.029574,0.000000,0.000000
2022-10,0.000000,-0.003178,0.039228,0.000000,0.000000
2022-11,0.000000,0.001923,-0.043549,0.000000,0.000000
2022-12,0.002132,0.001146,-0.012419,0.000000,0.000000
2023-01,0.000000,0.002129,-0.016550,0.000000,0.048991
2023-02,0.000000,0.009250,0.016162,0.000000,0.000000
2023-03,0.003314,-0.004788,-0.112683,0.000000,0.000000
2023-04,0.000000,-0.000109,-0.025818,0.000000,0.000000
2023-05,0.000000,0.004399,-0.055083,0.000000,0.000000
2023-06,0.003774,0.005152,0.021772,-0.021713,0.000000
2023-07,0.000000,-0.001621,0.008766,-0.082286,0.000000
2023-08,0.000000,-0.000653,-0.007149,0.000000,-0.154864
2023-09,0.020036,-0.009070,-0.047588,0.000000,0.000000
2023-10,0.000000,0.013277,-0.141966,0.032501,0.000000
2023-11,0.000000,0.003780,-0.063459,0.009115,0.303765
2023-12,0.064802,-0.000591,-0.135782,0.098254,0.000000
2024-01,0.000000,-0.012849,-0.049795,-0.095771,0.000000
2024-02,0.000000,0.011038,-0.108140,0.219057,0.000000
2024-03,-0.060984,-0.020917,-0.009966,0.120807,0.000000
2024-04,0.000000,0.008431,-0.090123,0.000000,0.000000
2024-05,0.000000,-0.001787,0.041230,0.000000,0.000000
2024-06,0.017037,-0.007714,-0.103566,0.000000,0.000000
2024-07,0.000000,0.013120,-0.031999,0.000000,0.000000
2024-08,0.000000,-0.029609,-0.050802,0.000000,-0.319701
2024-09,-0.077297,-0.034915,-0.037367,0.000000,0.000000
2024-10,0.000000,0.002959,0.042554,0.000000,0.000000
2024-11,0.000000,-0.027258,-0.146255,0.250059,-0.159825
2024-12,0.043384,0.005483,-0.073984,-0.025393,0.000000
2025-01,0.000000,0.008734,-0.081692,-0.034998,0.000000
2025-02,0.000000,-0.007305,0.075992,0.000000,0.023969
2025-03,-0.000267,-0.009406,0.043327,0.000000,0.000000
2025-04,0.000000,-0.007512,-0.014699,0.000000,0.000000
2025-05,0.000000,0.003967,0.005506,0.006316,0.282681
2025-06,0.002747,0.007743,0.046893,0.000000,0.000000
2025-07,0.000000,-0.005476,0.007002,0.006976,0.000000
2025-08,0.000000,0.006995,-0.022038,-0.024517,0.000000
2025-09,0.052590,-0.022734,-0.009342,0.000000,0.000000
2025-10,0.000000,0.013845,-0.057433,-0.088515,0.000000
2025-11,0.000000,0.002690,-0.068631,0.000000,0.283507
2025-12,0.015261,-0.001864,-0.042509,0.000000,0.000000
2026-01,0.000000,-0.001023,-0.049482,0.000000,0.000000
2026-02,0.000000,0.017648,-0.021745,0.000000,0.000000
2026-03,-0.000234,-0.012036,-0.027527,0.000000,0.000000
2026-04,0.000000,0.000527,0.030699,0.000000,0.000000
2026-05,0.000000,-0.005501,-0.034696,0.000000,0.000000
2026-06,0.019770,-0.006647,-0.045594,0.000000,0.000000
2026-07,0.000000,-0.004912,-0.013275,0.000000,0.000000
2026-08,0.000000,-0.003285,-0.032518,0.000000,0.000000
