cell,n,mean,mean_gross,sd,t,sharpe,wr,cum,n_pre,mean_pre,t_pre,sharpe_pre,n_post,mean_post,t_post,sharpe_post,dsr,dsr_z,dsr_n_trials,skew,kurt,boot_sr_p05,boot_sr_p50,boot_sr_p95,sr_needed_for_dsr95,mean_needed_pre_for_t2p5,mean_needed_post_for_t2p5,C1_t_pre_ge_2p5,C2_t_post_ge_2p5,C3_dsr_ge_0p95,PASS
QTR_END,26,0.008628789255106493,0.010428789255106494,0.050487796645272434,0.8714653384381286,0.1709084140813753,61.53846153846154,0.22434852063276883,16,0.013271449995363744,0.9425680695196561,0.23564201737991403,10,0.0012005320706948942,0.09223048622318056,0.029165840617003135,0.3601288419080841,-0.35811442577950886,5,0.7472531516421964,3.5752029894035298,-0.1630563348701516,0.1765835638453378,0.47436579705608384,0.5674895253422227,0.035200242891017496,0.032541628041237655,False,False,False,False
NFP_INCREMENTAL,81,-0.0019187818645370748,-0.00011878186453707489,0.012629217362918435,-1.3673877236081589,-0.15193196928979544,40.74074074074074,-0.15542133102750305,49,-0.0009701854116383964,-0.5414222801404899,-0.07734604002006998,32,-0.0033713201830381755,-1.4874538599688347,-0.26294717777151705,0.008692170399910881,-2.3784765886371932,5,0.7700463807330151,6.857316992722281,-0.36741780946079944,-0.1578879962076802,0.026195213109147693,0.31723628879607485,0.004479799997271307,0.005666260100176842,False,False,False,False
WKND_FADE,349,-0.005902728582730177,-0.004102728582730177,0.037729738007237223,-2.922683165604595,-0.1564476430129976,41.260744985673355,-2.060052275372832,210,-0.00573354062610564,-1.9313578110788716,-0.13327635081923664,139,-0.0061583362869830766,-2.5884842337474536,-0.21955236717157328,2.7537912305808376e-05,-4.032972083574404,5,0.03581232012025542,6.476499480476275,-0.24895802719352134,-0.15729060007407022,-0.0668641140506771,0.15210315837713684,0.007421644753261489,0.005947820935794733,False,False,False,False
HIGH52,38,0.010387071363445244,0.012187071363445245,0.07980911744162153,0.8022918961545525,0.1301489315558857,47.36842105263158,0.39470871181091927,20,-0.0017541335292156229,-0.08795299726794571,-0.019666888071597992,18,0.02387729902195732,1.4926972539937722,0.35183211685251164,0.33565846740695804,-0.42434128450315267,5,0.914765843546246,3.7754617598861286,-0.1491460847674395,0.12676600268995325,0.3695055290883708,0.4664735163632965,0.04985997020294023,0.03999019050593252,False,False,False,False
EMA_ETH,11,0.07069118122821126,0.07249118122821127,0.275928010213721,0.8497003400973788,0.25619429203094374,63.63636363636363,0.7776029935103238,6,0.11116208963416141,0.904047524296216,0.3690758562920179,5,0.022126091141071058,0.18497454519585907,0.08272313143300959,0.3524276009516851,-0.3787746656633597,5,-0.048954791917073776,1.4196974607076902,-0.24273677005236655,0.2681399729642471,0.8746111316290252,0.897279724184634,0.3074011228577253,0.2990423779342584,False,False,False,False
NFP_STANDALONE,81,-0.0011153471626017507,0.000684652837398249,0.01602354109011585,-0.6264610554534534,-0.06960678393927261,45.67901234567901,-0.09034312017074181,49,-0.0004548291287085506,-0.2047294026060474,-0.02924705751514963,32,-0.0021267654020007136,-0.7109245567450578,-0.12567489374661772,0.03623203146367249,-1.7961915199666956,5,0.2647159377862926,3.331657958439699,-0.2618050048390962,-0.07122478437593244,0.10947824721526793,0.31723628879607485,0.005554027937840468,0.007478871639130147,False,False,False,False
NFP_R4_COVERED,81,-0.000983705299443838,0.0008162947005561618,0.011112030107531127,-0.7967353948217102,-0.08852615498019002,44.44444444444444,-0.07968012925495088,49,-0.0012746727902192962,-0.8620286427268364,-0.12314694896097664,32,-0.0005381613291939178,-0.24658610207272524,-0.04359067623049555,0.02548219562988363,-1.951779482344099,5,0.3009443171848706,4.603557385562443,-0.28449894541674897,-0.08992395518740674,0.09466654805568722,0.31723628879607485,0.0036967240038195,0.005456119836745693,False,False,False,False
