,realized,cycles,unrealized,equity,ret
2020-01-01,0.0015311662815208258,22,-0.00048300940045456877,0.001048156881066257,0.001048156881066257
2020-01-02,0.0018413237754790622,26,-0.015654700384746378,-0.01228221032774649,-0.013330367208812748
2020-01-03,-0.013039767777651945,132,-0.00013269464968698193,-0.00979997237033904,0.00248223795740745
2020-01-04,0.003301941548316624,48,-0.00042968744500045076,-0.0067950236173358845,0.003004948753003155
2020-01-05,0.0010944840121472148,16,-0.00033531759599693476,-0.005606169756185153,0.0011888538611507316
2020-01-06,0.005223883236431418,75,0.0,-4.696892375679988e-05,0.005559200832428353
2020-01-07,0.008792771733931361,126,0.0,0.008745802810174562,0.008792771733931361
2020-01-08,-0.026502797704649996,215,5.312832129250011e-05,-0.017703866573182937,-0.0264496693833575
2020-01-09,0.008973718261400422,128,-0.011926730324004497,-0.02071000695707951,-0.0030061403838965717
2020-01-10,0.010071561410502295,145,0.0,0.0012882847774272812,0.021998291734506792
2020-01-11,0.005774785699433677,81,-0.008448590451380439,-0.0013855199745194807,-0.002673804751946762
2020-01-12,0.004214470267499137,59,-0.000790526694312939,0.010487014050047157,0.011872534024566637
2020-01-13,0.0025772774706797007,36,-0.0032167517210363516,0.010638066494003444,0.00015105244395628714
2020-01-14,0.011934659948956424,173,0.0,0.02578947816399622,0.015151411669992777
2020-01-15,0.004466727425473947,65,0.0,0.03025620558947017,0.004466727425473948
2020-01-16,0.008184631340825591,119,-0.00017261357458357208,0.03826822335571219,0.008012017766242024
2020-01-17,0.008533457818992552,121,-0.0017388125554085546,0.04523548219387976,0.006967258838167567
2020-01-18,0.00487460357897798,69,-0.0016233197468782114,0.05022557858138808,0.0049900963875083235
2020-01-19,-0.014529978231418004,139,-0.00010061470259267708,0.037218305394255614,-0.013007273187132469
2020-01-20,0.004752046808660338,69,-0.0008785372414892429,0.041192429664019384,0.003974124269763769
2020-01-21,0.003312671422980763,48,0.0,0.04538363832848939,0.004191208664470009
2020-01-22,0.0021254564584800633,31,-0.00025247508690156445,0.04725661970006789,0.0018729813715784999
2020-01-23,0.005091120906187486,72,-0.016767629341007655,0.03583258635214928,-0.01142403334791861
2020-01-24,0.0034160005437730207,48,-0.013371800890312544,0.04264441534661742,0.006811828994468139
2020-01-25,0.0002873033393111102,4,-0.024024411016247374,0.0322791085599937,-0.010365306786623722
2020-01-26,0.0033909379469824743,48,-0.0020328812773855107,0.05766157624583804,0.02538246768584434
2020-01-27,0.004283096498038355,62,-0.0016334143186169927,0.06234413970264491,0.004682563456806871
2020-01-28,0.008197436504974795,119,0.0,0.0721749905262367,0.009830850823591794
2020-01-29,0.007091395109566506,101,-0.003381996855612221,0.07588438878019099,0.003709398253954291
2020-01-30,0.007664876851002633,110,-0.00020857006156086707,0.08672269242524497,0.010838303645053976
2020-01-31,0.005822353215541403,83,-0.00548040464791682,0.08727321105443042,0.0005505186291854536
2020-02-01,0.00376596816280468,54,-0.003933645572971007,0.09258593829218092,0.005312727237750503
2020-02-02,0.004413801022900762,63,-0.00683943153143914,0.09409395335661355,0.0015080150644326273
2020-02-03,0.005798563427823034,83,-0.004360518035034048,0.10237143028084167,0.008277476924228117
2020-02-04,0.0039235649997329605,55,-0.010208172428635701,0.10044734088697299,-0.0019240893938686776
2020-02-05,0.006170560323357693,88,-0.0016820734051418368,0.11514400023382454,0.014696659346851548
2020-02-06,0.006669973414921391,95,-0.0010780595523958414,0.12241798750149192,0.007273987267667384
2020-02-07,0.003955326504981509,57,-0.00040506524724458085,0.1270463083116247,0.004628320810132772
2020-02-08,0.003186534559032614,46,-0.00026650216581746073,0.1303714059520844,0.003325097640459712
2020-02-09,0.00308924302520935,44,1.6596388152193125e-05,0.13374374753126342,0.0033723415791790112
2020-02-10,0.001777187679789133,25,-0.013279089300325626,0.12222524952257474,-0.011518498008688677
2020-02-11,0.004252432233891169,61,-0.0008122459626128448,0.13894452509417868,0.016719275571603937
2020-02-12,0.004986864414911513,73,-2.0461969777753e-05,0.14472317350192526,0.005778648407746584
2020-02-13,0.008985999324100444,130,-0.001469021211276535,0.15226061358452692,0.007537440082601654
2020-02-14,0.005232548007904795,76,6.617311434023623e-05,0.15902835591804848,0.006767742333521565
2020-02-15,0.003290873165642794,47,-0.018415164043840505,0.14383789192551055,-0.015190463992537928
2020-02-16,-0.032197474019108815,65,0.0,0.13005558195024225,-0.013782309975268303
2020-02-17,0.010212166279857519,145,-0.005973828008207694,0.13429392022189207,0.004238338271649822
2020-02-18,0.007252610988346155,104,-0.0007037748590616815,0.14681658435938424,0.012522664137492173
2020-02-19,-0.026661981858223157,114,-0.0039748178842968235,0.11688355947592594,-0.02993302488345831
2020-02-20,0.008677774410094694,123,-0.0038525464744615084,0.12568360529585595,0.008800045819930019
2020-02-21,0.005418589066447769,78,-0.001525072267036234,0.133429668569729,0.007746063273873033
2020-02-22,0.0016054897997519108,23,-0.0023600698891169105,0.13420016074740024,0.0007704921776712503
2020-02-23,0.0008930898009857078,13,0.0,0.13745332043750286,0.0032531596901026194
2020-02-24,0.006732542097564929,97,-0.002857394736859204,0.1413284677982086,0.0038751473607057385
2020-02-25,0.003182646821372111,45,-0.028512481986107823,0.11885602737033209,-0.02247244042787651
2020-02-26,-0.05210649516285037,153,-0.0025304387706830706,0.09273157542290647,-0.026124451947425617
2020-02-27,0.01219100816634371,173,-0.0037893729153626824,0.10366364944457056,0.010932074021664087
2020-02-28,-0.026981877193904633,120,0.0,0.08047114516602862,-0.023192504278541942
2020-02-29,0.0024558608292832218,36,-0.0016636172387531484,0.08126338875655868,0.0007922435905300673
2020-03-01,0.008010392778282215,116,-0.001596409192975367,0.08934098958061869,0.008077600824060005
2020-03-02,0.004837895108871979,70,-0.0002521553379426069,0.09552313854452342,0.006182148963904732
2020-03-03,0.005981651381527319,85,-0.005987018231461284,0.09576992703253207,0.00024678848800864517
2020-03-04,0.004528450506237872,64,-0.007043781176153648,0.09924161459407757,0.0034716875615455056
2020-03-05,0.0023529617328722956,34,0.0,0.10863835750310351,0.009396742909025937
2020-03-06,0.001629756179501062,23,-0.00016546610268350711,0.11010264757992107,0.0014642900768175593
2020-03-07,0.0017010209766583405,24,-0.010044981138065526,0.10192415352119738,-0.008178494058723687
2020-03-08,-0.06475074523620335,79,-0.00032893779889280706,0.04688945162416675,-0.05503470189703063
2020-03-09,-0.01975215285519855,202,0.0,0.02746623656786101,-0.019423215056305742
2020-03-10,0.007115793150920616,101,-0.01015965402865375,0.024422375690127875,-0.003043860877733135
2020-03-11,-0.026293776661981096,84,0.0,0.008288253056800528,-0.016134122633327346
2020-03-12,-0.4488423233720721,678,-4.864579881761334e-05,-0.4406027161140892,-0.4488909691708897
2020-03-13,-0.19053522371675088,1400,0.0003549929257008798,-0.6307343011063216,-0.19013158499223237
2020-03-14,-0.03330026434586025,583,-0.003948311880287935,-0.6683378702581706,-0.03760356915184904
2020-03-15,-0.029671365427638544,411,-0.006274659727109688,-0.700335583532631,-0.03199771327446044
2020-03-16,-0.07354533952475605,802,-0.0027744433177432594,-0.7703807066480206,-0.07004512311538957
2020-03-17,0.04000070200511225,553,-0.010711772629691483,-0.7383173339548565,0.03206337269316406
2020-03-18,-0.009602343524170123,425,0.0,-0.7372079048493352,0.0011094291055213645
2020-03-19,0.044297284401884005,424,-0.01179114757358924,-0.7047017680210405,0.03250613682829473
2020-03-20,-0.05824312802253659,541,-0.0023171761626980814,-0.753470924632686,-0.04876915661164549
2020-03-21,-0.024503921704545975,473,-0.0006484835066893923,-0.7763061536812232,-0.022835229048537298
