,realized,cycles,unrealized,equity,ret
2020-01-01,0.00032008192319432367,22,-0.00048300940045456877,-0.0001629274772602451,-0.0001629274772602451
2020-01-02,0.000410024787604974,26,-0.015654700384746378,-0.01492459367394708,-0.014761666196686835
2020-01-03,-0.020306254021991738,132,-0.00013269464968698193,-0.01970884196087942,-0.004784248286932339
2020-01-04,0.0006595970115576971,48,-0.00042968744500045076,-0.019346237744635193,0.0003626042162442264
2020-01-05,0.00021370589031616765,16,-0.00033531759599693476,-0.01903816200531551,0.00030807573931968327
2020-01-06,0.0010951843608762689,75,0.0,-0.017607660048442306,0.0014305019568732029
2020-01-07,0.0018565484648238807,126,0.0,-0.015751111583618426,0.0018565484648238803
2020-01-08,-0.038338355395882304,215,5.312832129250011e-05,-0.054036338658208234,-0.03828522707458981
2020-01-09,0.0019273734473938522,128,-0.011926730324004497,-0.06408882385611138,-0.010052485197903145
2020-01-10,0.0020894256245693205,145,0.0,-0.05007266790753756,0.014016155948573819
2020-01-11,0.0013157177537098416,81,-0.008448590451380439,-0.05720554060520816,-0.0071328726976706
2020-01-12,0.0009665027153415822,59,-0.000790526694312939,-0.048580974132799076,0.008624566472409084
2020-01-13,0.0005954636052977508,36,-0.0032167517210363516,-0.050411735554224735,-0.0018307614214256585
2020-01-14,0.0024111911922331595,173,0.0,-0.04478379264095522,0.0056279429132695125
2020-01-15,0.0008885550909230252,65,0.0,-0.0438952375500322,0.0008885550909230253
2020-01-16,0.0016338196312462227,119,-0.00017261357458357208,-0.042434031493369544,0.0014612060566626534
2020-01-17,0.0018724322120707226,121,-0.0017388125554085546,-0.0421277982621238,0.0003062332312457408
2020-01-18,0.0010761628588655202,69,-0.0016233197468782114,-0.04093614259472794,0.0011916556673958606
2020-01-19,-0.02218178231540914,139,-0.00010061470259267708,-0.06159521986585155,-0.020659077271123608
2020-01-20,0.0009536735082554956,69,-0.0008785372414892429,-0.06141946889649262,0.00017575096935892875
2020-01-21,0.0006703209836102491,48,0.0,-0.059870610671393126,0.0015488582250994948
2020-01-22,0.0004189461553672768,31,-0.00025247508690156445,-0.05970413960292741,0.00016647106846571363
2020-01-23,0.001127528071122068,72,-0.016767629341007655,-0.07509176578591144,-0.015387626182984025
2020-01-24,0.0007735932620175946,48,-0.013371800890312544,-0.07092234407319874,0.004169421712712701
2020-01-25,6.710128206303944e-05,4,-0.024024411016247374,-0.08150785291707052,-0.010585508843871785
2020-01-26,0.000748544452412721,48,-0.0020328812773855107,-0.05876777872579594,0.022740074191274585
2020-01-27,0.0008700581873022842,62,-0.0016334143186169927,-0.057498253579725135,0.0012695251460708018
2020-01-28,0.0016466177511462931,119,0.0,-0.05421822150996185,0.0032800320697632876
2020-01-29,0.0015313828398022915,101,-0.003381996855612221,-0.05606883552577177,-0.0018506140158099232
2020-01-30,0.0016094500833810587,110,-0.00020857006156086707,-0.05128595864833936,0.00478287687743241
2020-01-31,0.0012532370980493572,83,-0.00548040464791682,-0.055304556136645956,-0.004018597488306595
2020-02-01,0.0007933023471520066,54,-0.003933645572971007,-0.052964494714548144,0.0023400614220978125
2020-02-02,0.0009456798080952052,63,-0.00683943153143914,-0.05492460086492107,-0.0019601061503729256
2020-02-03,0.0012294603973316313,83,-0.004360518035034048,-0.05121622697118434,0.0037083738937367314
2020-02-04,0.0008958014862804185,55,-0.010208172428635701,-0.05616807987850557,-0.004951852907321232
2020-02-05,0.001326197642643702,88,-0.0016820734051418368,-0.046315783212368004,0.009852296666137565
2020-02-06,0.0014402589866575307,95,-0.0010780595523958414,-0.04427151037296448,0.0020442728394035256
2020-02-07,0.0008175235148057339,57,-0.00040506524724458085,-0.042780992553007484,0.001490517819956995
2020-02-08,0.0006542755132159817,46,-0.00026650216581746073,-0.04198815395836438,0.0007928385946431027
2020-02-09,0.0006670595048414126,44,1.6596388152193125e-05,-0.04103799589955332,0.0009501580588110597
2020-02-10,0.0004009349760244955,25,-0.013279089300325626,-0.05393274661200664,-0.012894750712453322
2020-02-11,0.0008944217940745639,61,-0.0008122459626128448,-0.0405714814802193,0.013361265131787342
2020-02-12,0.0009683179301863659,73,-2.0461969777753e-05,-0.038811379557197836,0.0017601019230214648
2020-02-13,0.0018296257497573173,130,-0.001469021211276535,-0.0384303130489393,0.00038106650825853877
2020-02-14,0.0010488333635715744,76,6.617311434023623e-05,-0.03584628535975096,0.002584027689188341
2020-02-15,0.0007035457199125443,47,-0.018415164043840505,-0.05362407679801915,-0.017777791438268194
2020-02-16,-0.035775702375982855,65,0.0,-0.0709846151301615,-0.017360538332142343
2020-02-17,0.0022299531457767832,145,-0.005973828008207694,-0.0747284899925924,-0.0037438748624309126
2020-02-18,0.0015274770255099964,104,-0.0007037748590616815,-0.0679309598179364,0.006797530174656008
2020-02-19,-0.03293764408865623,114,-0.0039748178842968235,-0.10413964693182776,-0.03620868711389136
2020-02-20,0.0019066474087688708,123,-0.0038525464744615084,-0.10211072811322357,0.002028918818604189
2020-02-21,0.0011247500746628643,78,-0.001525072267036234,-0.09865850383113542,0.0034522242820881482
2020-02-22,0.0003393535531127196,23,-0.0023600698891169105,-0.09915414790010338,-0.0004956440689679598
2020-02-23,0.00017745547472991448,13,0.0,-0.09661662253625655,0.0025375253638468265
2020-02-24,0.0013927712452408046,97,-0.002857394736859204,-0.09808124602787495,-0.001464623491618397
2020-02-25,0.0007054009164393711,45,-0.028512481986107823,-0.1230309323606842,-0.02494968633280925
2020-02-26,-0.06052912707199711,153,-0.0025304387706830706,-0.15757801621725656,-0.03454708385657236
2020-02-27,0.0026673983898969234,173,-0.0037893729153626824,-0.15616955197203924,0.0014084642452173168
2020-02-28,-0.03358777568371728,120,0.0,-0.18596795474039385,-0.029798402768354604
2020-02-29,0.00047411375641254205,36,-0.0016636172387531484,-0.18715745822273444,-0.0011895034823405926
2020-03-01,0.0016247099256836441,116,-0.001596409192975367,-0.18546554025127304,0.0016919179714613986
2020-03-02,0.0009844635802563786,70,-0.0002521553379426069,-0.18313682281598387,0.0023287174352891737
2020-03-03,0.0013024256281167967,85,-0.005987018231461284,-0.18756926008138575,-0.0044324372654018784
2020-03-04,0.0010052552194020714,64,-0.007043781176153648,-0.18762076780667605,-5.150772529030623e-05
2020-03-05,0.000481293270226686,34,0.0,-0.1800956933602957,0.007525074446380342
2020-03-06,0.00036360658368317323,23,-0.00016546610268350711,-0.17989755287929604,0.00019814048099967008
2020-03-07,0.0003798211751608788,24,-0.010044981138065526,-0.1893972467395172,-0.009499693860221148
2020-03-08,-0.06909969893828728,79,-0.00032893779889280706,-0.24878090233863176,-0.05938365559911457
2020-03-09,-0.03087206221927767,202,0.0,-0.27932402675901663,-0.03054312442038487
2020-03-10,0.0015557674595493409,101,-0.01015965402865375,-0.28792791332812107,-0.008603886569104435
2020-03-11,-0.03091793742894899,84,0.0,-0.3086861967284163,-0.02075828340029523
2020-03-12,-0.4861660164409388,678,-4.864579881761334e-05,-0.7949008589681728,-0.48621466223975646
2020-03-13,-0.26760448537692944,1400,0.0003549929257008798,-1.0621017056205837,-0.26720084665241095
2020-03-14,-0.06539417779458526,583,-0.003948311880287935,-1.1317991882211578,-0.06969748260057407
2020-03-15,-0.05229672358790854,411,-0.006274659727109688,-1.1864222596558882,-0.05462307143473044
2020-03-16,-0.11769512645770434,802,-0.0027744433177432594,-1.3006171697042261,-0.11419491004833793
2020-03-17,0.009558295710550105,553,-0.010711772629691483,-1.2989962033056244,0.0016209663986017642
2020-03-18,-0.03299832156737859,425,0.0,-1.3212827522433115,-0.022286548937687112
2020-03-19,0.020956326234578503,424,-0.01179114757358924,-1.3121175735823223,0.009165178660989204
2020-03-20,-0.08802491144915417,541,-0.0023171761626980814,-1.3906685136205854,-0.07855094003826313
2020-03-21,-0.05054229003554703,473,-0.0006484835066893923,-1.4395421110001236,-0.048873597379538225
2020-03-22,-0.04341121307206922,270,-0.0034504630724467174,-1.4857553036379503,-0.04621319263782664
2020-03-23,-0.0034095366165629573,441,0.0,-1.4857143771820664,4.092645588382737e-05
2020-03-24,-0.008799429483781485,342,-0.0004697493265136125,-1.4949835559923614,-0.009269178810294987
2020-03-25,-0.028681163118958228,230,0.0,-1.5231949697848062,-0.02821141379244474
2020-03-26,0.0013722460944356157,85,-0.0004902071560416017,-1.522312930846412,0.0008820389383941141
2020-03-27,-0.05526877627246141,106,-0.00015321459567084597,-1.577244714558503,-0.05493178371209084
2020-03-28,-0.03954429542720321,153,-0.0005694541161918537,-1.617205249506227,-0.03996053494772411
2020-03-29,-0.023224843497065075,84,-0.005872795466057536,-1.6457334343531578,-0.02852818484693076
2020-03-30,0.0023935696592099934,170,-0.005555266508309848,-1.6430223357362002,0.002711098616957619
2020-03-31,0.0023569877892318254,157,-0.004956139542856037,-1.6400662209815147,0.0029561147546854905
2020-04-01,-0.03245253125104381,72,0.0,-1.6675626126897023,-0.02749639170818763
2020-04-02,-0.026093752088975696,244,-0.0012122702482042895,-1.6948686350268822,-0.027306022337179936
2020-04-03,0.003069318705767221,206,-0.00887228355094582,-1.6994593296238565,-0.004590694596974254
2020-04-04,0.002845776898439161,189,-0.0011910502577635097,-1.688932319432235,0.0105270101916215
2020-04-05,0.0016862214258425714,113,-0.006113686708924791,-1.6921687344575538,-0.003236415025318795
2020-04-06,0.00240748160128014,167,0.0,-1.6836475661473487,0.008521168310205107
2020-04-07,0.0021405970790130246,138,-0.010821594573273672,-1.6923285636416094,-0.008680997494260767
2020-04-08,0.0020916120309662166,131,-0.001078179051387962,-1.6804935360887576,0.011835027552851818
2020-04-09,0.0014074880051762615,87,-0.004427626184273513,-1.6824354952164668,-0.0019419591277092252
2020-04-10,-0.030003459169640194,109,-0.0074091791529820854,-1.7154205073548154,-0.03298501213834859
2020-04-11,0.000725754808146399,44,-0.00605578351297346,-1.7133413569066607,0.002079150448154765
2020-04-12,0.0013588548148679481,93,-0.010018430476530275,-1.7159451490553495,-0.002603792148688777
2020-04-13,-0.034202272686559974,155,0.0,-1.7401289912653792,-0.024183842210029782
2020-04-14,0.0008943172093362998,61,-0.0024041388317232928,-1.7416388128877662,-0.0015098216223869976
2020-04-15,-0.021746402591511473,42,-0.0014384663086786638,-1.762419542956233,-0.020780730068466813
2020-04-16,0.002766637501349643,194,0.0,-1.758214439146205,0.0042051038100281435
2020-04-17,0.0008559495938973398,65,-0.0003547521674982485,-1.7577132417198058,0.0005011974263990915
2020-04-18,0.0005634353690264304,38,-0.00032139604002478746,-1.7571164502233059,0.0005967914964999377
2020-04-19,0.0010464273994261523,65,-0.006256590556363219,-1.762005217340218,-0.004888767116912218
2020-04-20,-0.02227782963001281,122,-0.01545127875312579,-1.7934777351669935,-0.031472517826775404
2020-04-21,0.0016224465766444993,100,-0.01291741321322645,-1.7893214230504495,0.004156312116543992
2020-04-22,0.0008165775789267802,55,0.0,-1.7755874322582963,0.013733990792153206
