phase_hour,n,mean_net_pct,worst_pct,median_init_stop_pct,cagr_pct,mtm_maxdd_pct,sharpe,mar,days,total_pct
0,21,14.459981156496216,-10.601103433837057,10.0,35.959093985404245,-48.069243137263356,1.0170444611775098,0.7480686534364985,2400,652.6699809389253
1,19,15.490053021105592,-10.084496000000009,10.0,33.061104086358384,-41.70785739046355,0.99052336364088,0.7926828697251124,2398,552.2904897419041
2,19,15.248189686040895,-10.724574189674588,10.0,38.15887289559527,-41.55554190791078,1.055993844284838,0.9182619487951162,2098,540.2318254089561
3,22,14.29158241399749,-10.894969987854289,9.999999999999998,43.95994947748103,-41.568022644215375,1.091441848368855,1.0575424733030576,1989,627.3083664304031
4,20,14.341392672859062,-10.145838000000008,10.000000000000002,40.55071239780346,-35.961913113709166,1.124526984625848,1.1276016453736712,1989,538.3185684968377
5,21,11.987765940161266,-10.145838000000008,10.0,28.29981400429764,-37.55711635514852,0.8608758747693124,0.7535140274532327,2097,318.1722180115937
6,22,10.978945313864092,-10.145838000000008,10.000000000000002,26.959083207054046,-37.73736739441756,0.8351923448670184,0.7143869609474154,2097,293.6969570773209
7,24,11.208332365403669,-10.16961116627974,9.999999999999996,28.066840140797055,-44.69038804938141,0.8070646223751713,0.6280285619758799,2097,313.8313633337917
8,25,11.782691424569194,-10.574859973977688,10.0,31.726049005986813,-38.491436894877125,0.8708777097947135,0.8242365462383991,2170,414.02668649393013
9,23,11.666156797206535,-12.922954105968536,10.0,28.472605020901565,-43.901745812346064,0.8281959905949545,0.6485529104606699,2168,342.4481337929456
10,22,11.202223454729898,-10.138057000000009,10.0,25.69298936783495,-44.02676343998589,0.8186833099723012,0.5835766102329503,2167,288.3334574842246
11,21,12.501543783342791,-10.258912999999998,10.000000000000002,29.033986990514826,-47.80943083982588,0.872202835500962,0.6072857693660125,2169,354.36528706408296
12,19,13.593812411397625,-10.126574000000009,9.999999999999996,26.739195489720792,-40.365429250883025,0.8283453616808161,0.6624281219339654,2255,331.87404734039035
13,23,12.942172872242782,-10.035148000000008,10.000000000000002,35.67353573665004,-36.835032815855875,0.9460713737423435,0.9684675975446433,2168,511.5700211841539
14,24,11.56666840776417,-10.164099000000009,10.0,30.18052537239475,-40.976362276113264,0.847418660148291,0.7365350093555808,2146,370.9847750713112
15,23,9.8003907694583,-10.510171999999999,10.0,22.752325465053858,-38.640073896033314,0.742823436206093,0.5888271726982787,2266,256.72845522128847
16,23,9.370191702997335,-17.931434309187985,10.000000000000002,21.58757254745829,-40.93216347581706,0.7107834627169314,0.5273987669919363,2097,207.1652003702764
17,23,9.263860591201647,-10.54061,9.999999999999998,21.723996257900957,-37.86572733228415,0.7197789313180297,0.573711315968284,1988,191.53428513492145
18,22,9.28101140493512,-10.203892000000009,10.0,19.49228836481387,-38.83518898833949,0.6856860866138235,0.5019233554049796,2096,177.8546169782799
19,22,10.222710560576589,-11.018532047428481,10.0,20.195743468605286,-49.90332702962834,0.6667279205614497,0.40469733524209267,2096,187.3732557556887
20,25,9.325799078305971,-10.224375000000009,10.000000000000002,18.156895802189045,-47.50168324333656,0.6309624348978273,0.382236892726029,2395,198.62433784868406
21,23,11.514072537612117,-10.403443999999999,10.000000000000002,28.071503793195383,-45.925190755049265,0.810528656191838,0.6112441414325328,2097,313.91789171497635
22,25,10.76747882066384,-12.624617995966485,10.0,24.42493063351854,-49.88302411247519,0.7506052833205866,0.48964414383630234,2375,314.1193364564514
23,25,12.320137961620375,-11.509883999451246,10.0,35.87820049582475,-48.97953534674899,0.9890426524824086,0.7325141049588614,2398,648.4746694953644
