,ret
18274,-0.010069768236655396
18275,0.08626888638454133
18276,0.0012939826402011967
18277,-0.011494761041602186
18278,0.02216396540829657
18279,0.00030067494794261407
18280,-0.024031063396426022
18281,-0.006820506337842036
18282,0.010839644309707408
18283,-0.006143522858781392
18284,-0.03200051598874043
18285,0.0041025543398076625
18286,-0.011662519255836057
18287,0.032901788604629445
18288,0.0339605339524085
18289,0.05238690237629329
18290,-0.007753186668529755
18291,0.022757546339150503
18292,-0.01685235582942035
18293,0.0033914650979538497
18294,-0.005658199967819688
18295,-0.004208322125786812
18296,-0.01024726007937804
18297,0.04512548629882285
18298,0.016641628624100457
18299,0.004270364306180774
18300,0.008286349838440676
18301,0.025942264061323606
18302,-0.02954367473588293
18303,0.03768335426007141
18304,0.01011241230627169
18305,-0.009376882300420442
18306,0.011215459405667705
18307,-0.04250045435387029
18308,0.0012670726683845501
18309,-0.021303241718739208
18310,0.04726045744900054
18311,-0.0561668753953628
18312,0.00027413566484146834
18313,0.00840209161333072
18314,-0.002706403294392312
18315,0.02958700053673957
18316,-0.028206392657300516
18317,-0.03524082629376357
18318,-0.09739357804598978
18319,0.0
18320,0.0
18321,0.0
18322,0.0
18323,0.0
18324,0.0
18325,0.0
18326,0.0
18327,0.0
18328,0.0
18329,0.0
18330,0.0
18331,0.0
18332,0.0
18333,0.0
18334,0.0
18335,0.0
18336,0.0
18337,0.0
18338,0.0
18339,0.0
18340,0.0
18341,0.0
18342,0.0
18343,0.0
18344,0.0
18345,0.0
18346,0.0
18347,0.0
18348,0.0
18349,0.0
18350,0.0
18351,0.0
18352,0.0
18353,0.0
18354,0.0
18355,0.0
18356,0.0
18357,0.0
18358,0.0
18359,0.0
18360,0.0
18361,0.0
18362,0.0
18363,0.0
18364,0.0
18365,0.0
18366,0.0
18367,0.0
18368,0.0
18369,0.0
18370,0.0
18371,0.0
18372,0.0
18373,0.0
18374,0.0
18375,0.0
18376,0.0
18377,0.0
18378,0.0
18379,0.0
18380,0.0
18381,0.0
18382,0.0
18383,0.0
18384,0.01897217490062464
18385,-0.008681405030065537
18386,-0.0024960198602229644
18387,0.016892546855486357
18388,0.013421888907239499
18389,0.09225499074693855
18390,-0.018664383561643794
18391,-0.02659283000731638
18392,-0.0856060129567896
18393,-0.018486100172307673
18394,0.029115157121632596
18395,0.0565874342709336
18396,0.051841316866769516
