asset,config,n,sr_per_trade,dsr
BTC,m10,88,0.16453983240677414,0.8495138743138568
BTC,m7,85,0.1539370038516721,0.8182292089119312
ETH,m10,138,-0.003502894118390333,0.28741048571196415
ETH,m7,129,-0.023045436466219517,0.2160796297489485
